Orthogroup	Acinetobacter_baumannii	Mycobacterium_tuberculosis	Total
OG0000195	1	2	3
OG0000196	1	2	3
OG0000197	1	2	3
OG0000198	1	2	3
OG0000199	1	2	3
OG0000200	1	2	3
OG0000201	2	1	3
OG0000202	1	2	3
OG0000203	2	1	3
OG0000204	2	1	3
OG0000205	1	2	3
OG0000206	1	2	3
OG0000207	2	1	3
OG0000208	2	1	3
OG0000209	2	1	3
OG0000210	3	0	3
OG0000211	1	2	3
OG0000212	2	1	3
OG0000213	1	2	3
OG0000214	1	2	3
OG0000215	1	2	3
OG0000216	1	2	3
OG0000217	1	2	3
OG0000218	1	2	3
OG0000219	1	2	3
OG0000220	1	2	3
OG0000221	0	3	3
OG0000222	0	3	3
OG0000223	0	3	3
OG0000224	0	3	3
OG0000225	0	3	3
OG0000226	0	3	3
OG0000227	0	3	3
OG0000228	0	3	3
OG0000229	0	3	3
OG0000230	0	3	3
OG0000231	0	3	3
OG0000232	0	3	3
OG0000233	0	3	3
OG0000234	0	3	3
OG0000235	0	3	3
OG0000236	0	3	3
OG0000237	0	3	3
OG0000238	0	3	3
OG0000239	0	3	3
OG0000240	0	3	3
OG0000241	0	3	3
OG0000242	0	3	3
OG0000243	0	3	3
OG0000244	0	3	3
OG0000245	0	3	3
OG0000246	0	3	3
OG0000247	0	3	3
OG0000248	0	3	3
OG0000249	0	3	3
OG0000250	0	3	3
OG0000251	0	3	3
OG0000252	0	3	3
OG0000253	0	3	3
OG0000254	0	3	3
OG0000255	0	3	3
OG0000256	0	3	3
OG0000257	0	3	3
OG0000258	0	3	3
OG0000259	0	3	3
OG0000260	0	3	3
OG0000261	0	3	3
OG0000262	0	3	3
OG0000263	0	3	3
OG0000264	0	3	3
OG0000265	0	3	3
OG0000266	0	3	3
OG0000267	0	3	3
OG0000268	0	3	3
OG0000269	0	3	3
OG0000270	0	3	3
OG0000271	0	3	3
OG0000272	0	3	3
OG0000273	0	3	3
OG0000274	0	3	3
OG0000275	0	3	3
OG0000276	0	3	3
OG0000277	0	3	3
OG0000278	0	3	3
OG0000279	0	3	3
OG0000280	0	3	3
OG0000281	0	3	3
OG0000282	0	3	3
OG0000283	0	3	3
OG0000284	0	3	3
OG0000285	0	3	3
OG0000286	0	3	3
OG0000287	0	3	3
OG0000288	0	3	3
OG0000289	0	3	3
OG0000290	0	3	3
OG0000291	0	3	3
OG0000292	0	3	3
OG0000293	0	3	3
OG0000294	0	3	3
OG0000295	1	1	2
OG0000296	1	1	2
OG0000297	1	1	2
OG0000298	1	1	2
OG0000299	1	1	2
OG0000300	1	1	2
OG0000301	1	1	2
OG0000302	1	1	2
OG0000303	1	1	2
OG0000304	2	0	2
OG0000305	1	1	2
OG0000306	1	1	2
OG0000307	1	1	2
OG0000308	1	1	2
OG0000309	1	1	2
OG0000310	1	1	2
OG0000311	1	1	2
OG0000312	1	1	2
OG0000313	1	1	2
OG0000314	1	1	2
OG0000315	1	1	2
OG0000316	1	1	2
OG0000317	1	1	2
OG0000318	1	1	2
OG0000319	1	1	2
OG0000320	1	1	2
OG0000321	2	0	2
OG0000322	2	0	2
OG0000323	1	1	2
OG0000324	1	1	2
OG0000325	1	1	2
OG0000326	1	1	2
OG0000327	1	1	2
OG0000328	1	1	2
OG0000329	1	1	2
OG0000330	1	1	2
OG0000331	1	1	2
OG0000332	1	1	2
OG0000333	1	1	2
OG0000334	1	1	2
OG0000335	1	1	2
OG0000336	1	1	2
OG0000337	1	1	2
OG0000338	1	1	2
OG0000339	2	0	2
OG0000340	1	1	2
OG0000341	1	1	2
OG0000342	1	1	2
OG0000343	2	0	2
OG0000344	1	1	2
OG0000345	1	1	2
OG0000346	1	1	2
OG0000347	1	1	2
OG0000348	1	1	2
OG0000349	1	1	2
OG0000350	1	1	2
OG0000351	1	1	2
OG0000352	2	0	2
OG0000353	1	1	2
OG0000354	1	1	2
OG0000355	1	1	2
OG0000356	1	1	2
OG0000357	1	1	2
OG0000358	1	1	2
OG0000359	1	1	2
OG0000360	1	1	2
OG0000361	1	1	2
OG0000362	1	1	2
OG0000363	1	1	2
OG0000364	1	1	2
OG0000365	1	1	2
OG0000366	1	1	2
OG0000367	1	1	2
OG0000368	1	1	2
OG0000369	1	1	2
OG0000370	1	1	2
OG0000371	1	1	2
OG0000372	1	1	2
OG0000373	1	1	2
OG0000374	1	1	2
OG0000375	1	1	2
OG0000376	1	1	2
OG0000377	1	1	2
OG0000378	1	1	2
OG0000379	1	1	2
OG0000380	1	1	2
OG0000381	1	1	2
OG0000382	1	1	2
OG0000383	1	1	2
OG0000384	1	1	2
OG0000385	1	1	2
OG0000386	1	1	2
OG0000387	1	1	2
OG0000388	1	1	2
OG0000389	1	1	2
OG0000390	1	1	2
OG0000391	1	1	2
OG0000392	1	1	2
OG0000393	2	0	2
OG0000394	1	1	2
OG0000395	1	1	2
OG0000396	1	1	2
OG0000397	1	1	2
OG0000398	2	0	2
OG0000399	1	1	2
OG0000400	1	1	2
OG0000401	1	1	2
OG0000402	1	1	2
OG0000403	1	1	2
OG0000404	1	1	2
OG0000405	1	1	2
OG0000406	1	1	2
OG0000407	1	1	2
OG0000408	1	1	2
OG0000409	1	1	2
OG0000410	1	1	2
OG0000411	2	0	2
OG0000412	1	1	2
OG0000413	1	1	2
OG0000414	1	1	2
OG0000415	1	1	2
OG0000416	1	1	2
OG0000417	1	1	2
OG0000418	1	1	2
OG0000419	1	1	2
OG0000420	1	1	2
OG0000421	1	1	2
OG0000422	1	1	2
OG0000423	1	1	2
OG0000424	1	1	2
OG0000425	1	1	2
OG0000426	2	0	2
OG0000427	1	1	2
OG0000428	1	1	2
OG0000429	1	1	2
OG0000430	1	1	2
OG0000431	1	1	2
OG0000432	1	1	2
OG0000433	1	1	2
OG0000434	1	1	2
OG0000435	1	1	2
OG0000436	1	1	2
OG0000437	1	1	2
OG0000438	1	1	2
OG0000439	1	1	2
OG0000440	1	1	2
OG0000441	1	1	2
OG0000442	1	1	2
OG0000443	1	1	2
OG0000444	1	1	2
OG0000445	1	1	2
OG0000446	1	1	2
OG0000447	1	1	2
OG0000448	1	1	2
OG0000449	1	1	2
OG0000450	1	1	2
OG0000451	1	1	2
OG0000452	1	1	2
OG0000453	1	1	2
OG0000454	1	1	2
OG0000455	1	1	2
OG0000456	2	0	2
OG0000457	2	0	2
OG0000458	1	1	2
OG0000459	1	1	2
OG0000460	1	1	2
OG0000461	1	1	2
OG0000462	1	1	2
OG0000463	1	1	2
OG0000464	1	1	2
OG0000465	1	1	2
OG0000466	1	1	2
OG0000467	1	1	2
OG0000468	1	1	2
OG0000469	1	1	2
OG0000470	1	1	2
OG0000471	1	1	2
OG0000472	1	1	2
OG0000473	1	1	2
OG0000474	1	1	2
OG0000475	1	1	2
OG0000476	1	1	2
OG0000477	1	1	2
OG0000478	1	1	2
OG0000479	1	1	2
OG0000480	1	1	2
OG0000481	1	1	2
OG0000482	1	1	2
OG0000483	1	1	2
OG0000484	1	1	2
OG0000485	1	1	2
OG0000486	1	1	2
OG0000487	1	1	2
OG0000488	1	1	2
OG0000489	1	1	2
OG0000490	1	1	2
OG0000491	1	1	2
OG0000492	1	1	2
OG0000493	1	1	2
OG0000494	1	1	2
OG0000495	1	1	2
OG0000496	1	1	2
OG0000497	1	1	2
OG0000498	1	1	2
OG0000499	1	1	2
OG0000500	1	1	2
OG0000501	1	1	2
OG0000502	1	1	2
OG0000503	1	1	2
OG0000504	1	1	2
OG0000505	1	1	2
OG0000506	1	1	2
OG0000507	1	1	2
OG0000508	1	1	2
OG0000509	1	1	2
OG0000510	1	1	2
OG0000511	1	1	2
OG0000512	2	0	2
OG0000513	1	1	2
OG0000514	1	1	2
OG0000515	1	1	2
OG0000516	1	1	2
OG0000517	0	2	2
OG0000518	0	2	2
OG0000519	0	2	2
OG0000520	0	2	2
OG0000521	0	2	2
OG0000522	0	2	2
OG0000523	0	2	2
OG0000524	0	2	2
OG0000525	0	2	2
OG0000526	0	2	2
OG0000527	0	2	2
OG0000528	0	2	2
OG0000529	0	2	2
OG0000530	0	2	2
OG0000531	0	2	2
OG0000532	0	2	2
OG0000533	0	2	2
OG0000534	0	2	2
OG0000535	0	2	2
OG0000536	0	2	2
OG0000537	0	2	2
OG0000538	0	2	2
OG0000539	0	2	2
OG0000540	0	2	2
OG0000541	0	2	2
OG0000542	0	2	2
OG0000543	0	2	2
OG0000544	0	2	2
OG0000545	0	2	2
OG0000546	0	2	2
OG0000547	0	2	2
OG0000548	0	2	2
OG0000549	0	2	2
OG0000550	0	2	2
OG0000551	0	2	2
OG0000552	0	2	2
OG0000553	0	2	2
OG0000554	0	2	2
OG0000555	0	2	2
OG0000556	0	2	2
OG0000557	0	2	2
OG0000558	0	2	2
OG0000559	0	2	2
OG0000560	0	2	2
OG0000561	0	2	2
OG0000562	0	2	2
OG0000563	0	2	2
OG0000564	0	2	2
OG0000565	0	2	2
OG0000566	0	2	2
OG0000567	0	2	2
OG0000568	0	2	2
OG0000569	0	2	2
OG0000570	0	2	2
OG0000571	0	2	2
OG0000572	0	2	2
OG0000573	0	2	2
OG0000574	0	2	2
OG0000575	0	2	2
OG0000576	0	2	2
OG0000577	0	2	2
OG0000578	0	2	2
OG0000579	0	2	2
OG0000580	0	2	2
OG0000581	0	2	2
OG0000582	0	2	2
OG0000583	0	2	2
OG0000584	0	2	2
OG0000585	0	2	2
OG0000586	0	2	2
OG0000587	0	2	2
OG0000588	0	2	2
OG0000589	0	2	2
OG0000590	0	2	2
OG0000591	0	2	2
OG0000592	0	2	2
OG0000593	0	2	2
OG0000594	0	2	2
OG0000595	0	2	2
OG0000596	0	2	2
OG0000597	0	2	2
OG0000598	0	2	2
OG0000599	0	2	2
OG0000600	0	2	2
OG0000601	0	2	2
OG0000602	0	2	2
OG0000603	0	2	2
OG0000604	0	2	2
OG0000605	0	2	2
OG0000606	0	2	2
OG0000607	0	2	2
OG0000608	0	2	2
OG0000609	0	2	2
OG0000610	0	2	2
OG0000611	0	2	2
OG0000612	0	2	2
OG0000613	0	2	2
OG0000614	0	2	2
OG0000615	0	2	2
OG0000616	0	2	2
OG0000617	0	2	2
OG0000618	0	2	2
OG0000619	0	2	2
OG0000620	0	2	2
OG0000621	0	2	2
OG0000622	0	2	2
OG0000623	0	2	2
OG0000624	0	2	2
OG0000625	0	2	2
OG0000626	0	2	2
OG0000627	0	2	2
OG0000628	0	2	2
OG0000629	0	2	2
OG0000630	0	2	2
OG0000631	0	2	2
OG0000632	0	2	2
OG0000633	0	2	2
OG0000634	0	2	2
OG0000635	0	2	2
OG0000636	0	2	2
OG0000637	0	2	2
OG0000638	0	2	2
OG0000639	0	2	2
OG0000640	0	2	2
OG0000641	0	2	2
OG0000642	0	2	2
OG0000643	0	2	2
OG0000644	0	2	2
OG0000645	0	2	2
OG0000646	0	2	2
OG0000647	0	2	2
OG0000648	0	2	2
OG0000649	0	2	2
OG0000650	0	2	2
OG0000651	0	2	2
OG0000652	0	2	2
OG0000653	0	2	2
OG0000654	0	2	2
OG0000655	0	2	2
OG0000656	0	2	2
OG0000657	0	2	2
OG0000658	0	2	2
OG0000659	0	2	2
OG0000660	0	2	2
OG0000661	0	2	2
OG0000662	0	2	2
OG0000663	0	2	2
OG0000664	0	2	2
OG0000665	0	2	2
OG0000666	0	2	2
OG0000667	0	2	2
OG0000668	0	2	2
OG0000669	0	2	2
OG0000670	0	2	2
OG0000671	0	2	2
OG0000672	0	2	2
OG0000673	0	2	2
OG0000674	0	2	2
OG0000675	0	2	2
OG0000676	0	2	2
OG0000677	0	2	2
OG0000678	0	2	2
OG0000679	0	2	2
OG0000680	0	2	2
OG0000681	0	2	2
OG0000682	0	2	2
OG0000683	0	2	2
OG0000684	0	2	2
OG0000685	0	2	2
OG0000686	0	2	2
OG0000687	0	2	2
OG0000688	0	2	2
OG0000689	0	2	2
OG0000690	0	2	2
OG0000691	0	2	2
OG0000692	0	2	2
OG0000693	0	2	2
OG0000694	0	2	2
OG0000695	0	2	2
OG0000696	0	2	2
OG0000697	0	2	2
OG0000698	0	2	2
OG0000699	0	2	2
OG0000700	0	2	2
OG0000701	0	2	2
OG0000702	0	2	2
OG0000703	0	2	2
OG0000704	0	2	2
