Orthogroup	Acinetobacter_baumannii	Mycobacterium_leprae
OG0000193	g172.t1	g1836.t1
OG0000194	g175.t1	g162.t1
OG0000195	g179.t1	g1839.t1
OG0000196	g180.t1	g1176.t1
OG0000197	g181.t1	g1172.t1
OG0000198	g185.t1	g1157.t1
OG0000199	g187.t1	g1165.t1
OG0000200	g188.t1	g1247.t1
OG0000201	g189.t1	g360.t1
OG0000202	g191.t1	g1075.t1
OG0000203	g192.t1	g1441.t1
OG0000204	g193.t1	g25.t1
OG0000205	g195.t1	g1345.t1
OG0000206	g198.t1	g1219.t1
OG0000207	g201.t1	g333.t1
OG0000208	g202.t1	g1099.t1
OG0000209	g203.t1	g1103.t1
OG0000210	g204.t1	g1104.t1
OG0000211	g206.t1	g877.t1
OG0000212	g209.t1	g1084.t1
OG0000213	g215.t1	g622.t1
OG0000214	g217.t1	g1481.t1
OG0000215	g218.t1	g1480.t1
OG0000216	g220.t1	g1479.t1
OG0000217	g221.t1	g1477.t1
OG0000218	g222.t1	g1476.t1
OG0000219	g223.t1	g1467.t1
OG0000220	g224.t1	g1466.t1
OG0000221	g225.t1	g1465.t1
OG0000222	g226.t1	g1464.t1
OG0000223	g228.t1	g1553.t1
OG0000224	g231.t1, g468.t1	
OG0000225	g233.t1	g246.t1
OG0000226	g238.t1	g106.t1
OG0000227	g247.t1	g1458.t1
OG0000228	g248.t1, g291.t1	
OG0000229	g254.t1	g47.t1
OG0000230	g255.t1	g46.t1
OG0000231	g257.t1	g711.t1
OG0000232	g263.t1	g319.t1
OG0000233	g270.t1	g376.t1
OG0000234	g271.t1	g880.t1
OG0000235	g273.t1	g1489.t1
OG0000236	g274.t1	g1511.t1
OG0000237	g275.t1	g1510.t1
OG0000238	g276.t1	g1500.t1
OG0000239	g277.t1	g1498.t1
OG0000240	g278.t1	g1497.t1
OG0000241	g279.t1, g280.t1	
OG0000242	g281.t1	g1277.t1
OG0000243	g285.t1	g425.t1
OG0000244	g294.t1	g1274.t1
OG0000245	g295.t1	g1537.t1
OG0000246	g296.t1	g1060.t1
OG0000247	g298.t1	g5.t1
OG0000248	g301.t1	g565.t1
OG0000249	g308.t1	g986.t1
OG0000250	g309.t1	g988.t1
OG0000251	g319.t1	g1096.t1
OG0000252	g320.t1, g324.t1	
OG0000253	g323.t1	g502.t1
OG0000254	g325.t1	g274.t1
OG0000255	g328.t1	g1302.t1
OG0000256	g329.t1	g121.t1
OG0000257	g330.t1	g719.t1
OG0000258	g331.t1	g1329.t1
OG0000259	g333.t1	g716.t1
OG0000260	g339.t1	g1374.t1
OG0000261	g341.t1	g411.t1
OG0000262	g342.t1	g383.t1
OG0000263	g343.t1	g278.t1
OG0000264	g347.t1	g1754.t1
OG0000265	g348.t1	g1147.t1
OG0000266	g349.t1	g1321.t1
OG0000267	g350.t1	g1215.t1
OG0000268	g351.t1	g472.t1
OG0000269	g356.t1	g390.t1
OG0000270	g359.t1	g507.t1
OG0000271	g361.t1	g558.t1
OG0000272	g366.t1	g1491.t1
OG0000273	g367.t1	g1492.t1
OG0000274	g369.t1	g1159.t1
OG0000275	g372.t1	g1107.t1
OG0000276	g373.t1	g405.t1
OG0000277	g375.t1	g982.t1
OG0000278	g376.t1	g894.t1
OG0000279	g379.t1, g389.t1	
OG0000280	g380.t1, g390.t1	
OG0000281	g382.t1	g1231.t1
OG0000282	g384.t1	g98.t1
OG0000283	g387.t1	g435.t1
OG0000284	g388.t1	g273.t1
OG0000285	g391.t1	g937.t1
OG0000286	g394.t1	g916.t1
OG0000287	g396.t1	g1487.t1
OG0000288	g403.t1	g872.t1
OG0000289	g406.t1	g886.t1
OG0000290	g408.t1	g888.t1
OG0000291	g409.t1	g890.t1
OG0000292	g411.t1	g224.t1
OG0000293	g413.t1	g372.t1
OG0000294	g414.t1	g1837.t1
OG0000295	g415.t1	g769.t1
OG0000296	g416.t1	g837.t1
OG0000297	g417.t1	g1234.t1
OG0000298	g418.t1	g1233.t1
OG0000299	g421.t1	g1113.t1
OG0000300	g423.t1	g758.t1
OG0000301	g432.t1	g207.t1
OG0000302	g433.t1	g1067.t1
OG0000303	g437.t1	g1106.t1
OG0000304	g442.t1	g1285.t1
OG0000305	g446.t1	g767.t1
OG0000306	g448.t1	g1253.t1
OG0000307	g449.t1	g1254.t1
OG0000308	g450.t1	g202.t1
OG0000309	g454.t1	g1304.t1
OG0000310	g455.t1	g1073.t1
OG0000311	g457.t1	g1276.t1
OG0000312	g461.t1	g538.t1
OG0000313	g467.t1	g1382.t1
OG0000314	g480.t1	g944.t1
OG0000315	g481.t1	g939.t1
OG0000316	g483.t1	g564.t1
OG0000317	g486.t1	g1330.t1
OG0000318	g487.t1	g234.t1
OG0000319	g488.t1	g609.t1
OG0000320	g489.t1	g61.t1
OG0000321	g493.t1	g1550.t1
OG0000322	g494.t1	g1259.t1
OG0000323	g495.t1	g1260.t1
OG0000324	g497.t1	g664.t1
OG0000325	g498.t1	g595.t1
OG0000326	g502.t1	g57.t1
OG0000327	g505.t1	g687.t1
OG0000328	g506.t1	g1759.t1
OG0000329	g507.t1	g128.t1
OG0000330	g513.t1, g514.t1	
OG0000331	g515.t1	g879.t1
OG0000332	g525.t1	g1180.t1
OG0000333		g16.t1, g715.t1
OG0000334		g200.t1, g24.t1
OG0000335		g1222.t1, g30.t1
OG0000336		g1223.t1, g35.t1
OG0000337		g1226.t1, g42.t1
OG0000338		g303.t1, g44.t1
OG0000339		g103.t1, g692.t1
OG0000340		g112.t1, g408.t1
OG0000341		g113.t1, g967.t1
OG0000342		g120.t1, g484.t1
OG0000343		g160.t1, g1690.t1
OG0000344		g164.t1, g1849.t1
OG0000345		g1141.t1, g167.t1
OG0000346		g179.t1, g817.t1
OG0000347		g230.t1, g336.t1
OG0000348		g1584.t1, g235.t1
OG0000349		g245.t1, g247.t1
OG0000350		g1020.t1, g254.t1
OG0000351		g283.t1, g284.t1
OG0000352		g295.t1, g305.t1
OG0000353		g313.t1, g422.t1
OG0000354		g1333.t1, g328.t1
OG0000355		g343.t1, g985.t1
OG0000356		g368.t1, g456.t1
OG0000357		g1053.t1, g406.t1
OG0000358		g434.t1, g734.t1
OG0000359		g441.t1, g701.t1
OG0000360		g443.t1, g444.t1
OG0000361		g1548.t1, g474.t1
OG0000362		g1502.t1, g486.t1
OG0000363		g1056.t1, g517.t1
OG0000364		g1414.t1, g546.t1
OG0000365		g1733.t1, g559.t1
OG0000366		g605.t1, g974.t1
OG0000367		g1776.t1, g615.t1
OG0000368		g625.t1, g681.t1
OG0000369		g1198.t1, g696.t1
OG0000370		g713.t1, g882.t1
OG0000371		g1312.t1, g724.t1
OG0000372		g1625.t1, g737.t1
OG0000373		g1348.t1, g743.t1
OG0000374		g1703.t1, g751.t1
OG0000375		g1735.t1, g780.t1
OG0000376		g1023.t1, g782.t1
OG0000377		g1021.t1, g1022.t1
OG0000378		g1024.t1, g1173.t1
OG0000379		g1037.t1, g1041.t1
OG0000380		g1069.t1, g1261.t1
OG0000381		g1123.t1, g1410.t1
OG0000382		g1174.t1, g1175.t1
OG0000383		g1287.t1, g1288.t1
OG0000384		g1435.t1, g1436.t1
OG0000385		g1514.t1, g1516.t1
OG0000386		g1522.t1, g1816.t1
OG0000387		g1549.t1, g1718.t1
OG0000388		g1650.t1, g1726.t1
OG0000389		g1817.t1, g1859.t1
OG0000390		g1864.t1, g1865.t1
