Orthogroup	Acinetobacter_baumannii	Mycobacterium_leprae	Mycobacterium_tuberculosis	Neisseria_gonorrhoeae	Pseudomonas_aeruginosa	Salmonella_enterica
OG0000010		g133.t1, g1371.t1, g1666.t1, g973.t1	g1056.t1, g1121.t1, g1125.t1, g1126.t1, g1462.t1, g223.t1, g2451.t1, g2780.t1, g2989.t1, g3328.t1, g3466.t1, g893.t1, g958.t1		g1034.t1, g1649.t1, g2046.t1, g2948.t1, g3663.t1, g4412.t1, g5074.t1, g755.t1	g68.t1
OG0000011		g1058.t1	g1670.t1, g1839.t1		g1271.t1, g1357.t1, g2984.t1, g3442.t1, g3450.t1, g3912.t1, g4274.t1, g5170.t1, g5250.t1, g906.t1	g102.t1, g1168.t1, g1246.t1, g1583.t1, g1884.t1, g2194.t1, g2656.t1, g2858.t1, g2859.t1, g468.t1, g620.t1, g752.t1, g762.t1
OG0000012		g1132.t1, g1137.t1, g115.t1, g1869.t1, g1872.t1, g80.t1, g965.t1	g1169.t1, g1170.t1, g1518.t1, g1646.t1, g1647.t1, g1648.t1, g1649.t1, g2023.t1, g2349.t1, g2350.t1, g2881.t1, g2882.t1, g2883.t1, g2884.t1, g2890.t1, g2896.t1, g2897.t1, g400.t1			
OG0000013	g20.t1	g1120.t1, g835.t1	g1227.t1, g2013.t1, g2367.t1, g2781.t1		g210.t1, g2381.t1, g283.t1, g305.t1, g3249.t1, g330.t1, g3317.t1, g3609.t1, g3679.t1, g613.t1	g1144.t1, g2277.t1, g3316.t1, g3936.t1, g396.t1, g811.t1
OG0000014					g1112.t1, g1114.t1, g1211.t1, g1353.t1, g1685.t1, g1978.t1, g2038.t1, g2394.t1, g2399.t1, g2489.t1, g2707.t1, g2910.t1, g4009.t1, g4099.t1, g4229.t1, g4633.t1, g4817.t1, g5221.t1, g5264.t1, g887.t1	g1570.t1, g2204.t1, g2633.t1
OG0000015	g145.t1	g318.t1, g339.t1, g810.t1	g118.t1, g1182.t1, g167.t1, g215.t1, g2470.t1, g3039.t1, g3511.t1, g546.t1		g1230.t1, g2596.t1, g3363.t1, g3364.t1, g3934.t1, g4280.t1	g1254.t1, g1701.t1, g2796.t1, g69.t1
OG0000016	g147.t1				g1038.t1, g165.t1, g192.t1, g2148.t1, g2256.t1, g244.t1, g2459.t1, g2542.t1, g2743.t1, g2814.t1, g294.t1, g3098.t1, g3660.t1, g4219.t1, g4261.t1, g4586.t1, g4992.t1, g766.t1, g973.t1	g638.t1
OG0000017		g640.t1	g1359.t1, g1737.t1, g1745.t1, g2076.t1, g2138.t1, g2249.t1, g2324.t1, g2444.t1, g2612.t1, g2764.t1, g3136.t1, g3138.t1, g3285.t1, g3335.t1, g3424.t1, g786.t1		g261.t1	g2571.t1, g303.t1, g884.t1
OG0000018					g1002.t1, g1631.t1, g2624.t1, g2882.t1, g3104.t1, g34.t1, g3411.t1, g3532.t1, g4023.t1, g4052.t1, g4193.t1, g4950.t1, g5076.t1, g941.t1	g1294.t1, g2116.t1, g2118.t1, g2748.t1, g3102.t1, g3583.t1
OG0000019	g496.t1, g63.t1	g1030.t1, g544.t1, g784.t1	g2670.t1, g2803.t1, g3262.t1, g457.t1, g784.t1		g1607.t1, g2059.t1, g2289.t1, g3051.t1, g4923.t1	g150.t1, g3358.t1, g3854.t1, g522.t1
OG0000020	g237.t1				g1003.t1, g2165.t1, g4160.t1, g4165.t1, g5386.t1	g172.t1, g190.t1, g195.t1, g20.t1, g24.t1, g25.t1, g2816.t1, g316.t1, g3397.t1, g3401.t1, g508.t1, g509.t1, g513.t1
OG0000021		g1812.t1, g781.t1	g1179.t1, g2672.t1, g3124.t1, g3159.t1, g3519.t1, g44.t1		g235.t1, g2790.t1, g3008.t1, g3289.t1, g3579.t1, g4234.t1, g487.t1, g5153.t1, g841.t1	g2152.t1, g647.t1
OG0000022		g1117.t1			g1122.t1, g1137.t1, g172.t1, g1879.t1, g2829.t1, g2845.t1, g2928.t1, g293.t1, g3239.t1, g3409.t1, g343.t1, g3774.t1, g4414.t1, g4937.t1, g5023.t1, g859.t1	g2490.t1, g354.t1
OG0000023		g1091.t1, g13.t1, g14.t1, g699.t1	g1254.t1, g14.t1, g15.t1, g1725.t1, g1728.t1, g2058.t1, g2148.t1, g2373.t1, g2863.t1, g3474.t1, g3526.t1, g920.t1		g1693.t1, g79.t1	
OG0000024		g921.t1	g166.t1, g42.t1, g581.t1		g126.t1, g1286.t1, g1536.t1, g1542.t1, g1647.t1, g4267.t1, g5000.t1, g809.t1	g1405.t1, g1484.t1, g2122.t1, g2593.t1, g3131.t1, g3132.t1
OG0000025	g56.t1	g1570.t1, g1579.t1, g576.t1	g101.t1, g1459.t1, g1968.t1, g3229.t1, g91.t1, g956.t1		g1564.t1, g2475.t1, g3762.t1, g3997.t1	g324.t1, g3337.t1, g464.t1
OG0000026		g113.t1, g756.t1, g967.t1	g1130.t1, g1131.t1, g1172.t1, g1513.t1, g1547.t1, g203.t1, g207.t1, g2308.t1, g2892.t1, g397.t1, g445.t1, g503.t1, g666.t1		g3139.t1	
OG0000027	g112.t1, g265.t1, g470.t1	g899.t1	g1060.t1, g1313.t1, g3496.t1, g3506.t1		g2034.t1, g232.t1, g2592.t1, g2998.t1, g3523.t1, g3661.t1, g4002.t1	g2805.t1
OG0000028		g1592.t1, g575.t1	g1139.t1, g144.t1, g145.t1, g1712.t1, g1869.t1, g2705.t1, g281.t1, g3355.t1, g713.t1, g714.t1, g719.t1, g819.t1, g881.t1		g1888.t1	
OG0000029		g1009.t1	g1610.t1, g745.t1		g1471.t1, g182.t1, g270.t1, g3412.t1, g3571.t1, g415.t1, g416.t1, g4188.t1, g4481.t1, g4578.t1, g4873.t1, g5466.t1	g1795.t1
OG0000030		g1392.t1, g1394.t1	g1342.t1		g1448.t1, g1750.t1, g2106.t1, g288.t1, g3377.t1, g4451.t1, g4687.t1, g5112.t1, g585.t1	g1589.t1, g3148.t1, g3160.t1, g3376.t1
OG0000031		g1644.t1	g1244.t1, g1757.t1, g1765.t1, g1860.t1, g2239.t1, g2241.t1, g2246.t1, g3073.t1, g3468.t1, g3495.t1, g754.t1, g766.t1		g2512.t1, g3397.t1	g3802.t1
OG0000032			g1360.t1, g1738.t1, g1744.t1, g2075.t1, g2139.t1, g2248.t1, g2323.t1, g2445.t1, g2611.t1, g2765.t1, g3135.t1, g3137.t1, g3284.t1, g3336.t1, g3423.t1, g785.t1			
OG0000033	g73.t1				g162.t1, g2052.t1, g2531.t1, g2557.t1, g3593.t1, g3748.t1, g4289.t1, g433.t1, g4459.t1, g4684.t1	g2315.t1, g3163.t1, g322.t1, g441.t1
OG0000034	g74.t1				g1253.t1, g2430.t1, g2532.t1, g2559.t1, g2563.t1, g2895.t1, g3592.t1, g3971.t1, g4290.t1, g434.t1, g4683.t1, g5256.t1	g2031.t1, g321.t1
OG0000035	g215.t1	g622.t1	g1241.t1, g3170.t1		g2898.t1, g3536.t1, g3935.t1, g4027.t1, g435.t1, g461.t1	g1544.t1, g2466.t1, g3055.t1, g3660.t1, g755.t1
OG0000036	g318.t1	g97.t1	g1444.t1, g148.t1, g1892.t1, g3093.t1		g1154.t1, g23.t1, g2528.t1, g2722.t1, g3319.t1, g3639.t1, g5335.t1, g875.t1	g3950.t1
OG0000037		g238.t1	g406.t1		g1275.t1, g2247.t1, g2981.t1, g3939.t1, g5172.t1, g5251.t1, g902.t1	g2197.t1, g2198.t1, g4048.t1, g764.t1, g819.t1, g822.t1
OG0000038		g1446.t1, g1447.t1, g688.t1, g952.t1	g1468.t1, g1469.t1, g1556.t1, g2161.t1, g24.t1		g1213.t1, g1214.t1, g3542.t1	g1247.t1, g1330.t1, g2070.t1
OG0000039		g1079.t1	g1702.t1, g1753.t1, g2938.t1		g159.t1, g1650.t1, g240.t1, g3578.t1, g4423.t1	g1723.t1, g2137.t1, g3296.t1, g3426.t1, g3896.t1, g482.t1
OG0000040		g1461.t1, g1830.t1	g717.t1		g1503.t1, g2383.t1, g3084.t1, g3651.t1, g3654.t1	g2766.t1, g3419.t1, g3433.t1, g3538.t1, g3777.t1, g3801.t1, g3815.t1
OG0000041		g1504.t1, g1505.t1, g1506.t1, g1507.t1, g1848.t1	g3347.t1, g442.t1, g464.t1, g465.t1, g499.t1, g636.t1, g637.t1, g638.t1, g639.t1			g1324.t1
OG0000042			g1385.t1, g3032.t1		g1197.t1, g2131.t1, g2595.t1, g2629.t1, g2747.t1, g3087.t1, g309.t1, g3154.t1, g3278.t1, g4879.t1, g5127.t1, g5426.t1, g843.t1	
OG0000043			g2294.t1, g2730.t1, g3249.t1		g2062.t1, g2117.t1, g2285.t1, g2618.t1, g4042.t1, g4593.t1, g4876.t1, g5410.t1	g3632.t1, g427.t1, g894.t1, g934.t1
OG0000044					g1199.t1, g211.t1, g2422.t1, g2988.t1, g32.t1, g38.t1, g3919.t1, g4190.t1, g454.t1, g5008.t1, g5395.t1, g796.t1, g827.t1	g2771.t1, g3558.t1
OG0000045	g113.t1, g53.t1, g93.t1		g887.t1		g1055.t1, g1062.t1, g1136.t1, g1476.t1, g1800.t1, g2958.t1, g3597.t1, g3764.t1, g845.t1	g3406.t1
OG0000046	g123.t1, g129.t1	g860.t1	g1260.t1, g1337.t1		g1130.t1, g3291.t1, g4305.t1, g5092.t1, g872.t1	g428.t1, g429.t1, g891.t1, g917.t1
OG0000047	g233.t1	g246.t1	g1062.t1, g1389.t1, g1390.t1, g218.t1, g2353.t1, g2919.t1, g3034.t1, g3436.t1		g2133.t1, g5486.t1	g3760.t1, g456.t1
OG0000048	g384.t1	g1177.t1, g98.t1	g1489.t1, g1713.t1, g1902.t1, g1903.t1, g2430.t1, g394.t1, g895.t1		g1061.t1, g1823.t1, g4191.t1	g344.t1
OG0000049		g1703.t1, g573.t1, g751.t1, g752.t1	g1127.t1, g1846.t1, g3231.t1, g844.t1		g1203.t1, g3664.t1, g3804.t1, g452.t1, g896.t1	g70.t1
OG0000050			g2252.t1, g374.t1		g1327.t1, g1589.t1, g3183.t1, g3464.t1, g498.t1, g5484.t1	g2059.t1, g2128.t1, g2255.t1, g2404.t1, g2900.t1, g643.t1
OG0000051					g1318.t1, g1381.t1, g153.t1, g1943.t1, g2084.t1, g2128.t1, g2426.t1, g2465.t1, g2505.t1, g3477.t1, g3976.t1, g479.t1, g4990.t1, g681.t1	
OG0000052					g1276.t1, g1639.t1, g2377.t1, g2526.t1, g2739.t1, g2975.t1, g3334.t1, g3491.t1, g3643.t1, g3975.t1, g423.t1, g5444.t1, g759.t1, g792.t1	
OG0000053	g100.t1, g212.t1, g99.t1	g450.t1	g1457.t1, g247.t1		g1301.t1, g4281.t1, g5115.t1, g513.t1, g514.t1, g515.t1, g5286.t1	
OG0000054	g290.t1, g443.t1	g1109.t1, g555.t1	g1640.t1, g2291.t1, g3248.t1		g2452.t1, g538.t1, g909.t1	g1210.t1, g2994.t1, g3234.t1
OG0000055	g392.t1		g1915.t1, g2132.t1, g3029.t1, g781.t1, g929.t1, g940.t1		g2125.t1, g2396.t1, g2639.t1, g2641.t1, g3513.t1, g4031.t1	
OG0000056	g501.t1	g143.t1, g1813.t1, g829.t1	g1032.t1, g1212.t1, g124.t1, g970.t1		g4531.t1, g778.t1	g204.t1, g3122.t1, g3123.t1
OG0000057		g160.t1, g1690.t1	g859.t1		g1174.t1, g2663.t1, g3331.t1, g462.t1, g976.t1	g1719.t1, g1866.t1, g3410.t1, g587.t1, g881.t1
OG0000058		g1627.t1, g1629.t1, g476.t1, g477.t1	g1821.t1, g1822.t1, g2335.t1		g3820.t1, g4061.t1, g5464.t1	g2497.t1, g4099.t1, g625.t1
OG0000059		g605.t1	g1415.t1, g1741.t1, g222.t1, g2255.t1, g3037.t1, g3038.t1, g3081.t1, g3193.t1, g3194.t1, g3326.t1, g3429.t1, g883.t1			
OG0000060		g1451.t1, g1731.t1, g900.t1	g1314.t1, g1460.t1, g1461.t1, g806.t1		g2737.t1, g4139.t1, g5341.t1	g2472.t1, g3661.t1, g470.t1
OG0000061		g1397.t1	g1345.t1		g2170.t1, g2243.t1, g2608.t1, g2877.t1, g3898.t1, g4024.t1	g1710.t1, g2071.t1, g317.t1, g3967.t1, g435.t1
OG0000062			g732.t1, g738.t1, g758.t1		g1516.t1, g1595.t1, g2242.t1, g3378.t1, g3641.t1, g753.t1	g2708.t1, g3023.t1, g3751.t1, g485.t1
OG0000063			g2404.t1		g1983.t1, g2300.t1, g2384.t1	g1284.t1, g3026.t1, g3309.t1, g3373.t1, g3550.t1, g3641.t1, g3752.t1, g3753.t1, g3796.t1
OG0000064					g1319.t1, g1382.t1, g154.t1, g1942.t1, g2085.t1, g2129.t1, g2427.t1, g2504.t1, g3476.t1, g3977.t1, g478.t1, g4989.t1, g682.t1	
OG0000065					g1005.t1, g2167.t1, g4163.t1, g4741.t1	g170.t1, g191.t1, g2008.t1, g22.t1, g2815.t1, g283.t1, g314.t1, g3399.t1, g511.t1
OG0000066					g1075.t1, g1281.t1, g1427.t1, g2010.t1, g2136.t1, g2755.t1, g3424.t1, g3677.t1, g3974.t1, g4369.t1, g4875.t1	g1859.t1, g4092.t1
OG0000067					g1113.t1, g1258.t1, g1354.t1, g2218.t1, g2612.t1, g2940.t1, g4279.t1, g4375.t1, g4483.t1, g4579.t1, g4632.t1, g5263.t1	g2238.t1
OG0000068					g1736.t1, g3283.t1	g100.t1, g1222.t1, g1259.t1, g1414.t1, g1900.t1, g2952.t1, g3421.t1, g3846.t1, g3968.t1, g4000.t1, g539.t1
OG0000069	g45.t1				g1042.t1, g1582.t1, g1585.t1, g1949.t1, g2356.t1, g2835.t1, g3492.t1, g4268.t1, g5411.t1, g542.t1	g2907.t1
OG0000070	g162.t1	g1334.t1	g2935.t1		g1830.t1, g2783.t1, g3223.t1, g4017.t1, g5450.t1	g1243.t1, g3883.t1, g419.t1, g915.t1
OG0000071	g361.t1	g558.t1	g2466.t1, g2916.t1, g3243.t1, g960.t1		g1416.t1, g2045.t1, g2949.t1, g4942.t1, g501.t1	g3153.t1
OG0000072		g142.t1	g1020.t1, g746.t1, g969.t1		g1453.t1, g2561.t1, g2869.t1, g3138.t1, g4464.t1, g4980.t1	g1018.t1, g519.t1
OG0000073		g334.t1	g2267.t1		g1144.t1, g1762.t1, g2573.t1, g3868.t1, g5087.t1, g816.t1	g1195.t1, g1336.t1, g2247.t1, g389.t1
OG0000074		g465.t1, g466.t1	g1838.t1, g2368.t1, g2369.t1		g1890.t1, g284.t1, g285.t1, g3315.t1	g2278.t1, g2279.t1, g717.t1
OG0000075		g503.t1	g2402.t1, g3056.t1		g1424.t1, g4479.t1, g5019.t1, g5217.t1	g1170.t1, g1552.t1, g2851.t1, g3831.t1, g761.t1
OG0000076		g1412.t1, g593.t1	g2290.t1, g3212.t1		g1164.t1, g1501.t1, g2074.t1, g326.t1, g3669.t1, g4101.t1	g1281.t1, g1932.t1
OG0000077		g1364.t1, g822.t1	g1201.t1, g2981.t1, g481.t1		g1401.t1, g2278.t1	g1950.t1, g1974.t1, g3473.t1, g3478.t1, g668.t1
OG0000078			g2699.t1, g469.t1		g1913.t1, g229.t1, g2351.t1, g4584.t1, g5082.t1, g5403.t1, g543.t1	g1497.t1, g3772.t1, g836.t1
OG0000079			g3084.t1		g2013.t1, g2627.t1, g3105.t1, g35.t1, g4025.t1, g5363.t1, g611.t1	g1820.t1, g2017.t1, g3547.t1, g514.t1
OG0000080					g100.t1, g101.t1, g1527.t1, g2412.t1, g266.t1, g2728.t1, g3358.t1, g3556.t1, g5186.t1, g5368.t1, g96.t1	g275.t1
OG0000081					g1124.t1, g1244.t1, g1250.t1, g1619.t1, g166.t1, g2525.t1, g3903.t1, g4004.t1, g4370.t1, g803.t1, g877.t1	g1186.t1
OG0000082					g1320.t1, g1383.t1, g2091.t1, g2104.t1, g2124.t1, g2631.t1, g3475.t1, g4764.t1, g4800.t1, g4991.t1, g680.t1, g702.t1	
OG0000083						g1287.t1, g1391.t1, g1928.t1, g2359.t1, g2637.t1, g2646.t1, g2927.t1, g3425.t1, g3981.t1, g4008.t1, g570.t1, g900.t1
OG0000084	g439.t1, g85.t1	g947.t1	g1549.t1		g1344.t1, g2725.t1, g335.t1, g863.t1	g3020.t1, g3652.t1, g935.t1
OG0000085	g156.t1	g219.t1, g515.t1	g1065.t1, g3298.t1, g387.t1		g3168.t1, g407.t1, g5120.t1	g2938.t1, g3829.t1
OG0000086	g252.t1				g2717.t1, g3161.t1, g3162.t1, g4610.t1, g4635.t1, g4636.t1, g4642.t1, g687.t1	g140.t1, g2786.t1
OG0000087	g292.t1	g849.t1	g1245.t1, g162.t1, g2250.t1		g1432.t1, g321.t1, g4863.t1, g5456.t1, g5457.t1	g1267.t1
OG0000088	g329.t1	g121.t1	g937.t1		g1900.t1, g3695.t1, g3860.t1, g4489.t1, g5018.t1, g5465.t1	g2715.t1, g2822.t1
OG0000089	g368.t1	g1306.t1, g1307.t1	g2218.t1, g2219.t1		g1389.t1, g1629.t1, g3024.t1, g5272.t1	g1116.t1, g2220.t1
OG0000090		g1121.t1, g1409.t1, g834.t1	g1226.t1, g2014.t1, g2287.t1, g2783.t1		g2380.t1, g3250.t1	g3317.t1, g3933.t1
OG0000091		g1388.t1, g931.t1	g3010.t1, g490.t1		g125.t1, g4860.t1, g5458.t1	g1434.t1, g147.t1, g2868.t1, g3452.t1
OG0000092		g1398.t1	g1105.t1, g1346.t1, g1347.t1, g1880.t1, g2453.t1, g2455.t1, g382.t1, g878.t1, g879.t1, g882.t1			
OG0000093		g1616.t1	g973.t1		g2915.t1, g3046.t1, g3380.t1, g3441.t1, g4142.t1, g4680.t1, g78.t1	g1137.t1, g473.t1
OG0000094			g1432.t1			g1285.t1, g1392.t1, g1393.t1, g1929.t1, g2360.t1, g3405.t1, g3579.t1, g4007.t1, g569.t1, g899.t1
OG0000095			g3525.t1		g1982.t1, g2298.t1	g1327.t1, g1450.t1, g2049.t1, g2797.t1, g2798.t1, g3395.t1, g3642.t1, g3823.t1
OG0000096					g1340.t1, g155.t1, g1941.t1, g2503.t1, g2969.t1, g441.t1, g4599.t1, g477.t1, g4931.t1	g186.t1, g333.t1
OG0000097					g2253.t1, g245.t1, g4175.t1	g1436.t1, g2752.t1, g2912.t1, g3457.t1, g3584.t1, g3590.t1, g4104.t1, g486.t1
OG0000098					g1238.t1, g1415.t1, g2157.t1, g2529.t1, g2590.t1, g275.t1, g2892.t1, g3387.t1, g484.t1, g4996.t1, g5289.t1	
OG0000099	g37.t1	g1723.t1, g570.t1	g810.t1, g922.t1		g5468.t1	g1525.t1, g1823.t1, g3610.t1, g823.t1
OG0000100	g49.t1	g190.t1	g2623.t1, g2625.t1, g3546.t1, g380.t1		g3431.t1, g4627.t1, g466.t1	g2480.t1
OG0000101	g71.t1	g1790.t1, g702.t1	g2145.t1, g3338.t1, g3354.t1, g557.t1, g976.t1		g4655.t1	g3079.t1
OG0000102	g119.t1	g1204.t1	g2707.t1		g1021.t1, g1269.t1, g227.t1, g4270.t1	g2323.t1, g3113.t1, g3295.t1
OG0000103	g168.t1	g941.t1	g1530.t1		g3034.t1, g3309.t1, g4629.t1	g1105.t1, g2482.t1, g2754.t1, g92.t1
OG0000104	g393.t1		g830.t1, g88.t1		g2494.t1, g2691.t1, g3233.t1, g4892.t1, g4895.t1, g555.t1	g2123.t1
OG0000105		g111.t1, g1133.t1, g1135.t1, g1136.t1, g1138.t1, g1139.t1, g1868.t1, g1871.t1, g1873.t1, g79.t1				
OG0000106		g1445.t1, g494.t1	g1470.t1, g3117.t1, g945.t1		g2933.t1, g3130.t1, g4404.t1, g527.t1	g3635.t1
OG0000107		g638.t1	g2009.t1, g2327.t1, g2603.t1, g2605.t1, g80.t1, g817.t1		g2316.t1, g4436.t1	g2595.t1
OG0000108		g647.t1	g715.t1		g1705.t1, g228.t1, g3498.t1	g2706.t1, g2763.t1, g3436.t1, g4082.t1, g97.t1
OG0000109		g1342.t1, g1462.t1	g2944.t1, g716.t1		g2302.t1, g3973.t1, g4713.t1, g940.t1	g1537.t1, g3407.t1
OG0000110		g1532.t1, g1662.t1, g1663.t1	g105.t1, g1972.t1, g420.t1, g896.t1		g1445.t1, g4919.t1	g3520.t1
OG0000111		g1815.t1	g1661.t1, g2828.t1, g522.t1		g1496.t1, g2514.t1, g968.t1	g1038.t1, g2097.t1, g3570.t1
OG0000112			g1174.t1, g1334.t1, g1512.t1, g1519.t1, g1905.t1, g2880.t1, g2891.t1, g2899.t1, g34.t1, g399.t1			
OG0000113			g1916.t1, g3213.t1, g381.t1		g2551.t1, g2553.t1, g3054.t1, g4413.t1, g5337.t1	g1954.t1, g3714.t1
OG0000114			g594.t1		g1173.t1, g1824.t1, g2730.t1, g3269.t1, g4182.t1, g471.t1, g5299.t1, g943.t1	g3265.t1
OG0000115					g189.t1, g2335.t1, g2635.t1, g2636.t1, g2637.t1, g2640.t1, g3514.t1, g3518.t1, g3583.t1, g4015.t1	
OG0000116					g1426.t1, g207.t1, g2633.t1, g2754.t1, g298.t1, g303.t1, g304.t1, g327.t1, g3682.t1	g810.t1
OG0000117					g1004.t1, g2166.t1, g2169.t1, g4162.t1, g4164.t1, g4740.t1, g506.t1	g2009.t1, g312.t1, g315.t1
OG0000118					g2114.t1, g3060.t1, g5075.t1, g5193.t1, g801.t1, g880.t1	g146.t1, g3675.t1, g369.t1, g526.t1
OG0000119					g4581.t1, g4582.t1, g4585.t1, g4587.t1, g5419.t1	g1566.t1, g1579.t1, g1633.t1, g3392.t1, g784.t1
OG0000120						g1133.t1, g1372.t1, g3135.t1, g3136.t1, g335.t1, g4072.t1, g4083.t1, g523.t1, g758.t1, g80.t1
