Orthogroup	Mycobacterium_leprae	Neisseria_gonorrhoeae
OG0000362	g306.t1	
OG0000363	g308.t1	
OG0000364	g309.t1	
OG0000365	g310.t1	
OG0000366	g311.t1	
OG0000367	g312.t1	
OG0000368	g314.t1	
OG0000369	g315.t1	
OG0000370	g317.t1	
OG0000371	g318.t1	
OG0000372	g319.t1	
OG0000373	g322.t1	
OG0000374	g324.t1	
OG0000375	g325.t1	
OG0000376	g326.t1	
OG0000377	g330.t1	
OG0000378	g335.t1	
OG0000379	g337.t1	
OG0000380	g338.t1	
OG0000381	g340.t1	
OG0000382	g341.t1	
OG0000383	g342.t1	
OG0000384	g344.t1	
OG0000385	g345.t1	
OG0000386	g346.t1	
OG0000387	g347.t1	
OG0000388	g349.t1	
OG0000389	g352.t1	
OG0000390	g353.t1	
OG0000391	g354.t1	
OG0000392	g356.t1	
OG0000393	g357.t1	
OG0000394	g360.t1	
OG0000395	g361.t1	
OG0000396	g362.t1	
OG0000397	g363.t1	
OG0000398	g364.t1	
OG0000399	g366.t1	
OG0000400	g367.t1	
OG0000401	g369.t1	
OG0000402	g370.t1	
OG0000403	g372.t1	
OG0000404	g373.t1	
OG0000405	g374.t1	
OG0000406	g375.t1	
OG0000407	g376.t1	
OG0000408	g377.t1	
OG0000409	g378.t1	
OG0000410	g379.t1	
OG0000411	g380.t1	
OG0000412	g382.t1	
OG0000413	g383.t1	
OG0000414	g384.t1	
OG0000415	g385.t1	
OG0000416	g386.t1	
OG0000417	g388.t1	
OG0000418	g390.t1	
OG0000419	g391.t1	
OG0000420	g392.t1	
OG0000421	g394.t1	
OG0000422	g395.t1	
OG0000423	g396.t1	
OG0000424	g397.t1	
OG0000425	g398.t1	
OG0000426	g399.t1	
OG0000427	g400.t1	
OG0000428	g403.t1	
OG0000429	g404.t1	
OG0000430	g405.t1	
OG0000431	g409.t1	
OG0000432	g410.t1	
OG0000433	g411.t1	
OG0000434	g412.t1	
OG0000435	g413.t1	
OG0000436	g414.t1	
OG0000437	g415.t1	
OG0000438	g416.t1	
OG0000439	g417.t1	
OG0000440	g418.t1	
OG0000441	g419.t1	
OG0000442	g420.t1	
OG0000443	g421.t1	
OG0000444	g423.t1	
OG0000445	g424.t1	
OG0000446	g425.t1	
OG0000447	g426.t1	
OG0000448	g427.t1	
OG0000449	g428.t1	
OG0000450	g429.t1	
OG0000451	g430.t1	
OG0000452	g431.t1	
OG0000453	g432.t1	
OG0000454	g433.t1	
OG0000455	g435.t1	
OG0000456	g437.t1	
OG0000457	g438.t1	
OG0000458	g439.t1	
OG0000459	g442.t1	
OG0000460	g447.t1	
OG0000461	g449.t1	
OG0000462	g450.t1	
OG0000463	g451.t1	
OG0000464	g452.t1	
OG0000465	g453.t1	
OG0000466	g454.t1	
OG0000467	g455.t1	
OG0000468	g457.t1	
OG0000469	g458.t1	
OG0000470	g460.t1	
OG0000471	g461.t1	
OG0000472	g462.t1	
OG0000473	g463.t1	
OG0000474	g464.t1	
OG0000475	g465.t1	
OG0000476	g466.t1	
OG0000477	g467.t1	
OG0000478	g468.t1	
OG0000479	g469.t1	
OG0000480	g470.t1	
OG0000481	g471.t1	
OG0000482	g472.t1	
OG0000483	g473.t1	
OG0000484	g475.t1	
OG0000485	g476.t1	
OG0000486	g477.t1	
OG0000487	g478.t1	
OG0000488	g480.t1	
OG0000489	g481.t1	
OG0000490	g482.t1	
OG0000491	g483.t1	
OG0000492	g487.t1	
OG0000493	g488.t1	
OG0000494	g489.t1	
OG0000495	g490.t1	
OG0000496	g491.t1	
OG0000497	g492.t1	
OG0000498	g493.t1	
OG0000499	g494.t1	
OG0000500	g495.t1	
OG0000501	g496.t1	
OG0000502	g500.t1	
OG0000503	g503.t1	
OG0000504	g505.t1	
OG0000505	g506.t1	
OG0000506	g507.t1	
OG0000507	g508.t1	
OG0000508	g509.t1	
OG0000509	g510.t1	
OG0000510	g511.t1	
OG0000511	g512.t1	
OG0000512	g513.t1	
OG0000513	g516.t1	
OG0000514	g518.t1	
OG0000515	g519.t1	
OG0000516	g520.t1	
OG0000517	g521.t1	
OG0000518	g522.t1	
OG0000519	g523.t1	
OG0000520	g524.t1	
OG0000521	g525.t1	
OG0000522	g526.t1	
OG0000523	g527.t1	
OG0000524	g528.t1	
OG0000525	g529.t1	
OG0000526	g531.t1	
OG0000527	g532.t1	
OG0000528	g533.t1	
OG0000529	g534.t1	
OG0000530	g535.t1	
OG0000531	g536.t1	
OG0000532	g537.t1	
OG0000533	g538.t1	
OG0000534	g540.t1	
OG0000535	g541.t1	
OG0000536	g542.t1	
OG0000537	g543.t1	
OG0000538	g544.t1	
OG0000539	g545.t1	
OG0000540	g547.t1	
OG0000541	g548.t1	
OG0000542	g549.t1	
OG0000543	g550.t1	
OG0000544	g551.t1	
OG0000545	g553.t1	
OG0000546	g554.t1	
OG0000547	g555.t1	
OG0000548	g556.t1	
OG0000549	g557.t1	
OG0000550	g560.t1	
OG0000551	g562.t1	
OG0000552	g563.t1	
OG0000553	g564.t1	
OG0000554	g565.t1	
OG0000555	g567.t1	
OG0000556	g568.t1	
OG0000557	g569.t1	
OG0000558	g571.t1	
OG0000559	g572.t1	
OG0000560	g573.t1	
OG0000561	g574.t1	
OG0000562	g577.t1	
OG0000563	g578.t1	
OG0000564	g581.t1	
OG0000565	g583.t1	
OG0000566	g584.t1	
OG0000567	g585.t1	
OG0000568	g586.t1	
OG0000569	g588.t1	
OG0000570	g589.t1	
OG0000571	g591.t1	
OG0000572	g592.t1	
OG0000573	g593.t1	
OG0000574	g594.t1	
OG0000575	g595.t1	
OG0000576	g596.t1	
OG0000577	g599.t1	
OG0000578	g600.t1	
OG0000579	g601.t1	
OG0000580	g603.t1	
OG0000581	g604.t1	
OG0000582	g606.t1	
OG0000583	g608.t1	
OG0000584	g610.t1	
OG0000585	g611.t1	
OG0000586	g612.t1	
OG0000587	g613.t1	
OG0000588	g617.t1	
OG0000589	g619.t1	
OG0000590	g621.t1	
OG0000591	g623.t1	
OG0000592	g624.t1	
OG0000593	g626.t1	
OG0000594	g628.t1	
OG0000595	g630.t1	
OG0000596	g631.t1	
OG0000597	g632.t1	
OG0000598	g633.t1	
OG0000599	g634.t1	
OG0000600	g635.t1	
OG0000601	g636.t1	
OG0000602	g637.t1	
OG0000603	g638.t1	
OG0000604	g639.t1	
OG0000605	g640.t1	
OG0000606	g641.t1	
OG0000607	g642.t1	
OG0000608	g643.t1	
OG0000609	g644.t1	
OG0000610	g645.t1	
OG0000611	g646.t1	
OG0000612	g647.t1	
OG0000613	g648.t1	
OG0000614	g650.t1	
OG0000615	g651.t1	
OG0000616	g653.t1	
OG0000617	g655.t1	
OG0000618	g656.t1	
OG0000619	g657.t1	
OG0000620	g658.t1	
OG0000621	g659.t1	
OG0000622	g661.t1	
OG0000623	g662.t1	
OG0000624	g663.t1	
OG0000625	g665.t1	
OG0000626	g666.t1	
OG0000627	g669.t1	
OG0000628	g670.t1	
OG0000629	g671.t1	
OG0000630	g672.t1	
OG0000631	g673.t1	
OG0000632	g674.t1	
OG0000633	g675.t1	
OG0000634	g676.t1	
OG0000635	g677.t1	
OG0000636	g679.t1	
OG0000637	g680.t1	
OG0000638	g682.t1	
OG0000639	g683.t1	
OG0000640	g684.t1	
OG0000641	g685.t1	
OG0000642	g686.t1	
OG0000643	g687.t1	
OG0000644	g691.t1	
OG0000645	g694.t1	
OG0000646	g697.t1	
OG0000647	g698.t1	
OG0000648	g700.t1	
OG0000649	g702.t1	
OG0000650	g703.t1	
OG0000651	g704.t1	
OG0000652	g705.t1	
OG0000653	g706.t1	
OG0000654	g707.t1	
OG0000655	g708.t1	
OG0000656	g709.t1	
OG0000657	g716.t1	
OG0000658	g718.t1	
OG0000659	g719.t1	
OG0000660	g720.t1	
OG0000661	g721.t1	
OG0000662	g722.t1	
OG0000663	g723.t1	
OG0000664	g725.t1	
OG0000665	g727.t1	
OG0000666	g728.t1	
OG0000667	g729.t1	
OG0000668	g730.t1	
OG0000669	g731.t1	
OG0000670	g732.t1	
OG0000671	g733.t1	
OG0000672	g735.t1	
OG0000673	g736.t1	
OG0000674	g738.t1	
OG0000675	g739.t1	
OG0000676	g740.t1	
OG0000677	g741.t1	
OG0000678	g742.t1	
OG0000679	g744.t1	
OG0000680	g745.t1	
OG0000681	g746.t1	
OG0000682	g747.t1	
OG0000683	g748.t1	
OG0000684	g749.t1	
OG0000685	g750.t1	
OG0000686	g752.t1	
OG0000687	g753.t1	
OG0000688	g754.t1	
OG0000689	g755.t1	
OG0000690	g756.t1	
OG0000691	g757.t1	
OG0000692	g759.t1	
OG0000693	g761.t1	
OG0000694	g762.t1	
OG0000695	g763.t1	
OG0000696	g764.t1	
OG0000697	g765.t1	
OG0000698	g766.t1	
OG0000699	g767.t1	
OG0000700	g768.t1	
OG0000701	g769.t1	
OG0000702	g770.t1	
OG0000703	g771.t1	
OG0000704	g772.t1	
OG0000705	g773.t1	
OG0000706	g774.t1	
OG0000707	g776.t1	
OG0000708	g777.t1	
OG0000709	g778.t1	
OG0000710	g779.t1	
OG0000711	g781.t1	
OG0000712	g783.t1	
OG0000713	g784.t1	
OG0000714	g785.t1	
OG0000715	g787.t1	
OG0000716	g788.t1	
OG0000717	g790.t1	
OG0000718	g792.t1	
OG0000719	g793.t1	
OG0000720	g794.t1	
OG0000721	g795.t1	
OG0000722	g796.t1	
OG0000723	g797.t1	
OG0000724	g798.t1	
OG0000725	g799.t1	
OG0000726	g800.t1	
OG0000727	g801.t1	
OG0000728	g802.t1	
OG0000729	g803.t1	
OG0000730	g804.t1	
OG0000731	g805.t1	
OG0000732	g806.t1	
OG0000733	g807.t1	
OG0000734	g808.t1	
OG0000735	g809.t1	
OG0000736	g811.t1	
OG0000737	g812.t1	
OG0000738	g813.t1	
OG0000739	g814.t1	
OG0000740	g815.t1	
OG0000741	g816.t1	
OG0000742	g818.t1	
OG0000743	g819.t1	
OG0000744	g820.t1	
OG0000745	g821.t1	
OG0000746	g825.t1	
OG0000747	g826.t1	
OG0000748	g828.t1	
OG0000749	g831.t1	
OG0000750	g832.t1	
OG0000751	g836.t1	
OG0000752	g837.t1	
OG0000753	g838.t1	
OG0000754	g839.t1	
OG0000755	g840.t1	
OG0000756	g843.t1	
OG0000757	g844.t1	
OG0000758	g845.t1	
OG0000759	g846.t1	
OG0000760	g847.t1	
OG0000761	g848.t1	
OG0000762	g850.t1	
OG0000763	g851.t1	
OG0000764	g852.t1	
OG0000765	g856.t1	
OG0000766	g857.t1	
OG0000767	g858.t1	
OG0000768	g859.t1	
OG0000769	g862.t1	
OG0000770	g863.t1	
OG0000771	g864.t1	
OG0000772	g865.t1	
OG0000773	g866.t1	
OG0000774	g867.t1	
OG0000775	g870.t1	
OG0000776	g871.t1	
OG0000777	g872.t1	
OG0000778	g873.t1	
OG0000779	g874.t1	
OG0000780	g876.t1	
OG0000781	g878.t1	
OG0000782	g880.t1	
OG0000783	g881.t1	
OG0000784	g883.t1	
OG0000785	g884.t1	
OG0000786	g885.t1	
OG0000787	g886.t1	
OG0000788	g887.t1	
OG0000789	g889.t1	
OG0000790	g891.t1	
OG0000791	g892.t1	
OG0000792	g893.t1	
OG0000793	g895.t1	
OG0000794	g897.t1	
OG0000795	g898.t1	
OG0000796	g900.t1	
OG0000797	g901.t1	
OG0000798	g902.t1	
OG0000799	g903.t1	
OG0000800	g904.t1	
OG0000801	g905.t1	
OG0000802	g906.t1	
OG0000803	g907.t1	
OG0000804	g908.t1	
OG0000805	g909.t1	
OG0000806	g910.t1	
OG0000807	g911.t1	
OG0000808	g912.t1	
OG0000809	g913.t1	
OG0000810	g914.t1	
OG0000811	g915.t1	
OG0000812	g916.t1	
OG0000813	g917.t1	
OG0000814	g918.t1	
OG0000815	g919.t1	
OG0000816	g920.t1	
OG0000817	g921.t1	
OG0000818	g922.t1	
OG0000819	g923.t1	
OG0000820	g925.t1	
OG0000821	g926.t1	
OG0000822	g927.t1	
OG0000823	g928.t1	
OG0000824	g929.t1	
OG0000825	g930.t1	
OG0000826	g931.t1	
OG0000827	g932.t1	
OG0000828	g934.t1	
OG0000829	g935.t1	
OG0000830	g936.t1	
OG0000831	g938.t1	
OG0000832	g939.t1	
OG0000833	g940.t1	
OG0000834	g941.t1	
OG0000835	g942.t1	
OG0000836	g943.t1	
OG0000837	g944.t1	
OG0000838	g945.t1	
OG0000839	g946.t1	
OG0000840	g948.t1	
OG0000841	g949.t1	
OG0000842	g950.t1	
OG0000843	g951.t1	
OG0000844	g955.t1	
OG0000845	g956.t1	
OG0000846	g958.t1	
OG0000847	g959.t1	
OG0000848	g960.t1	
OG0000849	g961.t1	
OG0000850	g963.t1	
OG0000851	g964.t1	
OG0000852	g966.t1	
OG0000853	g968.t1	
OG0000854	g969.t1	
OG0000855	g971.t1	
OG0000856	g972.t1	
OG0000857	g976.t1	
OG0000858	g978.t1	
OG0000859	g979.t1	
OG0000860	g980.t1	
OG0000861	g981.t1	
OG0000862	g982.t1	
OG0000863	g984.t1	
OG0000864	g987.t1	
OG0000865	g989.t1	
OG0000866	g990.t1	
OG0000867	g991.t1	
OG0000868	g993.t1	
OG0000869	g994.t1	
OG0000870	g996.t1	
OG0000871	g997.t1	
OG0000872	g998.t1	
OG0000873	g999.t1	
OG0000874	g1000.t1	
OG0000875	g1001.t1	
OG0000876	g1002.t1	
OG0000877	g1004.t1	
OG0000878	g1005.t1	
OG0000879	g1006.t1	
OG0000880	g1007.t1	
OG0000881	g1008.t1	
OG0000882	g1010.t1	
OG0000883	g1011.t1	
OG0000884	g1012.t1	
OG0000885	g1013.t1	
OG0000886	g1014.t1	
OG0000887	g1015.t1	
OG0000888	g1017.t1	
OG0000889	g1018.t1	
OG0000890	g1025.t1	
OG0000891	g1026.t1	
OG0000892	g1027.t1	
OG0000893	g1028.t1	
OG0000894	g1029.t1	
OG0000895	g1030.t1	
OG0000896	g1031.t1	
OG0000897	g1032.t1	
OG0000898	g1033.t1	
OG0000899	g1034.t1	
OG0000900	g1036.t1	
OG0000901	g1038.t1	
OG0000902	g1039.t1	
OG0000903	g1040.t1	
OG0000904	g1042.t1	
OG0000905	g1043.t1	
OG0000906	g1044.t1	
OG0000907	g1045.t1	
OG0000908	g1046.t1	
OG0000909	g1047.t1	
OG0000910	g1048.t1	
OG0000911	g1049.t1	
OG0000912	g1050.t1	
OG0000913	g1051.t1	
OG0000914	g1054.t1	
OG0000915	g1055.t1	
OG0000916	g1057.t1	
OG0000917	g1058.t1	
OG0000918	g1059.t1	
OG0000919	g1060.t1	
OG0000920	g1061.t1	
OG0000921	g1063.t1	
OG0000922	g1064.t1	
OG0000923	g1065.t1	
OG0000924	g1066.t1	
OG0000925	g1067.t1	
OG0000926	g1068.t1	
OG0000927	g1071.t1	
OG0000928	g1072.t1	
OG0000929	g1073.t1	
OG0000930	g1074.t1	
OG0000931	g1076.t1	
OG0000932	g1077.t1	
OG0000933	g1078.t1	
OG0000934	g1079.t1	
OG0000935	g1080.t1	
OG0000936	g1081.t1	
OG0000937	g1082.t1	
OG0000938	g1083.t1	
OG0000939	g1084.t1	
OG0000940	g1086.t1	
OG0000941	g1087.t1	
OG0000942	g1088.t1	
OG0000943	g1089.t1	
OG0000944	g1093.t1	
OG0000945	g1094.t1	
OG0000946	g1098.t1	
OG0000947	g1099.t1	
OG0000948	g1101.t1	
OG0000949	g1103.t1	
OG0000950	g1104.t1	
OG0000951	g1105.t1	
OG0000952	g1106.t1	
OG0000953	g1107.t1	
OG0000954	g1108.t1	
OG0000955	g1111.t1	
OG0000956	g1112.t1	
OG0000957	g1114.t1	
OG0000958	g1115.t1	
OG0000959	g1116.t1	
OG0000960	g1118.t1	
OG0000961	g1119.t1	
OG0000962	g1124.t1	
OG0000963	g1125.t1	
OG0000964	g1126.t1	
OG0000965	g1127.t1	
OG0000966	g1128.t1	
OG0000967	g1129.t1	
OG0000968	g1130.t1	
OG0000969	g1131.t1	
OG0000970	g1140.t1	
OG0000971	g1142.t1	
OG0000972	g1143.t1	
OG0000973	g1144.t1	
OG0000974	g1145.t1	
OG0000975	g1146.t1	
OG0000976	g1147.t1	
OG0000977	g1148.t1	
OG0000978	g1150.t1	
OG0000979	g1151.t1	
OG0000980	g1152.t1	
OG0000981	g1154.t1	
OG0000982	g1155.t1	
OG0000983	g1156.t1	
OG0000984	g1157.t1	
OG0000985	g1158.t1	
OG0000986	g1159.t1	
OG0000987	g1160.t1	
OG0000988	g1162.t1	
OG0000989	g1163.t1	
OG0000990	g1164.t1	
OG0000991	g1165.t1	
OG0000992	g1166.t1	
OG0000993	g1167.t1	
OG0000994	g1169.t1	
OG0000995	g1170.t1	
OG0000996	g1171.t1	
OG0000997	g1176.t1	
OG0000998	g1177.t1	
OG0000999	g1178.t1	
OG0001000	g1179.t1	
OG0001001	g1180.t1	
OG0001002	g1183.t1	
OG0001003	g1184.t1	
OG0001004	g1185.t1	
OG0001005	g1186.t1	
OG0001006	g1187.t1	
OG0001007	g1190.t1	
OG0001008	g1191.t1	
OG0001009	g1192.t1	
OG0001010	g1193.t1	
OG0001011	g1194.t1	
OG0001012	g1195.t1	
OG0001013	g1196.t1	
OG0001014	g1197.t1	
OG0001015	g1199.t1	
OG0001016	g1200.t1	
OG0001017	g1201.t1	
OG0001018	g1202.t1	
OG0001019	g1203.t1	
OG0001020	g1204.t1	
OG0001021	g1205.t1	
OG0001022	g1206.t1	
OG0001023	g1207.t1	
OG0001024	g1208.t1	
OG0001025	g1209.t1	
OG0001026	g1210.t1	
OG0001027	g1212.t1	
OG0001028	g1213.t1	
OG0001029	g1214.t1	
OG0001030	g1215.t1	
OG0001031	g1216.t1	
OG0001032	g1217.t1	
OG0001033	g1218.t1	
OG0001034	g1219.t1	
OG0001035	g1221.t1	
OG0001036	g1224.t1	
OG0001037	g1227.t1	
OG0001038	g1228.t1	
OG0001039	g1229.t1	
OG0001040	g1230.t1	
OG0001041	g1232.t1	
OG0001042	g1234.t1	
OG0001043	g1235.t1	
OG0001044	g1236.t1	
OG0001045	g1238.t1	
OG0001046	g1239.t1	
OG0001047	g1240.t1	
OG0001048	g1241.t1	
OG0001049	g1242.t1	
OG0001050	g1246.t1	
OG0001051	g1247.t1	
OG0001052	g1248.t1	
OG0001053	g1249.t1	
OG0001054	g1250.t1	
OG0001055	g1251.t1	
OG0001056	g1252.t1	
OG0001057	g1253.t1	
OG0001058	g1256.t1	
OG0001059	g1257.t1	
OG0001060	g1259.t1	
OG0001061	g1260.t1	
OG0001062	g1262.t1	
OG0001063	g1263.t1	
OG0001064	g1264.t1	
OG0001065	g1265.t1	
OG0001066	g1266.t1	
OG0001067	g1267.t1	
OG0001068	g1268.t1	
OG0001069	g1269.t1	
OG0001070	g1270.t1	
OG0001071	g1271.t1	
OG0001072	g1272.t1	
OG0001073	g1273.t1	
OG0001074	g1274.t1	
OG0001075	g1275.t1	
OG0001076	g1277.t1	
OG0001077	g1278.t1	
OG0001078	g1279.t1	
OG0001079	g1280.t1	
OG0001080	g1281.t1	
OG0001081	g1282.t1	
OG0001082	g1283.t1	
OG0001083	g1284.t1	
OG0001084	g1286.t1	
OG0001085	g1292.t1	
OG0001086	g1294.t1	
OG0001087	g1295.t1	
OG0001088	g1296.t1	
OG0001089	g1297.t1	
OG0001090	g1298.t1	
OG0001091	g1299.t1	
OG0001092	g1300.t1	
OG0001093	g1301.t1	
OG0001094	g1303.t1	
OG0001095	g1305.t1	
OG0001096	g1309.t1	
OG0001097	g1310.t1	
OG0001098	g1313.t1	
OG0001099	g1314.t1	
OG0001100	g1315.t1	
OG0001101	g1316.t1	
OG0001102	g1317.t1	
OG0001103	g1318.t1	
OG0001104	g1319.t1	
OG0001105	g1320.t1	
OG0001106	g1322.t1	
OG0001107	g1324.t1	
OG0001108	g1325.t1	
OG0001109	g1326.t1	
OG0001110	g1327.t1	
OG0001111	g1328.t1	
OG0001112	g1329.t1	
OG0001113	g1330.t1	
OG0001114	g1331.t1	
OG0001115	g1332.t1	
OG0001116	g1334.t1	
OG0001117	g1335.t1	
OG0001118	g1337.t1	
OG0001119	g1338.t1	
OG0001120	g1339.t1	
OG0001121	g1340.t1	
OG0001122	g1341.t1	
OG0001123	g1343.t1	
OG0001124	g1344.t1	
OG0001125	g1345.t1	
OG0001126	g1346.t1	
OG0001127	g1349.t1	
OG0001128	g1350.t1	
OG0001129	g1351.t1	
OG0001130	g1352.t1	
OG0001131	g1354.t1	
OG0001132	g1355.t1	
OG0001133	g1356.t1	
OG0001134	g1357.t1	
OG0001135	g1358.t1	
OG0001136	g1360.t1	
OG0001137	g1361.t1	
OG0001138	g1363.t1	
OG0001139	g1365.t1	
OG0001140	g1366.t1	
OG0001141	g1367.t1	
OG0001142	g1368.t1	
OG0001143	g1369.t1	
OG0001144	g1372.t1	
OG0001145	g1375.t1	
OG0001146	g1376.t1	
OG0001147	g1378.t1	
OG0001148	g1379.t1	
OG0001149	g1382.t1	
OG0001150	g1383.t1	
OG0001151	g1384.t1	
OG0001152	g1386.t1	
OG0001153	g1387.t1	
OG0001154	g1388.t1	
OG0001155	g1390.t1	
OG0001156	g1396.t1	
OG0001157	g1398.t1	
OG0001158	g1399.t1	
OG0001159	g1400.t1	
OG0001160	g1401.t1	
OG0001161	g1402.t1	
OG0001162	g1403.t1	
OG0001163	g1404.t1	
OG0001164	g1405.t1	
OG0001165	g1406.t1	
OG0001166	g1407.t1	
OG0001167	g1411.t1	
OG0001168	g1412.t1	
OG0001169	g1413.t1	
OG0001170	g1415.t1	
OG0001171	g1416.t1	
OG0001172	g1417.t1	
OG0001173	g1418.t1	
OG0001174	g1419.t1	
OG0001175	g1420.t1	
OG0001176	g1423.t1	
OG0001177	g1424.t1	
OG0001178	g1425.t1	
OG0001179	g1426.t1	
OG0001180	g1427.t1	
OG0001181	g1428.t1	
OG0001182	g1429.t1	
OG0001183	g1430.t1	
OG0001184	g1432.t1	
OG0001185	g1433.t1	
OG0001186	g1434.t1	
OG0001187	g1437.t1	
OG0001188	g1438.t1	
OG0001189	g1439.t1	
OG0001190	g1440.t1	
OG0001191	g1441.t1	
OG0001192	g1443.t1	
OG0001193	g1444.t1	
OG0001194	g1445.t1	
OG0001195	g1448.t1	
OG0001196	g1451.t1	
OG0001197	g1452.t1	
OG0001198	g1453.t1	
OG0001199	g1454.t1	
OG0001200	g1456.t1	
OG0001201	g1458.t1	
OG0001202	g1459.t1	
OG0001203	g1460.t1	
OG0001204	g1461.t1	
OG0001205	g1463.t1	
OG0001206	g1464.t1	
OG0001207	g1467.t1	
OG0001208	g1468.t1	
OG0001209	g1469.t1	
