OG0000000: g111.t1 g1132.t1 g1133.t1 g1134.t1 g1135.t1 g1136.t1 g1137.t1 g1138.t1 g1139.t1 g115.t1 g1304.t1 g1306.t1 g1307.t1 g1515.t1 g1867.t1 g1868.t1 g1869.t1 g1870.t1 g1871.t1 g1872.t1 g1873.t1 g79.t1 g80.t1 g933.t1 g965.t1
OG0000001: g1003.t1 g1090.t1 g1096.t1 g1120.t1 g1373.t1 g1450.t1 g1499.t1 g1616.t1 g1643.t1 g1723.t1 g1866.t1 g259.t1 g440.t1 g445.t1 g504.t1 g570.t1 g654.t1 g835.t1 g860.t1 g861.t1 g869.t1 g93.t1 g977.t1
OG0000002: g109.t1 g110.t1 g114.t1 g1574.t1 g1575.t1 g1771.t1 g1874.t1 g197.t1 g339.t1 g350.t1 g690.t1 g78.t1 g810.t1 g970.t1
OG0000003: g1385.t1 g1391.t1 g1442.t1 g1776.t1 g245.t1 g247.t1 g269.t1 g316.t1 g615.t1 g668.t1 g841.t1 g87.t1
OG0000004: g1035.t1 g1172.t1 g1220.t1 g177.t1 g190.t1 g29.t1 g43.t1
OG0000005: g107.t1 g1362.t1 g1370.t1 g1421.t1 g1493.t1 g1787.t1 g401.t1
OG0000006: g1211.t1 g1389.t1 g262.t1 g263.t1 g497.t1 g498.t1 g566.t1
OG0000007: g1455.t1 g1572.t1 g304.t1 g39.t1 g393.t1 g924.t1
OG0000008: g1381.t1 g248.t1 g50.t1 g552.t1 g627.t1 g824.t1
OG0000009: g1371.t1 g1666.t1 g1699.t1 g1777.t1 g973.t1 g99.t1
OG0000010: g1189.t1 g1233.t1 g1489.t1 g1490.t1 g3.t1 g459.t1
OG0000011: g1091.t1 g13.t1 g14.t1 g239.t1 g699.t1
OG0000012: g1374.t1 g66.t1 g67.t1 g695.t1 g975.t1
OG0000013: g1308.t1 g320.t1 g321.t1 g561.t1 g81.t1
OG0000014: g1009.t1 g1255.t1 g141.t1 g1672.t1 g597.t1
OG0000015: g1095.t1 g1517.t1 g1818.t1 g218.t1 g359.t1
OG0000016: g1823.t1 g287.t1 g485.t1 g587.t1 g618.t1
OG0000017: g1117.t1 g1392.t1 g1394.t1 g1397.t1 g299.t1
OG0000018: g1075.t1 g1161.t1 g1535.t1 g479.t1 g775.t1
OG0000019: g1503.t1 g1523.t1 g1783.t1 g1812.t1 g514.t1
OG0000020: g1841.t1 g711.t1 g712.t1 g714.t1 g717.t1
OG0000021: g1504.t1 g1505.t1 g1506.t1 g1507.t1 g1848.t1
OG0000022: g12.t1 g1243.t1 g298.t1 g389.t1
OG0000023: g1245.t1 g15.t1 g1824.t1 g710.t1
OG0000024: g1168.t1 g192.t1 g25.t1 g937.t1
OG0000025: g1225.t1 g40.t1 g41.t1 g758.t1
OG0000026: g1182.t1 g1678.t1 g47.t1 g501.t1
OG0000027: g1016.t1 g1153.t1 g1293.t1 g62.t1
OG0000028: g1359.t1 g446.t1 g652.t1 g96.t1
OG0000029: g1377.t1 g1422.t1 g1613.t1 g97.t1
OG0000030: g101.t1 g1181.t1 g1431.t1 g983.t1
OG0000031: g1102.t1 g163.t1 g1857.t1 g896.t1
OG0000032: g164.t1 g1849.t1 g348.t1 g371.t1
OG0000033: g1541.t1 g1559.t1 g166.t1 g580.t1
OG0000034: g1092.t1 g1323.t1 g205.t1 g622.t1
OG0000035: g1347.t1 g1642.t1 g1704.t1 g267.t1
OG0000036: g1364.t1 g329.t1 g689.t1 g822.t1
OG0000037: g1109.t1 g351.t1 g953.t1 g954.t1
OG0000038: g1570.t1 g1579.t1 g1662.t1 g576.t1
OG0000039: g649.t1 g875.t1 g947.t1 g995.t1
OG0000040: g1446.t1 g1447.t1 g688.t1 g952.t1
OG0000041: g1258.t1 g1353.t1 g854.t1 g855.t1
OG0000042: g1648.t1 g1649.t1 g1724.t1 g1725.t1
OG0000043: g1636.t1 g18.t1 g19.t1
OG0000044: g1070.t1 g36.t1 g614.t1
OG0000045: g1380.t1 g1795.t1 g51.t1
OG0000046: g1767.t1 g579.t1 g60.t1
OG0000047: g1599.t1 g75.t1 g76.t1
OG0000048: g83.t1 g84.t1 g85.t1
OG0000049: g1847.t1 g849.t1 g88.t1
OG0000050: g108.t1 g217.t1 g266.t1
OG0000051: g142.t1 g1673.t1 g598.t1
OG0000052: g143.t1 g1813.t1 g829.t1
OG0000053: g1097.t1 g188.t1 g365.t1
OG0000054: g191.t1 g620.t1 g992.t1
OG0000055: g1600.t1 g1691.t1 g194.t1
OG0000056: g203.t1 g582.t1 g823.t1
OG0000057: g1100.t1 g255.t1 g307.t1
OG0000058: g274.t1 g539.t1 g590.t1
OG0000059: g1740.t1 g278.t1 g678.t1
OG0000060: g1149.t1 g289.t1 g827.t1
OG0000061: g1626.t1 g291.t1 g292.t1
OG0000062: g323.t1 g558.t1 g616.t1
OG0000063: g1640.t1 g331.t1 g760.t1
OG0000064: g1760.t1 g332.t1 g853.t1
OG0000065: g1188.t1 g355.t1 g868.t1
OG0000066: g1244.t1 g1457.t1 g381.t1
OG0000067: g1237.t1 g1587.t1 g407.t1
OG0000068: g1019.t1 g499.t1 g791.t1
OG0000069: g1311.t1 g1592.t1 g575.t1
OG0000070: g1700.t1 g607.t1 g899.t1
OG0000071: g1393.t1 g1395.t1 g629.t1
OG0000072: g1821.t1 g1822.t1 g693.t1
OG0000073: g1122.t1 g1408.t1 g833.t1
OG0000074: g1121.t1 g1409.t1 g834.t1
OG0000075: g877.t1 g888.t1 g890.t1
OG0000076: g1052.t1 g1290.t1 g1291.t1
OG0000077: g1113.t1 g1545.t1 g1756.t1
OG0000078: g358.t1 g8.t1
OG0000265: g159.t1
OG0000266: g161.t1
OG0000267: g162.t1
OG0000268: g165.t1
OG0000269: g168.t1
OG0000270: g169.t1
OG0000271: g170.t1
OG0000272: g171.t1
OG0000273: g172.t1
OG0000274: g173.t1
OG0000275: g174.t1
OG0000276: g175.t1
OG0000277: g176.t1
OG0000278: g178.t1
OG0000279: g180.t1
OG0000280: g181.t1
OG0000281: g182.t1
OG0000282: g183.t1
OG0000283: g184.t1
OG0000284: g185.t1
OG0000285: g186.t1
OG0000286: g187.t1
OG0000287: g189.t1
OG0000288: g193.t1
OG0000289: g195.t1
OG0000290: g196.t1
OG0000291: g198.t1
OG0000292: g199.t1
OG0000293: g201.t1
OG0000294: g202.t1
OG0000295: g204.t1
OG0000296: g206.t1
OG0000297: g207.t1
OG0000298: g208.t1
OG0000299: g209.t1
OG0000300: g210.t1
OG0000301: g211.t1
OG0000302: g212.t1
OG0000303: g213.t1
OG0000304: g214.t1
OG0000305: g215.t1
OG0000306: g216.t1
OG0000307: g220.t1
OG0000308: g221.t1
OG0000309: g222.t1
OG0000310: g223.t1
OG0000311: g224.t1
OG0000312: g225.t1
OG0000313: g226.t1
OG0000314: g227.t1
OG0000315: g228.t1
OG0000316: g229.t1
OG0000317: g231.t1
OG0000318: g232.t1
OG0000319: g233.t1
OG0000320: g236.t1
OG0000321: g237.t1
OG0000322: g238.t1
OG0000323: g240.t1
OG0000324: g241.t1
OG0000325: g242.t1
OG0000326: g243.t1
OG0000327: g244.t1
OG0000328: g246.t1
OG0000329: g250.t1
OG0000330: g251.t1
OG0000331: g252.t1
OG0000332: g253.t1
OG0000333: g256.t1
OG0000334: g257.t1
OG0000335: g258.t1
OG0000336: g260.t1
OG0000337: g261.t1
OG0000338: g264.t1
OG0000339: g265.t1
OG0000340: g268.t1
OG0000341: g270.t1
OG0000342: g271.t1
OG0000343: g272.t1
OG0000344: g273.t1
OG0000345: g275.t1
OG0000346: g276.t1
OG0000347: g277.t1
OG0000348: g279.t1
OG0000349: g280.t1
OG0000350: g281.t1
OG0000351: g282.t1
OG0000352: g285.t1
OG0000353: g288.t1
OG0000354: g290.t1
OG0000355: g293.t1
OG0000356: g294.t1
OG0000357: g296.t1
OG0000358: g297.t1
OG0000359: g300.t1
OG0000360: g301.t1
OG0000361: g302.t1
OG0000362: g306.t1
OG0000363: g308.t1
OG0000364: g309.t1
OG0000365: g310.t1
OG0000366: g311.t1
OG0000367: g312.t1
OG0000368: g314.t1
OG0000369: g315.t1
OG0000370: g317.t1
OG0000371: g318.t1
OG0000372: g319.t1
OG0000373: g322.t1
OG0000374: g324.t1
OG0000375: g325.t1
OG0000376: g326.t1
OG0000377: g330.t1
OG0000378: g335.t1
OG0000379: g337.t1
OG0000380: g338.t1
OG0000381: g340.t1
OG0000382: g341.t1
OG0000383: g342.t1
OG0000384: g344.t1
OG0000385: g345.t1
OG0000386: g346.t1
OG0000387: g347.t1
OG0000388: g349.t1
OG0000389: g352.t1
OG0000390: g353.t1
OG0000391: g354.t1
OG0000392: g356.t1
OG0000393: g357.t1
OG0000394: g360.t1
OG0000395: g361.t1
OG0000396: g362.t1
OG0000397: g363.t1
OG0000398: g364.t1
OG0000399: g366.t1
OG0000400: g367.t1
OG0000401: g369.t1
OG0000402: g370.t1
OG0000403: g372.t1
OG0000404: g373.t1
OG0000405: g374.t1
OG0000406: g375.t1
OG0000407: g376.t1
OG0000408: g377.t1
OG0000409: g378.t1
OG0000410: g379.t1
OG0000411: g380.t1
OG0000412: g382.t1
OG0000413: g383.t1
OG0000414: g384.t1
OG0000415: g385.t1
OG0000416: g386.t1
OG0000417: g388.t1
OG0000418: g390.t1
OG0000419: g391.t1
OG0000420: g392.t1
OG0000421: g394.t1
OG0000422: g395.t1
OG0000423: g396.t1
OG0000424: g397.t1
OG0000425: g398.t1
OG0000426: g399.t1
OG0000427: g400.t1
OG0000428: g403.t1
OG0000429: g404.t1
OG0000430: g405.t1
OG0000431: g409.t1
OG0000432: g410.t1
OG0000433: g411.t1
OG0000434: g412.t1
OG0000435: g413.t1
OG0000436: g414.t1
OG0000437: g415.t1
OG0000438: g416.t1
OG0000439: g417.t1
OG0000440: g418.t1
OG0000441: g419.t1
OG0000442: g420.t1
OG0000443: g421.t1
OG0000444: g423.t1
OG0000445: g424.t1
OG0000446: g425.t1
OG0000447: g426.t1
OG0000448: g427.t1
OG0000449: g428.t1
OG0000450: g429.t1
OG0000451: g430.t1
OG0000452: g431.t1
OG0000453: g432.t1
OG0000454: g433.t1
OG0000455: g435.t1
OG0000456: g437.t1
OG0000457: g438.t1
OG0000458: g439.t1
OG0000459: g442.t1
OG0000460: g447.t1
OG0000461: g449.t1
OG0000462: g450.t1
OG0000463: g451.t1
OG0000464: g452.t1
OG0000465: g453.t1
OG0000466: g454.t1
OG0000467: g455.t1
OG0000468: g457.t1
OG0000469: g458.t1
OG0000470: g460.t1
OG0000471: g461.t1
OG0000472: g462.t1
OG0000473: g463.t1
OG0000474: g464.t1
OG0000475: g465.t1
OG0000476: g466.t1
OG0000477: g467.t1
OG0000478: g468.t1
OG0000479: g469.t1
OG0000480: g470.t1
OG0000481: g471.t1
OG0000482: g472.t1
OG0000483: g473.t1
OG0000484: g475.t1
OG0000485: g476.t1
OG0000486: g477.t1
OG0000487: g478.t1
OG0000488: g480.t1
OG0000489: g481.t1
OG0000490: g482.t1
OG0000491: g483.t1
OG0000492: g487.t1
OG0000493: g488.t1
OG0000494: g489.t1
OG0000495: g490.t1
OG0000496: g491.t1
OG0000497: g492.t1
OG0000498: g493.t1
OG0000499: g494.t1
OG0000500: g495.t1
OG0000501: g496.t1
OG0000502: g500.t1
OG0000503: g503.t1
OG0000504: g505.t1
OG0000505: g506.t1
OG0000506: g507.t1
OG0000507: g508.t1
OG0000508: g509.t1
OG0000509: g510.t1
OG0000510: g511.t1
OG0000511: g512.t1
OG0000512: g513.t1
OG0000513: g516.t1
OG0000514: g518.t1
OG0000515: g519.t1
OG0000516: g520.t1
OG0000517: g521.t1
OG0000518: g522.t1
OG0000519: g523.t1
OG0000520: g524.t1
OG0000521: g525.t1
OG0000522: g526.t1
OG0000523: g527.t1
OG0000524: g528.t1
OG0000525: g529.t1
OG0000526: g531.t1
OG0000527: g532.t1
OG0000528: g533.t1
OG0000529: g534.t1
OG0000530: g535.t1
OG0000531: g536.t1
OG0000532: g537.t1
OG0000533: g538.t1
OG0000534: g540.t1
OG0000535: g541.t1
OG0000536: g542.t1
OG0000537: g543.t1
OG0000538: g544.t1
OG0000539: g545.t1
OG0000540: g547.t1
OG0000541: g548.t1
OG0000542: g549.t1
OG0000543: g550.t1
OG0000544: g551.t1
OG0000545: g553.t1
OG0000546: g554.t1
OG0000547: g555.t1
OG0000548: g556.t1
OG0000549: g557.t1
OG0000550: g560.t1
OG0000551: g562.t1
OG0000552: g563.t1
OG0000553: g564.t1
OG0000554: g565.t1
OG0000555: g567.t1
OG0000556: g568.t1
OG0000557: g569.t1
OG0000558: g571.t1
OG0000559: g572.t1
OG0000560: g573.t1
OG0000561: g574.t1
OG0000562: g577.t1
OG0000563: g578.t1
OG0000564: g581.t1
OG0000565: g583.t1
OG0000566: g584.t1
OG0000567: g585.t1
OG0000568: g586.t1
OG0000569: g588.t1
OG0000570: g589.t1
OG0000571: g591.t1
OG0000572: g592.t1
OG0000573: g593.t1
OG0000574: g594.t1
OG0000575: g595.t1
OG0000576: g596.t1
OG0000577: g599.t1
OG0000578: g600.t1
OG0000579: g601.t1
OG0000580: g603.t1
OG0000581: g604.t1
OG0000582: g606.t1
OG0000583: g608.t1
OG0000584: g610.t1
OG0000585: g611.t1
OG0000586: g612.t1
OG0000587: g613.t1
OG0000588: g617.t1
OG0000589: g619.t1
OG0000590: g621.t1
OG0000591: g623.t1
OG0000592: g624.t1
OG0000593: g626.t1
OG0000594: g628.t1
OG0000595: g630.t1
OG0000596: g631.t1
OG0000597: g632.t1
OG0000598: g633.t1
OG0000599: g634.t1
OG0000600: g635.t1
OG0000601: g636.t1
OG0000602: g637.t1
OG0000603: g638.t1
OG0000604: g639.t1
OG0000605: g640.t1
OG0000606: g641.t1
OG0000607: g642.t1
OG0000608: g643.t1
OG0000609: g644.t1
OG0000610: g645.t1
OG0000611: g646.t1
OG0000612: g647.t1
OG0000613: g648.t1
OG0000614: g650.t1
OG0000615: g651.t1
OG0000616: g653.t1
OG0000617: g655.t1
OG0000618: g656.t1
OG0000619: g657.t1
OG0000620: g658.t1
OG0000621: g659.t1
OG0000622: g661.t1
OG0000623: g662.t1
OG0000624: g663.t1
OG0000625: g665.t1
OG0000626: g666.t1
OG0000627: g669.t1
OG0000628: g670.t1
OG0000629: g671.t1
OG0000630: g672.t1
OG0000631: g673.t1
OG0000632: g674.t1
OG0000633: g675.t1
OG0000634: g676.t1
OG0000635: g677.t1
OG0000636: g679.t1
OG0000637: g680.t1
OG0000638: g682.t1
OG0000639: g683.t1
OG0000640: g684.t1
OG0000641: g685.t1
OG0000642: g686.t1
OG0000643: g687.t1
OG0000644: g691.t1
OG0000645: g694.t1
OG0000646: g697.t1
OG0000647: g698.t1
OG0000648: g700.t1
OG0000649: g702.t1
OG0000650: g703.t1
OG0000651: g704.t1
OG0000652: g705.t1
OG0000653: g706.t1
OG0000654: g707.t1
OG0000655: g708.t1
OG0000656: g709.t1
OG0000657: g716.t1
OG0000658: g718.t1
OG0000659: g719.t1
OG0000660: g720.t1
OG0000661: g721.t1
OG0000662: g722.t1
OG0000663: g723.t1
OG0000664: g725.t1
OG0000665: g727.t1
OG0000666: g728.t1
OG0000667: g729.t1
OG0000668: g730.t1
OG0000669: g731.t1
OG0000670: g732.t1
OG0000671: g733.t1
OG0000672: g735.t1
OG0000673: g736.t1
OG0000674: g738.t1
OG0000675: g739.t1
OG0000676: g740.t1
OG0000677: g741.t1
OG0000678: g742.t1
OG0000679: g744.t1
OG0000680: g745.t1
OG0000681: g746.t1
OG0000682: g747.t1
OG0000683: g748.t1
OG0000684: g749.t1
OG0000685: g750.t1
OG0000686: g752.t1
OG0000687: g753.t1
OG0000688: g754.t1
OG0000689: g755.t1
OG0000690: g756.t1
OG0000691: g757.t1
OG0000692: g759.t1
OG0000693: g761.t1
OG0000694: g762.t1
OG0000695: g763.t1
OG0000696: g764.t1
OG0000697: g765.t1
OG0000698: g766.t1
OG0000699: g767.t1
OG0000700: g768.t1
OG0000701: g769.t1
OG0000702: g770.t1
OG0000703: g771.t1
OG0000704: g772.t1
OG0000705: g773.t1
OG0000706: g774.t1
OG0000707: g776.t1
OG0000708: g777.t1
OG0000709: g778.t1
OG0000710: g779.t1
OG0000711: g781.t1
OG0000712: g783.t1
OG0000713: g784.t1
OG0000714: g785.t1
OG0000715: g787.t1
OG0000716: g788.t1
OG0000717: g790.t1
OG0000718: g792.t1
OG0000719: g793.t1
OG0000720: g794.t1
OG0000721: g795.t1
OG0000722: g796.t1
OG0000723: g797.t1
