Orthogroup	Acinetobacter_baumannii	Pseudomonas_aeruginosa
OG0001487		g1242.t1
OG0001488		g1243.t1
OG0001489		g1245.t1
OG0001490		g1249.t1
OG0001491		g1257.t1
OG0001492		g1259.t1
OG0001493		g1260.t1
OG0001494		g1264.t1
OG0001495		g1265.t1
OG0001496		g1267.t1
OG0001497		g1274.t1
OG0001498		g1278.t1
OG0001499		g1279.t1
OG0001500		g1283.t1
OG0001501		g1289.t1
OG0001502		g1290.t1
OG0001503		g1295.t1
OG0001504		g1297.t1
OG0001505		g1298.t1
OG0001506		g1304.t1
OG0001507		g1307.t1
OG0001508		g1312.t1
OG0001509		g1313.t1
OG0001510		g1316.t1
OG0001511		g1317.t1
OG0001512		g1322.t1
OG0001513		g1323.t1
OG0001514		g1325.t1
OG0001515		g1326.t1
OG0001516		g1332.t1
OG0001517		g1338.t1
OG0001518		g1342.t1
OG0001519		g1343.t1
OG0001520		g1345.t1
OG0001521		g1350.t1
OG0001522		g1361.t1
OG0001523		g1366.t1
OG0001524		g1368.t1
OG0001525		g1369.t1
OG0001526		g1373.t1
OG0001527		g1374.t1
OG0001528		g1384.t1
OG0001529		g1385.t1
OG0001530		g1387.t1
OG0001531		g1388.t1
OG0001532		g1392.t1
OG0001533		g1394.t1
OG0001534		g1397.t1
OG0001535		g1399.t1
OG0001536		g1403.t1
OG0001537		g1408.t1
OG0001538		g1410.t1
OG0001539		g1411.t1
OG0001540		g1414.t1
OG0001541		g1417.t1
OG0001542		g1420.t1
OG0001543		g1422.t1
OG0001544		g1428.t1
OG0001545		g1430.t1
OG0001546		g1436.t1
OG0001547		g1441.t1
OG0001548		g1443.t1
OG0001549		g1449.t1
OG0001550		g1454.t1
OG0001551		g1455.t1
OG0001552		g1456.t1
OG0001553		g1458.t1
OG0001554		g1460.t1
OG0001555		g1472.t1
OG0001556		g1478.t1
OG0001557		g1480.t1
OG0001558		g1482.t1
OG0001559		g1483.t1
OG0001560		g1486.t1
OG0001561		g1489.t1
OG0001562		g1491.t1
OG0001563		g1492.t1
OG0001564		g1493.t1
OG0001565		g1494.t1
OG0001566		g1495.t1
OG0001567		g1497.t1
OG0001568		g1498.t1
OG0001569		g1499.t1
OG0001570		g1502.t1
OG0001571		g1507.t1
OG0001572		g1508.t1
OG0001573		g1510.t1
OG0001574		g1511.t1
OG0001575		g1513.t1
OG0001576		g1515.t1
OG0001577		g1522.t1
OG0001578		g1526.t1
OG0001579		g1529.t1
OG0001580		g1530.t1
OG0001581		g1531.t1
OG0001582		g1532.t1
OG0001583		g1533.t1
OG0001584		g1534.t1
OG0001585		g1545.t1
OG0001586		g1546.t1
OG0001587		g1550.t1
OG0001588		g1552.t1
OG0001589		g1560.t1
OG0001590		g1562.t1
OG0001591		g1563.t1
OG0001592		g1565.t1
OG0001593		g1575.t1
OG0001594		g1577.t1
OG0001595		g1584.t1
OG0001596		g1588.t1
OG0001597		g1590.t1
OG0001598		g1591.t1
OG0001599		g1592.t1
OG0001600		g1593.t1
OG0001601		g1594.t1
OG0001602		g1596.t1
OG0001603		g1597.t1
OG0001604		g1598.t1
OG0001605		g1599.t1
OG0001606		g1601.t1
OG0001607		g1602.t1
OG0001608		g1611.t1
OG0001609		g1612.t1
OG0001610		g1615.t1
OG0001611		g1624.t1
OG0001612		g1625.t1
OG0001613		g1626.t1
OG0001614		g1632.t1
OG0001615		g1635.t1
OG0001616		g1636.t1
OG0001617		g1641.t1
OG0001618		g1644.t1
OG0001619		g1652.t1
OG0001620		g1653.t1
OG0001621		g1655.t1
OG0001622		g1658.t1
OG0001623		g1659.t1
OG0001624		g1661.t1
OG0001625		g1662.t1
OG0001626		g1663.t1
OG0001627		g1664.t1
OG0001628		g1665.t1
OG0001629		g1666.t1
OG0001630		g1672.t1
OG0001631		g1673.t1
OG0001632		g1674.t1
OG0001633		g1686.t1
OG0001634		g1694.t1
OG0001635		g1695.t1
OG0001636		g1697.t1
OG0001637		g1698.t1
OG0001638		g1701.t1
OG0001639		g1702.t1
OG0001640		g1705.t1
OG0001641		g1706.t1
OG0001642		g1709.t1
OG0001643		g1718.t1
OG0001644		g1719.t1
OG0001645		g1721.t1
OG0001646		g1722.t1
OG0001647		g1723.t1
OG0001648		g1724.t1
OG0001649		g1725.t1
OG0001650		g1727.t1
OG0001651		g1728.t1
OG0001652		g1729.t1
OG0001653		g1730.t1
OG0001654		g1731.t1
OG0001655		g1732.t1
OG0001656		g1733.t1
OG0001657		g1734.t1
OG0001658		g1735.t1
OG0001659		g1737.t1
OG0001660		g1738.t1
OG0001661		g1740.t1
OG0001662		g1741.t1
OG0001663		g1742.t1
OG0001664		g1743.t1
OG0001665		g1744.t1
OG0001666		g1745.t1
OG0001667		g1746.t1
OG0001668		g1747.t1
OG0001669		g1748.t1
OG0001670		g1751.t1
OG0001671		g1756.t1
OG0001672		g1763.t1
OG0001673		g1764.t1
OG0001674		g1766.t1
OG0001675		g1767.t1
OG0001676		g1768.t1
OG0001677		g1769.t1
OG0001678		g1772.t1
OG0001679		g1774.t1
OG0001680		g1778.t1
OG0001681		g1779.t1
OG0001682		g1788.t1
OG0001683		g1790.t1
OG0001684		g1792.t1
OG0001685		g1795.t1
OG0001686		g1797.t1
OG0001687		g1798.t1
OG0001688		g1813.t1
OG0001689		g1814.t1
OG0001690		g1815.t1
OG0001691		g1816.t1
OG0001692		g1821.t1
OG0001693		g1822.t1
OG0001694		g1840.t1
OG0001695		g1841.t1
OG0001696		g1843.t1
OG0001697		g1846.t1
OG0001698		g1850.t1
OG0001699		g1851.t1
OG0001700		g1855.t1
OG0001701		g1856.t1
OG0001702		g1857.t1
OG0001703		g1865.t1
OG0001704		g1866.t1
OG0001705		g1868.t1
OG0001706		g1869.t1
OG0001707		g1871.t1
OG0001708		g1872.t1
OG0001709		g1873.t1
OG0001710		g1874.t1
OG0001711		g1876.t1
OG0001712		g1877.t1
OG0001713		g1880.t1
OG0001714		g1885.t1
OG0001715		g1886.t1
OG0001716		g1888.t1
OG0001717		g1891.t1
OG0001718		g1893.t1
OG0001719		g1895.t1
OG0001720		g1899.t1
OG0001721		g1901.t1
OG0001722		g1907.t1
OG0001723		g1908.t1
OG0001724		g1915.t1
OG0001725		g1916.t1
OG0001726		g1917.t1
OG0001727		g1918.t1
OG0001728		g1919.t1
OG0001729		g1921.t1
OG0001730		g1922.t1
OG0001731		g1924.t1
OG0001732		g1925.t1
OG0001733		g1926.t1
OG0001734		g1936.t1
OG0001735		g1937.t1
OG0001736		g1939.t1
OG0001737		g1944.t1
OG0001738		g1945.t1
OG0001739		g1946.t1
OG0001740		g1951.t1
OG0001741		g1956.t1
OG0001742		g1957.t1
OG0001743		g1959.t1
OG0001744		g1961.t1
OG0001745		g1966.t1
OG0001746		g1967.t1
OG0001747		g1971.t1
OG0001748		g1974.t1
OG0001749		g1975.t1
OG0001750		g1979.t1
OG0001751		g1985.t1
OG0001752		g1987.t1
OG0001753		g1988.t1
OG0001754		g1989.t1
OG0001755		g1990.t1
OG0001756		g1991.t1
OG0001757		g1992.t1
OG0001758		g1998.t1
OG0001759		g2000.t1
OG0001760		g2001.t1
OG0001761		g2002.t1
OG0001762		g2007.t1
OG0001763		g2008.t1
OG0001764		g2016.t1
OG0001765		g2018.t1
OG0001766		g2019.t1
OG0001767		g2020.t1
OG0001768		g2021.t1
OG0001769		g2023.t1
OG0001770		g2026.t1
OG0001771		g2027.t1
OG0001772		g2028.t1
OG0001773		g2035.t1
OG0001774		g2037.t1
OG0001775		g2042.t1
OG0001776		g2051.t1
OG0001777		g2055.t1
OG0001778		g2060.t1
OG0001779		g2061.t1
OG0001780		g2063.t1
OG0001781		g2065.t1
OG0001782		g2067.t1
OG0001783		g2070.t1
OG0001784		g2071.t1
OG0001785		g2072.t1
OG0001786		g2077.t1
OG0001787		g2078.t1
OG0001788		g2079.t1
OG0001789		g2081.t1
OG0001790		g2083.t1
OG0001791		g2086.t1
OG0001792		g2097.t1
OG0001793		g2100.t1
OG0001794		g2109.t1
OG0001795		g2110.t1
OG0001796		g2116.t1
OG0001797		g2122.t1
OG0001798		g2130.t1
OG0001799		g2137.t1
OG0001800		g2142.t1
OG0001801		g2151.t1
OG0001802		g2152.t1
OG0001803		g2156.t1
OG0001804		g2158.t1
OG0001805		g2162.t1
OG0001806		g2163.t1
OG0001807		g2164.t1
OG0001808		g2168.t1
OG0001809		g2173.t1
OG0001810		g2174.t1
OG0001811		g2175.t1
OG0001812		g2176.t1
OG0001813		g2178.t1
OG0001814		g2181.t1
OG0001815		g2182.t1
OG0001816		g2183.t1
OG0001817		g2184.t1
OG0001818		g2185.t1
OG0001819		g2189.t1
OG0001820		g2190.t1
OG0001821		g2191.t1
OG0001822		g2196.t1
OG0001823		g2201.t1
OG0001824		g2203.t1
OG0001825		g2207.t1
OG0001826		g2209.t1
OG0001827		g2211.t1
OG0001828		g2213.t1
OG0001829		g2214.t1
OG0001830		g2215.t1
OG0001831		g2216.t1
OG0001832		g2220.t1
OG0001833		g2222.t1
OG0001834		g2223.t1
OG0001835		g2224.t1
OG0001836		g2226.t1
OG0001837		g2227.t1
OG0001838		g2228.t1
OG0001839		g2229.t1
OG0001840		g2231.t1
OG0001841		g2233.t1
OG0001842		g2236.t1
OG0001843		g2244.t1
OG0001844		g2248.t1
OG0001845		g2251.t1
OG0001846		g2254.t1
OG0001847		g2259.t1
OG0001848		g2264.t1
OG0001849		g2265.t1
OG0001850		g2266.t1
OG0001851		g2267.t1
OG0001852		g2269.t1
OG0001853		g2270.t1
OG0001854		g2273.t1
OG0001855		g2274.t1
OG0001856		g2275.t1
OG0001857		g2276.t1
OG0001858		g2277.t1
OG0001859		g2279.t1
OG0001860		g2281.t1
OG0001861		g2282.t1
OG0001862		g2283.t1
OG0001863		g2284.t1
OG0001864		g2290.t1
OG0001865		g2293.t1
OG0001866		g2299.t1
OG0001867		g2303.t1
OG0001868		g2308.t1
OG0001869		g2313.t1
OG0001870		g2317.t1
OG0001871		g2318.t1
OG0001872		g2321.t1
OG0001873		g2326.t1
OG0001874		g2327.t1
OG0001875		g2332.t1
OG0001876		g2339.t1
OG0001877		g2348.t1
OG0001878		g2350.t1
OG0001879		g2352.t1
OG0001880		g2360.t1
OG0001881		g2362.t1
OG0001882		g2371.t1
OG0001883		g2376.t1
OG0001884		g2378.t1
OG0001885		g2382.t1
OG0001886		g2398.t1
OG0001887		g2404.t1
OG0001888		g2413.t1
OG0001889		g2414.t1
OG0001890		g2416.t1
OG0001891		g2419.t1
OG0001892		g2420.t1
OG0001893		g2425.t1
OG0001894		g2431.t1
OG0001895		g2434.t1
OG0001896		g2435.t1
OG0001897		g2441.t1
OG0001898		g2443.t1
OG0001899		g2444.t1
OG0001900		g2445.t1
OG0001901		g2446.t1
OG0001902		g2448.t1
OG0001903		g2449.t1
OG0001904		g2451.t1
OG0001905		g2453.t1
OG0001906		g2454.t1
OG0001907		g2455.t1
OG0001908		g2466.t1
OG0001909		g2468.t1
OG0001910		g2473.t1
OG0001911		g2476.t1
OG0001912		g2480.t1
OG0001913		g2481.t1
OG0001914		g2490.t1
OG0001915		g2491.t1
OG0001916		g2492.t1
OG0001917		g2496.t1
OG0001918		g2499.t1
OG0001919		g2501.t1
OG0001920		g2507.t1
OG0001921		g2520.t1
OG0001922		g2522.t1
OG0001923		g2523.t1
OG0001924		g2524.t1
OG0001925		g2527.t1
OG0001926		g2533.t1
OG0001927		g2538.t1
OG0001928		g2540.t1
OG0001929		g2541.t1
OG0001930		g2543.t1
OG0001931		g2545.t1
OG0001932		g2562.t1
OG0001933		g2568.t1
OG0001934		g2575.t1
OG0001935		g2576.t1
OG0001936		g2577.t1
OG0001937		g2579.t1
OG0001938		g2582.t1
OG0001939		g2587.t1
OG0001940		g2588.t1
OG0001941		g2599.t1
OG0001942		g2600.t1
OG0001943		g2602.t1
OG0001944		g2605.t1
OG0001945		g2609.t1
OG0001946		g2610.t1
OG0001947		g2611.t1
OG0001948		g2620.t1
OG0001949		g2623.t1
OG0001950		g2625.t1
OG0001951		g2626.t1
OG0001952		g2634.t1
OG0001953		g2643.t1
OG0001954		g2645.t1
OG0001955		g2646.t1
OG0001956		g2647.t1
OG0001957		g2648.t1
OG0001958		g2649.t1
OG0001959		g2651.t1
OG0001960		g2655.t1
OG0001961		g2658.t1
OG0001962		g2659.t1
OG0001963		g2660.t1
OG0001964		g2662.t1
OG0001965		g2668.t1
OG0001966		g2671.t1
OG0001967		g2673.t1
OG0001968		g2674.t1
OG0001969		g2679.t1
OG0001970		g2681.t1
OG0001971		g2685.t1
OG0001972		g2686.t1
OG0001973		g2687.t1
OG0001974		g2694.t1
OG0001975		g2696.t1
OG0001976		g2701.t1
OG0001977		g2702.t1
OG0001978		g2703.t1
OG0001979		g2704.t1
OG0001980		g2705.t1
OG0001981		g2708.t1
OG0001982		g2710.t1
OG0001983		g2711.t1
OG0001984		g2712.t1
OG0001985		g2713.t1
OG0001986		g2714.t1
OG0001987		g2716.t1
OG0001988		g2720.t1
OG0001989		g2726.t1
OG0001990		g2732.t1
OG0001991		g2738.t1
OG0001992		g2745.t1
OG0001993		g2746.t1
OG0001994		g2748.t1
OG0001995		g2762.t1
OG0001996		g2763.t1
OG0001997		g2766.t1
OG0001998		g2767.t1
OG0001999		g2769.t1
OG0002000		g2771.t1
OG0002001		g2772.t1
OG0002002		g2773.t1
OG0002003		g2774.t1
OG0002004		g2775.t1
OG0002005		g2776.t1
OG0002006		g2777.t1
OG0002007		g2778.t1
OG0002008		g2779.t1
OG0002009		g2780.t1
OG0002010		g2781.t1
OG0002011		g2782.t1
OG0002012		g2787.t1
OG0002013		g2788.t1
OG0002014		g2791.t1
OG0002015		g2792.t1
OG0002016		g2793.t1
OG0002017		g2797.t1
OG0002018		g2798.t1
OG0002019		g2799.t1
OG0002020		g2800.t1
OG0002021		g2803.t1
OG0002022		g2804.t1
OG0002023		g2807.t1
OG0002024		g2808.t1
OG0002025		g2809.t1
OG0002026		g2813.t1
OG0002027		g2818.t1
OG0002028		g2819.t1
OG0002029		g2820.t1
OG0002030		g2822.t1
OG0002031		g2825.t1
OG0002032		g2828.t1
OG0002033		g2830.t1
OG0002034		g2831.t1
OG0002035		g2832.t1
OG0002036		g2833.t1
OG0002037		g2834.t1
OG0002038		g2836.t1
OG0002039		g2837.t1
OG0002040		g2838.t1
OG0002041		g2839.t1
OG0002042		g2840.t1
OG0002043		g2841.t1
OG0002044		g2842.t1
OG0002045		g2843.t1
OG0002046		g2848.t1
OG0002047		g2849.t1
OG0002048		g2850.t1
OG0002049		g2851.t1
OG0002050		g2856.t1
OG0002051		g2858.t1
OG0002052		g2863.t1
OG0002053		g2864.t1
OG0002054		g2865.t1
OG0002055		g2866.t1
OG0002056		g2867.t1
OG0002057		g2870.t1
OG0002058		g2873.t1
OG0002059		g2875.t1
OG0002060		g2876.t1
OG0002061		g2878.t1
