Orthogroup	Mycobacterium_tuberculosis	Salmonella_enterica
OG0000024	g406.t1	g1523.t1, g1826.t1, g2197.t1, g2198.t1, g2396.t1, g4048.t1, g623.t1, g764.t1, g819.t1, g822.t1
OG0000025	g2404.t1	g1284.t1, g2977.t1, g3026.t1, g3309.t1, g3361.t1, g3373.t1, g3550.t1, g3641.t1, g3752.t1, g3796.t1
OG0000026		g171.t1, g192.t1, g2009.t1, g21.t1, g26.t1, g2814.t1, g282.t1, g312.t1, g315.t1, g3400.t1, g510.t1
OG0000027	g1105.t1, g1346.t1, g1347.t1, g1880.t1, g2453.t1, g2455.t1, g382.t1, g878.t1, g879.t1, g882.t1	
OG0000028		g1133.t1, g1372.t1, g3135.t1, g3136.t1, g335.t1, g4072.t1, g4083.t1, g523.t1, g758.t1, g80.t1
OG0000029		g1339.t1, g1987.t1, g2613.t1, g3139.t1, g3162.t1, g323.t1, g3348.t1, g442.t1, g753.t1, g879.t1
OG0000030		g1524.t1, g1526.t1, g1824.t1, g2195.t1, g2196.t1, g621.t1, g622.t1, g763.t1, g820.t1, g821.t1
OG0000031		g1508.t1, g2064.t1, g2187.t1, g2267.t1, g3031.t1, g3096.t1, g3098.t1, g3444.t1, g3536.t1, g4079.t1
OG0000032	g134.t1, g241.t1, g3008.t1, g301.t1, g326.t1, g3507.t1, g763.t1	g3161.t1, g443.t1
OG0000033	g3347.t1, g464.t1, g465.t1, g499.t1, g636.t1, g637.t1, g638.t1, g639.t1	g1324.t1
OG0000034	g717.t1	g2766.t1, g3419.t1, g3433.t1, g3538.t1, g3777.t1, g3801.t1, g3815.t1, g99.t1
OG0000035	g1611.t1, g1847.t1, g2741.t1, g3472.t1, g3473.t1, g3490.t1, g3506.t1, g848.t1, g903.t1	
OG0000036	g1342.t1	g1190.t1, g1589.t1, g1856.t1, g1984.t1, g2490.t1, g3160.t1, g3376.t1, g354.t1
OG0000037	g2402.t1, g3056.t1	g1170.t1, g1552.t1, g2851.t1, g3831.t1, g4044.t1, g444.t1, g527.t1
OG0000038		g111.t1, g13.t1, g29.t1, g3021.t1, g3494.t1, g3604.t1, g39.t1, g564.t1, g592.t1
OG0000039		g170.t1, g191.t1, g2008.t1, g22.t1, g2815.t1, g283.t1, g314.t1, g3399.t1, g511.t1
OG0000040		g1347.t1, g2034.t1, g2191.t1, g2192.t1, g2918.t1, g3116.t1, g3443.t1, g3970.t1, g796.t1
OG0000041	g1179.t1, g1813.t1, g1814.t1, g2265.t1, g2542.t1, g3128.t1, g3519.t1, g75.t1	
OG0000042	g101.t1, g1968.t1, g3229.t1, g91.t1, g956.t1	g324.t1, g326.t1, g464.t1
OG0000043	g1113.t1, g1134.t1, g1573.t1, g1685.t1, g1922.t1, g3416.t1, g93.t1, g94.t1	
OG0000044	g118.t1, g2347.t1, g2348.t1, g2351.t1, g2553.t1, g2879.t1, g99.t1	g546.t1
OG0000045	g172.t1, g173.t1, g1943.t1, g1944.t1, g3444.t1, g3445.t1, g586.t1, g587.t1	
OG0000046	g216.t1, g2465.t1, g2740.t1, g3092.t1, g3233.t1, g395.t1, g739.t1, g861.t1	
OG0000047	g1926.t1, g1927.t1, g2047.t1, g2050.t1, g2506.t1, g2748.t1, g609.t1, g951.t1	
OG0000048	g1154.t1, g1268.t1	g1165.t1, g1566.t1, g1579.t1, g1633.t1, g3392.t1, g784.t1
OG0000049	g1252.t1, g1306.t1, g1307.t1, g1308.t1, g1609.t1, g1632.t1, g2185.t1, g2403.t1	
OG0000050	g1260.t1, g1337.t1	g2508.t1, g3965.t1, g428.t1, g429.t1, g891.t1, g917.t1
OG0000051	g1620.t1, g1971.t1, g1980.t1, g2001.t1, g2003.t1, g2587.t1, g2588.t1, g3085.t1	
OG0000052		g1123.t1, g1483.t1, g186.t1, g2057.t1, g2578.t1, g333.t1, g3858.t1, g543.t1
OG0000053		g3589.t1, g3698.t1, g3738.t1, g425.t1, g719.t1, g775.t1, g777.t1, g801.t1
OG0000054		g2088.t1, g2094.t1, g2415.t1, g2517.t1, g2519.t1, g3906.t1, g866.t1, g980.t1
OG0000055		g1518.t1, g1546.t1, g1798.t1, g2916.t1, g2930.t1, g2992.t1, g2993.t1, g3338.t1
OG0000056	g167.t1, g3039.t1, g546.t1, g98.t1	g340.t1, g3978.t1, g69.t1
OG0000057	g1099.t1, g1551.t1, g1985.t1, g230.t1, g2510.t1, g2710.t1, g300.t1	
OG0000058	g1368.t1, g2070.t1, g3024.t1, g333.t1, g389.t1, g392.t1, g511.t1	
OG0000059	g347.t1	g11.t1, g1986.t1, g2298.t1, g2369.t1, g3147.t1, g617.t1
OG0000060	g1259.t1, g1279.t1, g1673.t1, g1789.t1, g3017.t1, g3311.t1, g554.t1	
OG0000061	g2742.t1, g2835.t1, g2927.t1, g600.t1, g818.t1, g911.t1	g2427.t1
OG0000062	g1155.t1, g1546.t1, g2223.t1, g3005.t1, g3120.t1, g3253.t1, g647.t1	
OG0000063	g1035.t1, g1188.t1, g2477.t1, g2624.t1, g2972.t1, g3067.t1, g3384.t1	
OG0000064	g1271.t1	g1166.t1, g1580.t1, g1632.t1, g2073.t1, g3391.t1, g785.t1
OG0000065	g2423.t1	g1325.t1, g2077.t1, g3557.t1, g3603.t1, g404.t1, g800.t1
OG0000066		g2968.t1, g2969.t1, g31.t1, g37.t1, g3715.t1, g3716.t1, g3827.t1
OG0000067		g145.t1, g3508.t1, g3745.t1, g3746.t1, g3795.t1, g4002.t1, g41.t1
OG0000068		g1159.t1, g2818.t1, g286.t1, g319.t1, g767.t1, g860.t1, g972.t1
OG0000069		g1368.t1, g1423.t1, g1468.t1, g1865.t1, g2115.t1, g300.t1, g932.t1
OG0000070		g1294.t1, g2116.t1, g2118.t1, g2748.t1, g3102.t1, g3583.t1, g519.t1
OG0000071		g1399.t1, g1568.t1, g2120.t1, g2136.t1, g3456.t1, g3585.t1, g3591.t1
OG0000072	g1709.t1, g1752.t1, g1754.t1, g3309.t1, g3310.t1, g60.t1	
OG0000073	g1245.t1, g162.t1, g2225.t1, g2250.t1, g3059.t1	g1267.t1
OG0000074	g1178.t1, g1210.t1, g183.t1, g2040.t1, g440.t1, g723.t1	
OG0000075	g2623.t1, g2625.t1, g3546.t1, g380.t1	g2480.t1, g261.t1
OG0000076	g1383.t1, g2999.t1, g3033.t1, g560.t1, g880.t1, g931.t1	
OG0000077	g732.t1, g738.t1	g2708.t1, g3023.t1, g3751.t1, g485.t1
OG0000078	g2002.t1, g3083.t1, g835.t1	g1649.t1, g2314.t1, g3546.t1
OG0000079	g2089.t1, g3156.t1, g3157.t1, g936.t1	g3658.t1, g3688.t1
OG0000080	g1006.t1, g1243.t1, g1756.t1, g3209.t1	g1132.t1, g1561.t1
OG0000081	g1251.t1, g2332.t1, g2838.t1, g2960.t1, g3127.t1, g3330.t1	
OG0000082	g1669.t1	g3346.t1, g3347.t1, g750.t1, g751.t1, g752.t1
OG0000083	g1687.t1	g146.t1, g3675.t1, g369.t1, g4090.t1, g526.t1
OG0000084	g1954.t1	g1371.t1, g2388.t1, g3997.t1, g4026.t1, g651.t1
OG0000085	g2495.t1	g229.t1, g2389.t1, g2895.t1, g3999.t1, g652.t1
OG0000086		g169.t1, g193.t1, g194.t1, g23.t1, g3398.t1, g512.t1
OG0000087		g1712.t1, g173.t1, g3528.t1, g3529.t1, g534.t1, g535.t1
OG0000088		g1988.t1, g1989.t1, g2315.t1, g3163.t1, g322.t1, g441.t1
OG0000089		g1643.t1, g1872.t1, g3986.t1, g405.t1, g406.t1, g612.t1
OG0000090		g1723.t1, g2137.t1, g2879.t1, g3296.t1, g3896.t1, g482.t1
OG0000091		g1122.t1, g1360.t1, g2269.t1, g2399.t1, g2564.t1, g636.t1
OG0000092		g1363.t1, g3128.t1, g3129.t1, g4003.t1, g697.t1, g698.t1
OG0000093		g1746.t1, g2413.t1, g2414.t1, g2518.t1, g867.t1, g981.t1
OG0000094		g1048.t1, g1766.t1, g2400.t1, g2401.t1, g2632.t1, g3089.t1
OG0000095		g1054.t1, g1088.t1, g1358.t1, g2560.t1, g2999.t1, g3307.t1
OG0000096		g1149.t1, g1795.t1, g1796.t1, g1799.t1, g2158.t1, g2584.t1
OG0000097		g1288.t1, g1800.t1, g2238.t1, g2394.t1, g3735.t1, g3886.t1
OG0000098		g1902.t1, g1909.t1, g1910.t1, g1918.t1, g2291.t1, g2301.t1
OG0000099		g2046.t1, g3324.t1, g3325.t1, g3639.t1, g3804.t1, g3805.t1
OG0000100		g2062.t1, g3030.t1, g3614.t1, g3841.t1, g3842.t1, g3845.t1
OG0000101		g2459.t1, g2550.t1, g2551.t1, g2567.t1, g3601.t1, g3602.t1
OG0000102	g1255.t1, g1807.t1, g19.t1, g20.t1, g3075.t1	
OG0000103	g1523.t1, g1874.t1, g21.t1, g2732.t1, g3503.t1	
OG0000104	g1333.t1, g2217.t1, g32.t1	g1115.t1, g2674.t1
OG0000105	g48.t1	g185.t1, g2361.t1, g3100.t1, g3257.t1
OG0000106	g67.t1	g1709.t1, g2054.t1, g2760.t1, g3016.t1
OG0000107	g105.t1, g1972.t1, g420.t1, g896.t1	g3520.t1
OG0000108	g115.t1, g1423.t1, g193.t1, g2483.t1, g478.t1	
OG0000109	g1524.t1, g159.t1, g328.t1	g1043.t1, g4020.t1
OG0000110	g165.t1, g2157.t1, g843.t1, g845.t1, g846.t1	
OG0000111	g168.t1, g1939.t1, g3449.t1, g582.t1	g3086.t1
OG0000112	g171.t1, g1942.t1, g3446.t1, g585.t1	g3085.t1
OG0000113	g1352.t1, g176.t1, g178.t1, g1947.t1, g200.t1	
OG0000114	g1351.t1, g179.t1, g1948.t1, g2359.t1, g3440.t1	
OG0000115	g192.t1	g1417.t1, g247.t1, g3533.t1, g363.t1
OG0000116	g1389.t1, g1390.t1, g218.t1, g2919.t1	g3760.t1
OG0000117	g1235.t1, g270.t1, g2815.t1, g3314.t1	g3321.t1
OG0000118	g1893.t1, g2269.t1, g401.t1, g928.t1	g2740.t1
OG0000119	g1698.t1, g463.t1, g849.t1	g2230.t1, g3718.t1
OG0000120	g2824.t1, g2827.t1, g523.t1	g1036.t1, g4021.t1
OG0000121	g2743.t1, g2836.t1, g2928.t1, g599.t1, g910.t1	
OG0000122	g2459.t1, g2494.t1, g2566.t1, g3280.t1, g611.t1	
OG0000123	g2660.t1, g644.t1	g1139.t1, g3440.t1, g362.t1
OG0000124	g1230.t1, g2458.t1, g2565.t1, g2820.t1, g654.t1	
OG0000125	g2757.t1, g2759.t1, g3078.t1, g3079.t1, g736.t1	
OG0000126	g1127.t1, g1846.t1, g3231.t1, g844.t1	g70.t1
OG0000127	g1864.t1, g2358.t1, g2419.t1, g856.t1, g997.t1	
OG0000128	g859.t1	g1719.t1, g1866.t1, g3410.t1, g587.t1
OG0000129	g1212.t1, g970.t1	g204.t1, g3122.t1, g3123.t1
OG0000130	g1026.t1, g1186.t1, g1772.t1, g1773.t1, g2316.t1	
OG0000131	g1059.t1, g1473.t1, g2221.t1, g3467.t1, g3505.t1	
OG0000132	g1112.t1	g1253.t1, g2268.t1, g2789.t1, g3840.t1
OG0000133	g1183.t1, g1419.t1, g1443.t1, g2338.t1	g205.t1
OG0000134	g1249.t1, g1548.t1, g1851.t1, g3130.t1, g3497.t1	
OG0000135	g1288.t1	g1658.t1, g2227.t1, g2465.t1, g2996.t1
OG0000136	g1549.t1	g3020.t1, g3560.t1, g3652.t1, g935.t1
OG0000137	g1661.t1, g2828.t1	g1038.t1, g2097.t1, g3570.t1
OG0000138	g1733.t1	g1439.t1, g2840.t1, g2841.t1, g629.t1
OG0000139	g1739.t1, g1960.t1, g2270.t1, g3403.t1, g3404.t1	
OG0000140	g1857.t1, g2302.t1, g2426.t1, g2794.t1	g1724.t1
OG0000141	g1882.t1	g1053.t1, g2403.t1, g3112.t1, g327.t1
OG0000142	g2004.t1	g1233.t1, g2002.t1, g2063.t1, g3029.t1
OG0000143	g2178.t1	g2326.t1, g2749.t1, g3022.t1, g490.t1
OG0000144	g2218.t1, g2219.t1, g2489.t1	g1116.t1, g2220.t1
OG0000145	g2647.t1	g2716.t1, g2747.t1, g3857.t1, g815.t1
OG0000146	g2808.t1	g1025.t1, g1045.t1, g1212.t1, g2590.t1
OG0000147	g2860.t1, g3289.t1	g1926.t1, g595.t1, g797.t1
OG0000148	g3015.t1	g1376.t1, g1377.t1, g1542.t1, g4035.t1
OG0000149	g3155.t1, g3196.t1	g3223.t1, g458.t1, g83.t1
OG0000150	g3180.t1	g3126.t1, g53.t1, g701.t1, g702.t1
OG0000151	g3356.t1	g2177.t1, g2619.t1, g3608.t1, g400.t1
OG0000152		g1194.t1, g2902.t1, g35.t1, g3561.t1, g3701.t1
OG0000153		g1481.t1, g1560.t1, g2772.t1, g2793.t1, g78.t1
OG0000154		g1246.t1, g187.t1, g2656.t1, g548.t1, g706.t1
OG0000155		g1244.t1, g189.t1, g549.t1, g550.t1, g705.t1
OG0000156		g2031.t1, g2507.t1, g2963.t1, g321.t1, g3962.t1
OG0000157		g1177.t1, g2468.t1, g334.t1, g3695.t1, g3696.t1
OG0000158		g1326.t1, g1933.t1, g2806.t1, g3011.t1, g480.t1
OG0000159		g1057.t1, g1389.t1, g3578.t1, g4010.t1, g568.t1
OG0000160		g1390.t1, g2358.t1, g4009.t1, g571.t1, g901.t1
OG0000161		g1823.t1, g2194.t1, g620.t1, g762.t1, g823.t1
OG0000162		g1348.t1, g1470.t1, g2390.t1, g3353.t1, g660.t1
OG0000163		g2469.t1, g3017.t1, g3843.t1, g778.t1, g906.t1
OG0000164		g1597.t1, g2069.t1, g3356.t1, g4017.t1, g799.t1
OG0000165		g1227.t1, g1270.t1, g3001.t1, g3375.t1, g3985.t1
OG0000166		g1386.t1, g1388.t1, g2021.t1, g2023.t1, g2609.t1
OG0000167		g1400.t1, g1435.t1, g2866.t1, g3036.t1, g3467.t1
OG0000168		g1916.t1, g2297.t1, g2762.t1, g2941.t1, g3774.t1
OG0000169		g2759.t1, g2808.t1, g3015.t1, g3019.t1, g3387.t1
OG0000170	g1559.t1, g31.t1	g3468.t1, g731.t1
OG0000171	g1909.t1, g50.t1	g1808.t1, g401.t1
OG0000172	g1703.t1, g544.t1, g63.t1, g948.t1	
OG0000173	g2236.t1, g302.t1, g434.t1, g66.t1	
OG0000174	g102.t1, g1659.t1, g2527.t1, g71.t1	
OG0000175	g169.t1, g1940.t1, g3448.t1, g583.t1	
OG0000176	g170.t1, g1941.t1, g3447.t1, g584.t1	
OG0000177	g174.t1, g1945.t1, g3443.t1, g588.t1	
OG0000178	g175.t1, g1946.t1, g3442.t1, g589.t1	
OG0000179	g1209.t1, g1686.t1, g188.t1, g2088.t1	
OG0000180	g191.t1, g954.t1	g1520.t1, g2809.t1
OG0000181	g1416.t1, g221.t1, g2254.t1, g2450.t1	
OG0000182	g244.t1, g3344.t1, g3488.t1, g630.t1	
OG0000183	g1720.t1, g269.t1	g1472.t1, g1648.t1
OG0000184	g1779.t1, g2738.t1, g282.t1, g526.t1	
OG0000185	g1763.t1, g1764.t1, g284.t1, g3399.t1	
OG0000186	g398.t1, g446.t1, g502.t1, g667.t1	
OG0000187	g427.t1	g1337.t1, g864.t1, g973.t1
OG0000188	g1267.t1, g3365.t1, g487.t1, g687.t1	
OG0000189	g1418.t1, g1900.t1, g2154.t1, g498.t1	
OG0000190	g1354.t1, g1884.t1, g512.t1, g930.t1	
OG0000191	g2202.t1, g2388.t1, g3345.t1, g521.t1	
OG0000192	g525.t1	g2098.t1, g3571.t1, g3983.t1
OG0000193	g1039.t1, g1533.t1, g3346.t1, g542.t1	
OG0000194	g1122.t1, g1248.t1, g571.t1	g2033.t1
OG0000195	g590.t1, g612.t1, g621.t1, g656.t1	
OG0000196	g1983.t1, g3131.t1, g3252.t1, g591.t1	
OG0000197	g1723.t1, g2713.t1, g602.t1, g617.t1	
OG0000198	g1957.t1, g2712.t1, g603.t1, g618.t1	
OG0000199	g1921.t1, g608.t1	g1641.t1, g1815.t1
OG0000200	g3258.t1, g655.t1, g699.t1	g2901.t1
OG0000201	g772.t1	g1990.t1, g2614.t1, g3643.t1
OG0000202	g782.t1	g2003.t1, g3363.t1, g398.t1
OG0000203	g2130.t1, g2283.t1, g3286.t1, g787.t1	
OG0000204	g850.t1	g2079.t1, g4112.t1, g838.t1
OG0000205	g1470.t1, g3117.t1, g945.t1	g3635.t1
OG0000206	g2220.t1, g2467.t1, g3239.t1, g961.t1	
OG0000207	g1025.t1, g1187.t1, g1774.t1, g2315.t1	
OG0000208	g1066.t1	g3072.t1, g3267.t1, g574.t1
OG0000209	g1152.t1, g1719.t1	g1476.t1, g1644.t1
OG0000210	g1195.t1, g1667.t1, g1732.t1, g3454.t1	
OG0000211	g1258.t1, g1358.t1, g1401.t1, g2895.t1	
OG0000212	g1282.t1	g1.t1, g3830.t1, g3926.t1
OG0000213	g1324.t1	g2419.t1, g862.t1, g975.t1
OG0000214	g1438.t1	g2308.t1, g3839.t1, g6.t1
OG0000215	g1468.t1, g1469.t1, g1556.t1	g1330.t1
OG0000216	g1489.t1, g1706.t1, g1903.t1, g2430.t1	
OG0000217	g1492.t1	g2143.t1, g3911.t1, g518.t1
OG0000218	g1527.t1, g3006.t1, g3349.t1	g293.t1
OG0000219	g1607.t1	g1675.t1, g330.t1, g681.t1
OG0000220	g1613.t1, g2060.t1	g2761.t1, g3729.t1
OG0000221	g1625.t1, g3548.t1	g2824.t1, g933.t1
OG0000222	g1656.t1	g1030.t1, g2121.t1, g2135.t1
OG0000223	g1657.t1, g2378.t1, g2529.t1, g2532.t1	
OG0000224	g1736.t1, g2318.t1, g2319.t1, g2320.t1	
OG0000225	g1821.t1, g1822.t1	g2497.t1, g4099.t1
OG0000226	g1981.t1, g3327.t1, g3357.t1	g1807.t1
OG0000227	g2016.t1, g2288.t1, g2782.t1	g3319.t1
OG0000228	g2376.t1, g2590.t1, g3367.t1	g2341.t1
OG0000229	g2640.t1, g3333.t1	g2183.t1, g390.t1
OG0000230	g2672.t1, g3159.t1, g3296.t1	g2863.t1
OG0000231	g2849.t1	g1465.t1, g3765.t1, g3987.t1
OG0000232	g2930.t1	g2876.t1, g349.t1, g808.t1
OG0000233	g2935.t1	g3883.t1, g419.t1, g915.t1
OG0000234	g2941.t1	g180.t1, g2254.t1, g637.t1
OG0000235	g3057.t1	g235.t1, g2825.t1, g295.t1
OG0000236	g3068.t1, g3162.t1	g3875.t1, g780.t1
OG0000237	g3084.t1	g1062.t1, g1822.t1, g3547.t1
OG0000238	g3090.t1	g3844.t1, g779.t1, g904.t1
OG0000239	g3170.t1	g3660.t1, g755.t1, g93.t1
OG0000240	g3190.t1, g3504.t1, g3521.t1	g874.t1
OG0000241	g3205.t1	g1366.t1, g3265.t1, g3788.t1
OG0000242	g3290.t1	g2802.t1, g2872.t1, g77.t1
OG0000243		g16.t1, g2387.t1, g30.t1, g3517.t1
OG0000244		g32.t1, g3834.t1, g4095.t1, g460.t1
OG0000245		g3124.t1, g577.t1, g61.t1, g704.t1
OG0000246		g1256.t1, g3349.t1, g75.t1, g792.t1
OG0000247		g1531.t1, g2042.t1, g2998.t1, g95.t1
OG0000248		g105.t1, g2565.t1, g3616.t1, g424.t1
OG0000249		g325.t1, g3969.t1, g4019.t1, g465.t1
OG0000250		g2331.t1, g3393.t1, g3505.t1, g489.t1
OG0000251		g1943.t1, g1977.t1, g3664.t1, g547.t1
OG0000252		g1013.t1, g3619.t1, g742.t1, g743.t1
OG0000253		g1068.t1, g1626.t1, g2475.t1, g747.t1
OG0000254		g1412.t1, g1859.t1, g4087.t1, g766.t1
OG0000255		g3396.t1, g3847.t1, g3996.t1, g768.t1
OG0000256		g1134.t1, g1277.t1, g1879.t1, g772.t1
OG0000257		g1167.t1, g1581.t1, g3390.t1, g786.t1
OG0000258		g2127.t1, g2215.t1, g3342.t1, g802.t1
OG0000259		g2090.t1, g2441.t1, g842.t1, g956.t1
OG0000260		g1749.t1, g2439.t1, g844.t1, g958.t1
OG0000261		g2417.t1, g865.t1, g977.t1, g978.t1
OG0000262		g1081.t1, g2448.t1, g2538.t1, g950.t1
OG0000263		g1001.t1, g1338.t1, g3138.t1, g3233.t1
OG0000264		g1046.t1, g1049.t1, g3155.t1, g3976.t1
OG0000265		g1094.t1, g1096.t1, g1097.t1, g1098.t1
OG0000266		g1186.t1, g2661.t1, g2668.t1, g3998.t1
OG0000267		g1403.t1, g2867.t1, g2914.t1, g3445.t1
OG0000268		g1429.t1, g1672.t1, g2639.t1, g2924.t1
OG0000269		g1466.t1, g2108.t1, g3766.t1, g3988.t1
OG0000270		g1557.t1, g1651.t1, g2346.t1, g2347.t1
OG0000271		g2000.t1, g2257.t1, g2384.t1, g2894.t1
OG0000272		g2703.t1, g3276.t1, g3303.t1, g3559.t1
OG0000273	g2871.t1, g3.t1	g3594.t1
