Orthogroup	Mycobacterium_leprae	Salmonella_enterica	Total
OG0000373	0	3	3
OG0000374	0	3	3
OG0000375	0	3	3
OG0000376	0	3	3
OG0000377	0	3	3
OG0000378	0	3	3
OG0000379	0	3	3
OG0000380	0	3	3
OG0000381	0	3	3
OG0000382	0	3	3
OG0000383	0	3	3
OG0000384	0	3	3
OG0000385	0	3	3
OG0000386	0	3	3
OG0000387	0	3	3
OG0000388	0	3	3
OG0000389	0	3	3
OG0000390	0	3	3
OG0000391	0	3	3
OG0000392	0	3	3
OG0000393	0	3	3
OG0000394	0	3	3
OG0000395	0	3	3
OG0000396	0	3	3
OG0000397	0	3	3
OG0000398	0	3	3
OG0000399	0	3	3
OG0000400	0	3	3
OG0000401	0	3	3
OG0000402	0	3	3
OG0000403	0	3	3
OG0000404	0	3	3
OG0000405	0	3	3
OG0000406	0	3	3
OG0000407	0	3	3
OG0000408	0	3	3
OG0000409	0	3	3
OG0000410	0	3	3
OG0000411	0	3	3
OG0000412	0	3	3
OG0000413	0	3	3
OG0000414	0	3	3
OG0000415	0	3	3
OG0000416	0	3	3
OG0000417	0	3	3
OG0000418	0	3	3
OG0000419	0	3	3
OG0000420	0	3	3
OG0000421	0	3	3
OG0000422	0	3	3
OG0000423	0	3	3
OG0000424	0	3	3
OG0000425	0	3	3
OG0000426	0	3	3
OG0000427	1	1	2
OG0000428	1	1	2
OG0000429	1	1	2
OG0000430	1	1	2
OG0000431	1	1	2
OG0000432	2	0	2
OG0000433	1	1	2
OG0000434	2	0	2
OG0000435	2	0	2
OG0000436	2	0	2
OG0000437	2	0	2
OG0000438	1	1	2
OG0000439	2	0	2
OG0000440	1	1	2
OG0000441	1	1	2
OG0000442	1	1	2
OG0000443	1	1	2
OG0000444	2	0	2
OG0000445	1	1	2
OG0000446	1	1	2
OG0000447	1	1	2
OG0000448	2	0	2
OG0000449	2	0	2
OG0000450	2	0	2
OG0000451	1	1	2
OG0000452	1	1	2
OG0000453	1	1	2
OG0000454	1	1	2
OG0000455	1	1	2
OG0000456	1	1	2
OG0000457	1	1	2
OG0000458	1	1	2
OG0000459	1	1	2
OG0000460	1	1	2
OG0000461	1	1	2
OG0000462	1	1	2
OG0000463	1	1	2
OG0000464	1	1	2
OG0000465	1	1	2
OG0000466	1	1	2
OG0000467	1	1	2
OG0000468	1	1	2
OG0000469	1	1	2
OG0000470	1	1	2
OG0000471	1	1	2
OG0000472	1	1	2
OG0000473	1	1	2
OG0000474	1	1	2
OG0000475	1	1	2
OG0000476	1	1	2
OG0000477	1	1	2
OG0000478	1	1	2
OG0000479	1	1	2
OG0000480	1	1	2
OG0000481	1	1	2
OG0000482	1	1	2
OG0000483	1	1	2
OG0000484	1	1	2
OG0000485	1	1	2
OG0000486	2	0	2
OG0000487	1	1	2
OG0000488	2	0	2
OG0000489	2	0	2
OG0000490	1	1	2
OG0000491	1	1	2
OG0000492	1	1	2
OG0000493	1	1	2
OG0000494	1	1	2
OG0000495	1	1	2
OG0000496	1	1	2
OG0000497	1	1	2
OG0000498	1	1	2
OG0000499	1	1	2
OG0000500	1	1	2
OG0000501	1	1	2
OG0000502	1	1	2
OG0000503	1	1	2
OG0000504	2	0	2
OG0000505	1	1	2
OG0000506	1	1	2
OG0000507	1	1	2
OG0000508	1	1	2
OG0000509	2	0	2
OG0000510	1	1	2
OG0000511	1	1	2
OG0000512	2	0	2
OG0000513	1	1	2
OG0000514	1	1	2
OG0000515	1	1	2
OG0000516	1	1	2
OG0000517	1	1	2
OG0000518	1	1	2
OG0000519	1	1	2
OG0000520	1	1	2
OG0000521	1	1	2
OG0000522	1	1	2
OG0000523	1	1	2
OG0000524	1	1	2
OG0000525	2	0	2
OG0000526	1	1	2
OG0000527	1	1	2
OG0000528	1	1	2
OG0000529	1	1	2
OG0000530	1	1	2
OG0000531	1	1	2
OG0000532	1	1	2
OG0000533	1	1	2
OG0000534	2	0	2
OG0000535	1	1	2
OG0000536	1	1	2
OG0000537	1	1	2
OG0000538	1	1	2
OG0000539	1	1	2
OG0000540	1	1	2
OG0000541	1	1	2
OG0000542	1	1	2
OG0000543	1	1	2
OG0000544	1	1	2
OG0000545	1	1	2
OG0000546	1	1	2
OG0000547	1	1	2
OG0000548	1	1	2
OG0000549	1	1	2
OG0000550	1	1	2
OG0000551	1	1	2
OG0000552	1	1	2
OG0000553	2	0	2
OG0000554	1	1	2
OG0000555	1	1	2
OG0000556	1	1	2
OG0000557	1	1	2
OG0000558	1	1	2
OG0000559	1	1	2
OG0000560	1	1	2
OG0000561	1	1	2
OG0000562	1	1	2
OG0000563	1	1	2
OG0000564	1	1	2
OG0000565	1	1	2
OG0000566	1	1	2
OG0000567	1	1	2
OG0000568	1	1	2
OG0000569	2	0	2
OG0000570	1	1	2
OG0000571	1	1	2
OG0000572	1	1	2
OG0000573	1	1	2
OG0000574	1	1	2
OG0000575	1	1	2
OG0000576	1	1	2
OG0000577	1	1	2
OG0000578	1	1	2
OG0000579	1	1	2
OG0000580	1	1	2
OG0000581	1	1	2
OG0000582	1	1	2
OG0000583	1	1	2
OG0000584	2	0	2
OG0000585	1	1	2
OG0000586	1	1	2
OG0000587	1	1	2
OG0000588	2	0	2
OG0000589	2	0	2
OG0000590	1	1	2
OG0000591	1	1	2
OG0000592	1	1	2
OG0000593	1	1	2
OG0000594	1	1	2
OG0000595	1	1	2
OG0000596	1	1	2
OG0000597	1	1	2
OG0000598	1	1	2
OG0000599	1	1	2
OG0000600	1	1	2
OG0000601	1	1	2
OG0000602	1	1	2
OG0000603	1	1	2
OG0000604	1	1	2
OG0000605	1	1	2
OG0000606	1	1	2
OG0000607	1	1	2
OG0000608	1	1	2
OG0000609	2	0	2
OG0000610	1	1	2
OG0000611	1	1	2
OG0000612	1	1	2
OG0000613	1	1	2
OG0000614	1	1	2
OG0000615	1	1	2
OG0000616	1	1	2
OG0000617	1	1	2
OG0000618	1	1	2
OG0000619	1	1	2
OG0000620	1	1	2
OG0000621	2	0	2
OG0000622	1	1	2
OG0000623	1	1	2
OG0000624	1	1	2
OG0000625	1	1	2
OG0000626	1	1	2
OG0000627	1	1	2
OG0000628	1	1	2
OG0000629	1	1	2
OG0000630	1	1	2
OG0000631	1	1	2
OG0000632	1	1	2
OG0000633	2	0	2
OG0000634	2	0	2
OG0000635	1	1	2
OG0000636	1	1	2
OG0000637	1	1	2
OG0000638	1	1	2
OG0000639	1	1	2
OG0000640	1	1	2
OG0000641	1	1	2
OG0000642	1	1	2
OG0000643	1	1	2
OG0000644	1	1	2
OG0000645	1	1	2
OG0000646	1	1	2
OG0000647	1	1	2
OG0000648	1	1	2
OG0000649	1	1	2
OG0000650	1	1	2
OG0000651	1	1	2
OG0000652	1	1	2
OG0000653	1	1	2
OG0000654	1	1	2
OG0000655	1	1	2
OG0000656	1	1	2
OG0000657	1	1	2
OG0000658	1	1	2
OG0000659	1	1	2
OG0000660	1	1	2
OG0000661	1	1	2
OG0000662	1	1	2
OG0000663	1	1	2
OG0000664	1	1	2
OG0000665	1	1	2
OG0000666	1	1	2
OG0000667	1	1	2
OG0000668	1	1	2
OG0000669	1	1	2
OG0000670	1	1	2
OG0000671	1	1	2
OG0000672	1	1	2
OG0000673	1	1	2
OG0000674	1	1	2
OG0000675	1	1	2
OG0000676	1	1	2
OG0000677	1	1	2
OG0000678	1	1	2
OG0000679	1	1	2
OG0000680	2	0	2
OG0000681	1	1	2
OG0000682	1	1	2
OG0000683	1	1	2
OG0000684	1	1	2
OG0000685	1	1	2
OG0000686	1	1	2
OG0000687	1	1	2
OG0000688	1	1	2
OG0000689	1	1	2
OG0000690	1	1	2
OG0000691	1	1	2
OG0000692	1	1	2
OG0000693	1	1	2
OG0000694	1	1	2
OG0000695	1	1	2
OG0000696	1	1	2
OG0000697	1	1	2
OG0000698	1	1	2
OG0000699	1	1	2
OG0000700	1	1	2
OG0000701	2	0	2
OG0000702	1	1	2
OG0000703	1	1	2
OG0000704	1	1	2
OG0000705	1	1	2
OG0000706	1	1	2
OG0000707	1	1	2
OG0000708	1	1	2
OG0000709	1	1	2
OG0000710	1	1	2
OG0000711	1	1	2
OG0000712	1	1	2
OG0000713	1	1	2
OG0000714	1	1	2
OG0000715	1	1	2
OG0000716	1	1	2
OG0000717	1	1	2
OG0000718	1	1	2
OG0000719	1	1	2
OG0000720	1	1	2
OG0000721	1	1	2
OG0000722	1	1	2
OG0000723	1	1	2
OG0000724	1	1	2
OG0000725	1	1	2
OG0000726	1	1	2
OG0000727	1	1	2
OG0000728	2	0	2
OG0000729	1	1	2
OG0000730	1	1	2
OG0000731	1	1	2
OG0000732	1	1	2
OG0000733	1	1	2
OG0000734	1	1	2
OG0000735	1	1	2
OG0000736	1	1	2
OG0000737	1	1	2
OG0000738	1	1	2
OG0000739	1	1	2
OG0000740	1	1	2
OG0000741	1	1	2
OG0000742	1	1	2
OG0000743	1	1	2
OG0000744	1	1	2
OG0000745	1	1	2
OG0000746	1	1	2
OG0000747	1	1	2
OG0000748	1	1	2
OG0000749	1	1	2
OG0000750	1	1	2
OG0000751	1	1	2
OG0000752	1	1	2
OG0000753	1	1	2
OG0000754	1	1	2
OG0000755	1	1	2
OG0000756	1	1	2
OG0000757	1	1	2
OG0000758	1	1	2
OG0000759	1	1	2
OG0000760	1	1	2
OG0000761	1	1	2
OG0000762	1	1	2
OG0000763	1	1	2
OG0000764	1	1	2
OG0000765	1	1	2
OG0000766	1	1	2
OG0000767	1	1	2
OG0000768	1	1	2
OG0000769	1	1	2
OG0000770	1	1	2
OG0000771	1	1	2
OG0000772	1	1	2
OG0000773	1	1	2
OG0000774	1	1	2
OG0000775	1	1	2
OG0000776	1	1	2
OG0000777	1	1	2
OG0000778	1	1	2
OG0000779	1	1	2
OG0000780	1	1	2
OG0000781	1	1	2
OG0000782	1	1	2
OG0000783	1	1	2
OG0000784	1	1	2
OG0000785	1	1	2
OG0000786	1	1	2
OG0000787	1	1	2
OG0000788	1	1	2
OG0000789	1	1	2
OG0000790	1	1	2
OG0000791	1	1	2
OG0000792	1	1	2
OG0000793	1	1	2
OG0000794	1	1	2
OG0000795	1	1	2
OG0000796	1	1	2
OG0000797	1	1	2
OG0000798	1	1	2
OG0000799	1	1	2
OG0000800	1	1	2
OG0000801	1	1	2
OG0000802	1	1	2
OG0000803	1	1	2
OG0000804	1	1	2
OG0000805	1	1	2
OG0000806	1	1	2
OG0000807	1	1	2
OG0000808	1	1	2
OG0000809	1	1	2
OG0000810	1	1	2
OG0000811	1	1	2
OG0000812	2	0	2
OG0000813	1	1	2
OG0000814	1	1	2
OG0000815	1	1	2
OG0000816	1	1	2
OG0000817	1	1	2
OG0000818	1	1	2
OG0000819	2	0	2
OG0000820	1	1	2
OG0000821	1	1	2
OG0000822	1	1	2
OG0000823	1	1	2
OG0000824	1	1	2
OG0000825	1	1	2
OG0000826	1	1	2
OG0000827	1	1	2
OG0000828	1	1	2
OG0000829	1	1	2
OG0000830	1	1	2
OG0000831	1	1	2
OG0000832	1	1	2
OG0000833	1	1	2
OG0000834	1	1	2
OG0000835	1	1	2
OG0000836	1	1	2
OG0000837	1	1	2
OG0000838	1	1	2
OG0000839	1	1	2
OG0000840	1	1	2
OG0000841	1	1	2
OG0000842	1	1	2
OG0000843	1	1	2
OG0000844	1	1	2
OG0000845	1	1	2
OG0000846	1	1	2
OG0000847	1	1	2
OG0000848	1	1	2
OG0000849	1	1	2
OG0000850	1	1	2
OG0000851	1	1	2
OG0000852	1	1	2
OG0000853	1	1	2
OG0000854	1	1	2
OG0000855	1	1	2
OG0000856	1	1	2
OG0000857	2	0	2
OG0000858	1	1	2
OG0000859	1	1	2
OG0000860	1	1	2
OG0000861	1	1	2
OG0000862	1	1	2
OG0000863	1	1	2
OG0000864	1	1	2
OG0000865	1	1	2
OG0000866	1	1	2
OG0000867	2	0	2
OG0000868	1	1	2
OG0000869	1	1	2
OG0000870	1	1	2
OG0000871	1	1	2
OG0000872	1	1	2
OG0000873	1	1	2
OG0000874	1	1	2
OG0000875	1	1	2
OG0000876	1	1	2
OG0000877	1	1	2
OG0000878	1	1	2
OG0000879	1	1	2
OG0000880	1	1	2
OG0000881	1	1	2
OG0000882	1	1	2
OG0000883	1	1	2
OG0000884	1	1	2
OG0000885	1	1	2
OG0000886	1	1	2
OG0000887	1	1	2
OG0000888	1	1	2
OG0000889	1	1	2
OG0000890	1	1	2
OG0000891	1	1	2
OG0000892	1	1	2
OG0000893	1	1	2
OG0000894	1	1	2
OG0000895	1	1	2
OG0000896	1	1	2
OG0000897	1	1	2
OG0000898	1	1	2
OG0000899	1	1	2
OG0000900	1	1	2
OG0000901	1	1	2
OG0000902	1	1	2
OG0000903	1	1	2
OG0000904	1	1	2
OG0000905	1	1	2
OG0000906	1	1	2
OG0000907	1	1	2
OG0000908	1	1	2
OG0000909	1	1	2
OG0000910	1	1	2
OG0000911	1	1	2
OG0000912	1	1	2
OG0000913	1	1	2
OG0000914	1	1	2
OG0000915	1	1	2
OG0000916	1	1	2
OG0000917	1	1	2
OG0000918	1	1	2
OG0000919	1	1	2
OG0000920	1	1	2
OG0000921	2	0	2
OG0000922	0	2	2
OG0000923	0	2	2
OG0000924	0	2	2
OG0000925	0	2	2
OG0000926	0	2	2
OG0000927	0	2	2
OG0000928	0	2	2
OG0000929	0	2	2
OG0000930	0	2	2
OG0000931	0	2	2
OG0000932	0	2	2
OG0000933	0	2	2
OG0000934	0	2	2
OG0000935	0	2	2
OG0000936	0	2	2
OG0000937	0	2	2
OG0000938	0	2	2
OG0000939	0	2	2
OG0000940	0	2	2
OG0000941	0	2	2
OG0000942	0	2	2
OG0000943	0	2	2
OG0000944	0	2	2
OG0000945	0	2	2
OG0000946	0	2	2
OG0000947	0	2	2
OG0000948	0	2	2
OG0000949	0	2	2
OG0000950	0	2	2
OG0000951	0	2	2
OG0000952	0	2	2
OG0000953	0	2	2
OG0000954	0	2	2
OG0000955	0	2	2
OG0000956	0	2	2
OG0000957	0	2	2
OG0000958	0	2	2
OG0000959	0	2	2
OG0000960	0	2	2
OG0000961	0	2	2
OG0000962	0	2	2
OG0000963	0	2	2
OG0000964	0	2	2
OG0000965	0	2	2
OG0000966	0	2	2
OG0000967	0	2	2
OG0000968	0	2	2
OG0000969	0	2	2
OG0000970	0	2	2
OG0000971	0	2	2
OG0000972	0	2	2
OG0000973	0	2	2
OG0000974	0	2	2
OG0000975	0	2	2
OG0000976	0	2	2
OG0000977	0	2	2
OG0000978	0	2	2
OG0000979	0	2	2
OG0000980	0	2	2
OG0000981	0	2	2
OG0000982	0	2	2
OG0000983	0	2	2
OG0000984	0	2	2
OG0000985	0	2	2
OG0000986	0	2	2
OG0000987	0	2	2
OG0000988	0	2	2
OG0000989	0	2	2
OG0000990	0	2	2
OG0000991	0	2	2
OG0000992	0	2	2
OG0000993	0	2	2
OG0000994	0	2	2
OG0000995	0	2	2
OG0000996	0	2	2
OG0000997	0	2	2
OG0000998	0	2	2
OG0000999	0	2	2
OG0001000	0	2	2
OG0001001	0	2	2
OG0001002	0	2	2
OG0001003	0	2	2
OG0001004	0	2	2
OG0001005	0	2	2
OG0001006	0	2	2
OG0001007	0	2	2
OG0001008	0	2	2
OG0001009	0	2	2
OG0001010	0	2	2
OG0001011	0	2	2
OG0001012	0	2	2
OG0001013	0	2	2
OG0001014	0	2	2
OG0001015	0	2	2
OG0001016	0	2	2
OG0001017	0	2	2
OG0001018	0	2	2
OG0001019	0	2	2
OG0001020	0	2	2
OG0001021	0	2	2
OG0001022	0	2	2
OG0001023	0	2	2
OG0001024	0	2	2
OG0001025	0	2	2
OG0001026	0	2	2
OG0001027	0	2	2
OG0001028	0	2	2
OG0001029	0	2	2
OG0001030	0	2	2
OG0001031	0	2	2
OG0001032	0	2	2
OG0001033	0	2	2
OG0001034	0	2	2
OG0001035	0	2	2
OG0001036	0	2	2
OG0001037	0	2	2
OG0001038	0	2	2
OG0001039	0	2	2
OG0001040	0	2	2
OG0001041	0	2	2
OG0001042	0	2	2
OG0001043	0	2	2
OG0001044	0	2	2
OG0001045	0	2	2
OG0001046	0	2	2
OG0001047	0	2	2
OG0001048	0	2	2
OG0001049	0	2	2
OG0001050	0	2	2
OG0001051	0	2	2
OG0001052	0	2	2
OG0001053	0	2	2
OG0001054	0	2	2
OG0001055	0	2	2
OG0001056	0	2	2
OG0001057	0	2	2
OG0001058	0	2	2
OG0001059	0	2	2
OG0001060	0	2	2
OG0001061	0	2	2
OG0001062	0	2	2
OG0001063	0	2	2
OG0001064	0	2	2
OG0001065	0	2	2
OG0001066	0	2	2
OG0001067	0	2	2
OG0001068	0	2	2
OG0001069	0	2	2
OG0001070	0	2	2
OG0001071	0	2	2
OG0001072	0	2	2
OG0001073	0	2	2
OG0001074	0	2	2
OG0001075	0	2	2
OG0001076	0	2	2
OG0001077	0	2	2
OG0001078	0	2	2
OG0001079	0	2	2
OG0001080	0	2	2
OG0001081	0	2	2
OG0001082	0	2	2
OG0001083	0	2	2
OG0001084	0	2	2
OG0001085	0	2	2
OG0001086	0	2	2
OG0001087	0	2	2
OG0001088	0	2	2
OG0001089	0	2	2
OG0001090	0	2	2
OG0001091	0	2	2
OG0001092	0	2	2
OG0001093	0	2	2
OG0001094	0	2	2
OG0001095	0	2	2
OG0001096	0	2	2
OG0001097	0	2	2
OG0001098	0	2	2
OG0001099	0	2	2
OG0001100	0	2	2
OG0001101	0	2	2
OG0001102	0	2	2
OG0001103	0	2	2
OG0001104	0	2	2
OG0001105	0	2	2
OG0001106	0	2	2
OG0001107	0	2	2
OG0001108	0	2	2
OG0001109	0	2	2
OG0001110	0	2	2
OG0001111	0	2	2
OG0001112	0	2	2
OG0001113	0	2	2
OG0001114	0	2	2
OG0001115	0	2	2
OG0001116	0	2	2
OG0001117	0	2	2
OG0001118	0	2	2
OG0001119	0	2	2
OG0001120	0	2	2
OG0001121	0	2	2
OG0001122	0	2	2
OG0001123	0	2	2
OG0001124	0	2	2
OG0001125	0	2	2
OG0001126	0	2	2
OG0001127	0	2	2
OG0001128	0	2	2
OG0001129	0	2	2
OG0001130	0	2	2
OG0001131	0	2	2
OG0001132	0	2	2
OG0001133	0	2	2
OG0001134	0	2	2
OG0001135	0	2	2
OG0001136	0	2	2
OG0001137	0	2	2
OG0001138	0	2	2
OG0001139	0	2	2
OG0001140	0	2	2
OG0001141	0	2	2
OG0001142	0	2	2
OG0001143	0	2	2
OG0001144	0	2	2
OG0001145	0	2	2
OG0001146	0	2	2
OG0001147	0	2	2
OG0001148	0	2	2
OG0001149	0	2	2
OG0001150	0	2	2
OG0001151	0	2	2
OG0001152	0	2	2
OG0001153	0	2	2
OG0001154	0	2	2
OG0001155	0	2	2
OG0001156	0	2	2
OG0001157	0	2	2
OG0001158	0	2	2
OG0001159	0	2	2
