Orthogroup	Pseudomonas_aeruginosa	Salmonella_enterica
OG0000010	g1002.t1, g1631.t1, g2624.t1, g2882.t1, g3104.t1, g34.t1, g3411.t1, g3532.t1, g4023.t1, g4052.t1, g4193.t1, g4950.t1, g5076.t1, g941.t1	g1294.t1, g2116.t1, g2118.t1, g2748.t1, g3102.t1, g3583.t1
OG0000011	g1038.t1, g165.t1, g192.t1, g2148.t1, g2256.t1, g244.t1, g2459.t1, g2542.t1, g2743.t1, g2814.t1, g294.t1, g3098.t1, g3660.t1, g4219.t1, g4261.t1, g4586.t1, g4992.t1, g766.t1, g973.t1	g638.t1
OG0000012	g1642.t1, g235.t1, g2760.t1, g2790.t1, g3008.t1, g3113.t1, g3289.t1, g3497.t1, g3579.t1, g3658.t1, g4072.t1, g4234.t1, g487.t1, g5153.t1, g5176.t1, g841.t1	g1282.t1, g2152.t1, g2863.t1
OG0000013	g1122.t1, g172.t1, g1879.t1, g2829.t1, g2845.t1, g2928.t1, g293.t1, g3239.t1, g3409.t1, g343.t1, g3774.t1, g4414.t1, g4937.t1, g5023.t1, g859.t1	g1190.t1, g1856.t1, g354.t1
OG0000014	g1452.t1, g2560.t1, g2729.t1, g2857.t1, g2868.t1, g3137.t1, g3412.t1, g4110.t1, g416.t1, g4188.t1, g4378.t1, g4465.t1, g4578.t1, g4873.t1, g4979.t1, g942.t1	g1019.t1, g1639.t1
OG0000015	g1034.t1, g1255.t1, g1649.t1, g1771.t1, g1847.t1, g2046.t1, g2824.t1, g2899.t1, g2948.t1, g3494.t1, g3663.t1, g4412.t1, g5074.t1, g754.t1, g755.t1	g2151.t1, g68.t1
OG0000016	g1199.t1, g211.t1, g2422.t1, g2988.t1, g32.t1, g38.t1, g3919.t1, g4190.t1, g454.t1, g5008.t1, g5395.t1, g796.t1, g827.t1	g2771.t1, g3558.t1
OG0000017	g1318.t1, g1381.t1, g153.t1, g1943.t1, g2084.t1, g2128.t1, g2426.t1, g2465.t1, g2505.t1, g2954.t1, g3477.t1, g3976.t1, g479.t1, g4990.t1, g681.t1	
OG0000018	g1003.t1, g4160.t1, g4165.t1	g172.t1, g190.t1, g195.t1, g20.t1, g24.t1, g25.t1, g2816.t1, g3397.t1, g3401.t1, g508.t1, g509.t1, g513.t1
OG0000019	g1234.t1, g1235.t1, g1236.t1, g1576.t1, g2344.t1, g2438.t1, g2439.t1, g2440.t1, g2463.t1, g3393.t1, g3395.t1, g4157.t1, g4307.t1, g4308.t1	g546.t1
OG0000020	g1197.t1, g2131.t1, g2320.t1, g2595.t1, g2629.t1, g2747.t1, g3087.t1, g309.t1, g3154.t1, g3278.t1, g4879.t1, g5127.t1, g5426.t1, g843.t1	
OG0000021	g1077.t1, g1914.t1, g1976.t1, g2310.t1, g2619.t1, g3434.t1, g373.t1, g4104.t1, g4248.t1, g4767.t1, g485.t1, g490.t1, g4957.t1	g3990.t1
OG0000022	g1276.t1, g1639.t1, g2377.t1, g2526.t1, g2739.t1, g2975.t1, g3334.t1, g3491.t1, g3643.t1, g3975.t1, g423.t1, g5444.t1, g759.t1, g792.t1	
OG0000023	g1253.t1, g2430.t1, g2532.t1, g2559.t1, g2563.t1, g2895.t1, g3592.t1, g3971.t1, g4290.t1, g434.t1, g4683.t1, g5256.t1	g2031.t1, g321.t1
OG0000024	g1173.t1, g1824.t1, g2730.t1, g3138.t1, g3253.t1, g3269.t1, g4182.t1, g4464.t1, g471.t1, g5299.t1, g943.t1	g1366.t1, g3265.t1, g3788.t1
OG0000025		g1287.t1, g1391.t1, g1928.t1, g2357.t1, g2359.t1, g2637.t1, g2642.t1, g2646.t1, g2927.t1, g3425.t1, g3981.t1, g4008.t1, g570.t1, g900.t1
OG0000026	g1319.t1, g1382.t1, g154.t1, g1942.t1, g2085.t1, g2129.t1, g2427.t1, g2504.t1, g3476.t1, g3977.t1, g478.t1, g4989.t1, g682.t1	
OG0000027	g2114.t1, g3060.t1, g4101.t1, g5075.t1, g5193.t1, g801.t1, g880.t1	g146.t1, g1480.t1, g3675.t1, g369.t1, g4090.t1, g526.t1
OG0000028	g1130.t1, g3291.t1, g4304.t1, g4305.t1, g5092.t1, g872.t1	g2575.t1, g3965.t1, g428.t1, g429.t1, g891.t1, g892.t1, g917.t1
OG0000029	g1005.t1, g2167.t1, g4163.t1, g4741.t1	g170.t1, g191.t1, g2008.t1, g22.t1, g2815.t1, g283.t1, g314.t1, g3399.t1, g511.t1
OG0000030	g1075.t1, g1281.t1, g1427.t1, g2010.t1, g2136.t1, g2755.t1, g3424.t1, g3677.t1, g3974.t1, g4369.t1, g4875.t1	g1859.t1, g4092.t1
OG0000031	g1113.t1, g1258.t1, g1354.t1, g2218.t1, g2612.t1, g2940.t1, g4279.t1, g4375.t1, g4483.t1, g4579.t1, g4632.t1, g5263.t1	g2238.t1
OG0000032	g1503.t1, g2383.t1, g3084.t1, g3651.t1, g3654.t1	g2766.t1, g3419.t1, g3433.t1, g3538.t1, g3777.t1, g3801.t1, g3815.t1, g99.t1
OG0000033	g1736.t1, g3283.t1	g100.t1, g1222.t1, g1259.t1, g1414.t1, g1900.t1, g2952.t1, g3421.t1, g3846.t1, g3968.t1, g4000.t1, g539.t1
OG0000034	g100.t1, g101.t1, g1527.t1, g2412.t1, g266.t1, g2728.t1, g3358.t1, g3556.t1, g5186.t1, g5368.t1, g96.t1	g275.t1
OG0000035	g1124.t1, g1244.t1, g1250.t1, g1619.t1, g166.t1, g2525.t1, g3903.t1, g4004.t1, g4370.t1, g803.t1, g877.t1	g1186.t1
OG0000036	g1028.t1, g1759.t1, g2034.t1, g232.t1, g2592.t1, g2998.t1, g3073.t1, g3523.t1, g3661.t1, g4002.t1	g2805.t1, g3717.t1
OG0000037	g1302.t1, g1623.t1, g257.t1, g2883.t1, g2907.t1, g3127.t1, g3528.t1, g431.t1, g5255.t1, g956.t1	g1415.t1, g2710.t1
OG0000038	g1320.t1, g1383.t1, g2091.t1, g2104.t1, g2124.t1, g2631.t1, g3475.t1, g4764.t1, g4800.t1, g4991.t1, g680.t1, g702.t1	
OG0000039	g1055.t1, g1062.t1, g1136.t1, g1476.t1, g1800.t1, g2958.t1, g3597.t1, g3764.t1, g845.t1, g988.t1	g3406.t1, g690.t1
OG0000040	g1433.t1, g2069.t1, g3576.t1, g4262.t1, g4786.t1, g4995.t1, g5071.t1	g112.t1, g2153.t1, g2246.t1, g3553.t1, g3648.t1
OG0000041		g1285.t1, g1392.t1, g1393.t1, g1929.t1, g2360.t1, g3405.t1, g3579.t1, g3987.t1, g3988.t1, g4007.t1, g569.t1, g899.t1
OG0000042	g1340.t1, g155.t1, g1941.t1, g2503.t1, g2969.t1, g441.t1, g4599.t1, g477.t1, g4931.t1	g186.t1, g333.t1
OG0000043	g159.t1, g1650.t1, g240.t1, g3578.t1, g4423.t1	g1723.t1, g2137.t1, g3296.t1, g3426.t1, g3896.t1, g482.t1
OG0000044	g1238.t1, g1415.t1, g2157.t1, g2529.t1, g2590.t1, g275.t1, g2892.t1, g3387.t1, g484.t1, g4996.t1, g5289.t1	
OG0000045	g2108.t1, g296.t1, g3153.t1, g3432.t1, g3670.t1, g3870.t1, g4560.t1, g4894.t1	g1756.t1, g288.t1, g589.t1
OG0000046	g1042.t1, g1582.t1, g1585.t1, g1949.t1, g2356.t1, g2835.t1, g3492.t1, g4268.t1, g5411.t1, g542.t1	g2907.t1
OG0000047	g1516.t1, g1595.t1, g2242.t1, g3378.t1, g3641.t1, g753.t1	g1945.t1, g2708.t1, g3023.t1, g3751.t1, g485.t1
OG0000048	g1007.t1, g1230.t1, g1637.t1, g2596.t1, g3363.t1, g3364.t1, g3934.t1, g4001.t1, g4280.t1	g1701.t1, g2796.t1
OG0000049	g2062.t1, g2117.t1, g2285.t1, g2618.t1, g4042.t1, g4593.t1, g4876.t1, g5410.t1	g3632.t1, g427.t1, g894.t1
OG0000050	g2013.t1, g2627.t1, g3105.t1, g35.t1, g4025.t1, g5363.t1, g611.t1	g1820.t1, g2017.t1, g514.t1
OG0000051	g126.t1, g1286.t1, g1536.t1, g1542.t1, g4267.t1, g5000.t1, g809.t1	g1405.t1, g2593.t1, g3131.t1
OG0000052	g1471.t1, g182.t1, g2613.t1, g270.t1, g2939.t1, g3571.t1, g415.t1, g4481.t1, g5466.t1	g1795.t1
OG0000053	g189.t1, g2335.t1, g2635.t1, g2636.t1, g2637.t1, g2640.t1, g3514.t1, g3518.t1, g3583.t1, g4015.t1	
OG0000054	g1426.t1, g207.t1, g2633.t1, g2754.t1, g298.t1, g303.t1, g304.t1, g327.t1, g3682.t1	g810.t1
OG0000055	g1913.t1, g229.t1, g2351.t1, g4156.t1, g4584.t1, g5082.t1, g5403.t1, g543.t1	g1497.t1, g3772.t1
OG0000056	g1031.t1, g2039.t1, g2149.t1, g239.t1, g2509.t1, g3537.t1, g4175.t1, g4994.t1, g4997.t1	g2037.t1
OG0000057	g2253.t1, g245.t1	g1436.t1, g2752.t1, g2912.t1, g3457.t1, g3584.t1, g3590.t1, g4104.t1, g486.t1
OG0000058	g2898.t1, g3337.t1, g3536.t1, g3935.t1, g4027.t1, g435.t1	g2466.t1, g3055.t1, g3660.t1, g755.t1
OG0000059	g1004.t1, g2166.t1, g2169.t1, g4162.t1, g4164.t1, g4740.t1, g506.t1	g2009.t1, g312.t1, g315.t1
OG0000060	g1405.t1, g1407.t1, g3119.t1, g3281.t1, g4393.t1, g5099.t1, g854.t1	g1974.t1, g3473.t1, g3478.t1
OG0000061	g1172.t1, g1825.t1, g3254.t1, g3267.t1, g4181.t1, g5078.t1, g5300.t1	g1369.t1, g3266.t1, g3789.t1
OG0000062	g1201.t1, g2125.t1, g2366.t1, g2388.t1, g2396.t1, g2639.t1, g2641.t1, g3513.t1, g4031.t1, g4237.t1	
OG0000063	g1982.t1, g2298.t1	g1327.t1, g1450.t1, g2049.t1, g2797.t1, g2798.t1, g3395.t1, g3642.t1, g3823.t1
OG0000064		g1133.t1, g1372.t1, g3135.t1, g3136.t1, g335.t1, g4072.t1, g4083.t1, g523.t1, g758.t1, g80.t1
OG0000065	g1154.t1, g23.t1, g2528.t1, g2722.t1, g3319.t1, g3639.t1, g5335.t1, g875.t1	g3950.t1
OG0000066	g1450.t1, g160.t1, g161.t1, g2558.t1, g2566.t1, g3749.t1, g4288.t1, g4458.t1	g1987.t1
OG0000067	g179.t1	g1518.t1, g1546.t1, g1798.t1, g2916.t1, g2930.t1, g2992.t1, g2993.t1, g3338.t1
OG0000068	g630.t1	g2088.t1, g2094.t1, g2415.t1, g2517.t1, g2519.t1, g3906.t1, g866.t1, g980.t1
OG0000069	g1586.t1, g3184.t1, g3569.t1, g5179.t1, g5405.t1, g5441.t1, g5494.t1, g826.t1	g1705.t1
OG0000070	g1487.t1, g1960.t1, g3311.t1, g3335.t1, g4021.t1, g4022.t1	g1086.t1, g1396.t1, g1503.t1
OG0000071		g1578.t1, g2392.t1, g2653.t1, g336.t1, g3530.t1, g3734.t1, g3887.t1, g529.t1, g610.t1
OG0000072	g162.t1, g2052.t1, g3748.t1, g433.t1, g4684.t1	g2315.t1, g3163.t1, g441.t1
OG0000073	g188.t1, g2334.t1, g2346.t1, g2367.t1, g3512.t1, g3517.t1, g3582.t1, g4013.t1	
OG0000074	g208.t1, g307.t1, g328.t1, g3316.t1, g3681.t1, g616.t1	g1142.t1, g813.t1
OG0000075	g1277.t1, g1334.t1, g2089.t1, g250.t1, g465.t1	g1724.t1, g1990.t1, g3643.t1
OG0000076	g2082.t1, g2241.t1, g274.t1, g3455.t1, g3638.t1, g717.t1	g2957.t1, g3808.t1
OG0000077	g365.t1, g4056.t1, g4601.t1	g1643.t1, g3986.t1, g405.t1, g406.t1, g612.t1
OG0000078	g1284.t1, g2238.t1, g3937.t1, g428.t1, g4634.t1, g5180.t1, g5406.t1	g1686.t1
OG0000079	g1174.t1, g2663.t1, g3331.t1, g462.t1, g976.t1	g3410.t1, g587.t1, g881.t1
OG0000080	g1014.t1, g2812.t1, g2937.t1, g3288.t1, g486.t1, g5084.t1, g708.t1	g2806.t1
OG0000081	g1103.t1, g1231.t1, g2604.t1, g2721.t1, g3957.t1, g510.t1, g566.t1	g732.t1
OG0000082	g1025.t1, g1178.t1, g1404.t1, g1406.t1, g5095.t1, g713.t1	g1976.t1, g3380.t1
OG0000083	g1954.t1, g2731.t1, g3863.t1, g793.t1, g944.t1	g2057.t1, g2578.t1, g543.t1
OG0000084	g1158.t1, g1280.t1, g2150.t1, g2534.t1, g2904.t1, g4073.t1, g828.t1	g2173.t1
OG0000085	g1163.t1, g2024.t1, g5285.t1	g1916.t1, g2297.t1, g2762.t1, g2941.t1, g3774.t1
OG0000086	g1640.t1, g2753.t1, g2987.t1, g3737.t1, g4592.t1, g5443.t1	g334.t1, g3695.t1
OG0000087	g1648.t1, g1760.t1, g3074.t1, g3662.t1, g5287.t1, g5488.t1	g2230.t1, g3718.t1
OG0000088	g1675.t1, g2066.t1, g2135.t1, g2955.t1, g4214.t1, g5385.t1	g1493.t1, g2272.t1
OG0000089	g1776.t1, g2891.t1, g3077.t1, g3375.t1, g4434.t1, g5122.t1	g1805.t1, g3352.t1
OG0000090	g1900.t1, g3695.t1, g3860.t1, g4489.t1, g5018.t1, g5465.t1	g2715.t1, g2822.t1
OG0000091	g1953.t1, g2123.t1, g2494.t1, g2691.t1, g3233.t1, g4714.t1, g4892.t1	g2123.t1
OG0000092	g2243.t1, g2877.t1, g3898.t1	g1710.t1, g2071.t1, g317.t1, g3967.t1, g435.t1
OG0000093		g171.t1, g192.t1, g21.t1, g26.t1, g2814.t1, g282.t1, g3400.t1, g510.t1
OG0000094		g3589.t1, g3698.t1, g3738.t1, g425.t1, g719.t1, g775.t1, g777.t1, g801.t1
OG0000095	g1707.t1, g3033.t1, g3234.t1, g4018.t1, g618.t1, g70.t1	g3246.t1
OG0000096	g1692.t1, g1693.t1, g1805.t1, g2770.t1, g4106.t1, g79.t1, g80.t1	
OG0000097	g110.t1, g1620.t1, g2305.t1, g2518.t1, g4657.t1, g4706.t1, g5349.t1	
OG0000098	g137.t1, g225.t1, g302.t1, g427.t1, g4897.t1, g5415.t1	g729.t1
OG0000099	g1523.t1, g169.t1, g2996.t1, g357.t1	g3393.t1, g3505.t1, g489.t1
OG0000100	g1520.t1, g170.t1, g1892.t1, g247.t1, g443.t1, g840.t1	g1043.t1
OG0000101	g175.t1, g2012.t1, g3953.t1, g610.t1	g1649.t1, g2314.t1, g3546.t1
OG0000102	g209.t1, g306.t1, g329.t1, g3680.t1, g615.t1	g1143.t1, g812.t1
OG0000103	g1432.t1, g3086.t1, g321.t1, g4863.t1, g5456.t1, g5457.t1	g1267.t1
OG0000104	g1164.t1, g1501.t1, g2074.t1, g326.t1, g3669.t1	g1281.t1, g1932.t1
OG0000105	g1344.t1, g2725.t1, g335.t1, g863.t1	g3020.t1, g3652.t1, g935.t1
OG0000106	g1104.t1, g1160.t1, g1780.t1, g3318.t1, g340.t1, g5054.t1	g2055.t1
OG0000107	g4127.t1, g459.t1, g5233.t1, g5234.t1, g5235.t1, g5372.t1, g789.t1	
OG0000108	g1413.t1, g2011.t1, g2415.t1, g3676.t1, g3954.t1, g541.t1	g1650.t1
OG0000109	g2068.t1, g3180.t1, g4154.t1, g4463.t1, g555.t1, g810.t1	g249.t1
OG0000110	g1398.t1, g1897.t1, g3166.t1, g4386.t1, g5135.t1, g692.t1	g3252.t1
OG0000111	g2719.t1, g3164.t1, g3812.t1, g4611.t1, g5310.t1, g693.t1	g139.t1
OG0000112	g2096.t1, g2115.t1, g2433.t1, g3017.t1, g3887.t1, g825.t1	g2373.t1
OG0000113	g1352.t1, g2759.t1, g2990.t1, g3794.t1, g4438.t1, g852.t1	g1334.t1
OG0000114	g1247.t1, g1287.t1, g2471.t1, g3370.t1, g3970.t1, g889.t1	g3138.t1
OG0000115	g2030.t1, g2594.t1, g3640.t1, g4824.t1, g901.t1	g340.t1, g3978.t1
OG0000116	g1275.t1, g2981.t1, g3545.t1, g3939.t1, g5172.t1, g5251.t1, g902.t1	
OG0000117	g2514.t1, g2737.t1, g4139.t1, g5341.t1, g968.t1	g3661.t1, g470.t1
OG0000118	g1061.t1, g1823.t1, g2354.t1, g4191.t1, g4429.t1	g2312.t1, g344.t1
OG0000119	g1119.t1, g1720.t1	g1315.t1, g1842.t1, g2687.t1, g3621.t1, g3623.t1
OG0000120	g1123.t1, g3645.t1, g3790.t1, g4218.t1	g1325.t1, g2077.t1, g3603.t1
OG0000121	g1159.t1, g2338.t1, g2861.t1, g3312.t1, g3447.t1	g3363.t1, g398.t1
OG0000122	g1254.t1, g1309.t1, g1794.t1, g1860.t1, g2578.t1, g3365.t1	g3697.t1
OG0000123	g1272.t1, g1359.t1, g2245.t1, g2246.t1, g4275.t1, g4276.t1	g622.t1
OG0000124	g1364.t1, g1844.t1	g229.t1, g2389.t1, g2895.t1, g3999.t1, g652.t1
OG0000125	g1386.t1, g1934.t1, g2827.t1, g3650.t1, g4297.t1, g4806.t1	g1477.t1
OG0000126	g1424.t1, g4479.t1, g5019.t1	g1170.t1, g1552.t1, g2851.t1, g3831.t1
OG0000127	g1540.t1, g1622.t1, g1910.t1, g1963.t1, g1964.t1, g2418.t1, g4707.t1	
OG0000128	g1564.t1, g2475.t1, g3762.t1, g3997.t1	g324.t1, g3337.t1, g464.t1
OG0000129	g2118.t1, g2549.t1, g2555.t1, g3570.t1, g4801.t1, g4998.t1, g5512.t1	
OG0000130	g2364.t1, g2365.t1, g2386.t1, g2387.t1, g2395.t1, g2638.t1, g4016.t1	
OG0000131	g2970.t1, g4240.t1, g4796.t1	g187.t1, g2656.t1, g548.t1, g706.t1
OG0000132	g3219.t1, g5247.t1	g1088.t1, g1358.t1, g2560.t1, g2999.t1, g3307.t1
OG0000133	g3631.t1	g2062.t1, g3030.t1, g3614.t1, g3841.t1, g3842.t1, g3845.t1
OG0000134	g3833.t1	g1122.t1, g1360.t1, g2269.t1, g2399.t1, g2564.t1, g636.t1
OG0000135	g4581.t1, g4582.t1, g4585.t1, g4587.t1, g5419.t1	g1579.t1, g3392.t1
OG0000136		g2968.t1, g2969.t1, g31.t1, g37.t1, g3715.t1, g3716.t1, g3827.t1
OG0000137		g145.t1, g3508.t1, g3745.t1, g3746.t1, g3795.t1, g4002.t1, g41.t1
OG0000138		g1159.t1, g2818.t1, g286.t1, g319.t1, g767.t1, g860.t1, g972.t1
OG0000139		g1368.t1, g1423.t1, g1468.t1, g1865.t1, g2115.t1, g300.t1, g932.t1
OG0000140		g1508.t1, g2064.t1, g2187.t1, g2267.t1, g3031.t1, g3444.t1, g4079.t1
OG0000141	g1479.t1, g180.t1, g3777.t1, g3779.t1, g417.t1	g1799.t1
OG0000142	g1473.t1, g181.t1, g1848.t1, g3776.t1, g420.t1	g1800.t1
OG0000143	g190.t1, g196.t1, g197.t1, g2294.t1, g2349.t1, g4012.t1	
OG0000144	g251.t1, g4272.t1, g5321.t1	g1439.t1, g2840.t1, g629.t1
OG0000145	g1890.t1, g285.t1, g4777.t1, g5316.t1	g2279.t1, g717.t1
OG0000146	g2160.t1, g2304.t1, g369.t1, g3782.t1, g4179.t1, g5474.t1	
OG0000147	g2358.t1, g2733.t1, g3502.t1, g4071.t1, g451.t1, g4889.t1	
OG0000148	g1203.t1, g3664.t1, g3804.t1, g452.t1, g896.t1	g70.t1
OG0000149	g1920.t1, g2872.t1, g2879.t1, g3926.t1, g480.t1	g796.t1
OG0000150	g3285.t1, g3543.t1, g492.t1	g2775.t1, g3076.t1, g3691.t1
OG0000151	g1416.t1, g2045.t1, g2949.t1, g4942.t1, g501.t1	g3153.t1
OG0000152	g2933.t1, g3000.t1, g3130.t1, g4404.t1, g527.t1	g3635.t1
OG0000153	g2717.t1, g3161.t1, g3162.t1, g4635.t1, g4636.t1, g687.t1	
OG0000154	g1396.t1, g2080.t1, g2315.t1, g4309.t1, g709.t1	g2940.t1
OG0000155	g2516.t1, g2698.t1, g4867.t1, g767.t1	g2584.t1, g2954.t1
OG0000156	g2517.t1, g4868.t1, g768.t1	g2583.t1, g2955.t1, g3994.t1
OG0000157	g1940.t1, g2442.t1, g2502.t1, g3862.t1, g4301.t1, g813.t1	
OG0000158	g1806.t1, g3951.t1, g3952.t1, g823.t1	g1472.t1, g1648.t1
OG0000159	g1239.t1, g1240.t1, g5069.t1, g865.t1	g3224.t1, g82.t1
OG0000160	g1248.t1, g2154.t1, g3292.t1, g3479.t1, g4180.t1, g888.t1	
OG0000161	g3853.t1, g5267.t1, g900.t1	g2948.t1, g3431.t1, g3782.t1
OG0000162	g1878.t1, g3855.t1, g4266.t1, g4521.t1, g5482.t1, g907.t1	
OG0000163	g3221.t1, g951.t1	g1943.t1, g1977.t1, g3664.t1, g547.t1
OG0000164	g1047.t1, g1200.t1, g1643.t1, g1676.t1, g3095.t1	g2192.t1
OG0000165	g1065.t1, g2361.t1	g2703.t1, g3276.t1, g3303.t1, g3559.t1
OG0000166	g1144.t1, g1762.t1, g2573.t1, g3868.t1, g5087.t1	g389.t1
OG0000167	g1148.t1, g1938.t1, g4315.t1, g5384.t1	g1085.t1, g404.t1
OG0000168	g1213.t1, g1214.t1, g3542.t1	g1247.t1, g1330.t1, g2070.t1
OG0000169	g1217.t1, g2458.t1, g2741.t1, g3920.t1	g3518.t1, g886.t1
OG0000170	g1246.t1, g2469.t1, g3368.t1, g3426.t1, g3968.t1	g1339.t1
OG0000171	g1252.t1, g2894.t1, g3197.t1, g4677.t1, g5257.t1	g2613.t1
OG0000172	g1262.t1, g1906.t1, g3472.t1, g4224.t1	g2509.t1, g3963.t1
OG0000173	g1341.t1, g2806.t1, g3100.t1	g2155.t1, g2601.t1, g3005.t1
OG0000174	g1360.t1, g2247.t1, g3932.t1, g4277.t1, g5178.t1	g623.t1
OG0000175	g1365.t1, g1500.t1, g2632.t1, g3671.t1, g3843.t1, g4898.t1	
OG0000176	g1453.t1, g2561.t1, g2869.t1, g4980.t1	g1018.t1, g519.t1
OG0000177	g1539.t1, g1621.t1, g1909.t1, g1965.t1, g2417.t1, g4708.t1	
OG0000178	g2127.t1, g3367.t1, g3402.t1, g4437.t1	g2127.t1, g247.t1
OG0000179	g2195.t1, g3557.t1, g4421.t1, g5185.t1, g5496.t1	g747.t1
OG0000180	g2531.t1, g2557.t1, g3593.t1, g4289.t1, g4459.t1	g322.t1
OG0000181	g4588.t1	g1166.t1, g1580.t1, g1632.t1, g3391.t1, g785.t1
OG0000182	g5259.t1	g1952.t1, g1958.t1, g1969.t1, g1970.t1, g3667.t1
OG0000183	g5336.t1	g2056.t1, g2130.t1, g2240.t1, g3544.t1, g3545.t1
OG0000184		g169.t1, g193.t1, g194.t1, g23.t1, g3398.t1, g512.t1
OG0000185		g1712.t1, g173.t1, g3528.t1, g3529.t1, g534.t1, g535.t1
OG0000186		g1139.t1, g1382.t1, g3110.t1, g3440.t1, g362.t1, g633.t1
OG0000187		g1746.t1, g2413.t1, g2414.t1, g2518.t1, g867.t1, g981.t1
OG0000188		g1399.t1, g1568.t1, g2120.t1, g3456.t1, g3585.t1, g3591.t1
