Orthogroup	Neisseria_gonorrhoeae	Pseudomonas_aeruginosa
OG0000010		g1123.t1, g1148.t1, g1227.t1, g1251.t1, g1277.t1, g1299.t1, g1331.t1, g1334.t1, g1938.t1, g2039.t1, g2089.t1, g239.t1, g250.t1, g2509.t1, g2893.t1, g3198.t1, g3537.t1, g3645.t1, g3790.t1, g4003.t1, g4218.t1, g4269.t1, g4315.t1, g465.t1, g4994.t1, g4997.t1, g5125.t1, g5258.t1, g5384.t1
OG0000011		g1246.t1, g1252.t1, g1450.t1, g160.t1, g161.t1, g2053.t1, g2428.t1, g2469.t1, g2530.t1, g2558.t1, g2566.t1, g2894.t1, g3197.t1, g3368.t1, g3426.t1, g3468.t1, g3594.t1, g3749.t1, g3968.t1, g4288.t1, g432.t1, g4458.t1, g4677.t1, g4685.t1, g5257.t1, g5333.t1
OG0000012		g1266.t1, g1439.t1, g1578.t1, g1628.t1, g1667.t1, g179.t1, g183.t1, g1962.t1, g2601.t1, g2614.t1, g2693.t1, g2695.t1, g2847.t1, g2925.t1, g2978.t1, g3780.t1, g418.t1, g4372.t1, g4389.t1, g4391.t1, g4392.t1, g4605.t1, g4720.t1, g4938.t1, g5009.t1, g5168.t1
OG0000013		g1103.t1, g1176.t1, g1231.t1, g2068.t1, g2123.t1, g2494.t1, g2604.t1, g2691.t1, g2721.t1, g3180.t1, g3233.t1, g3957.t1, g4154.t1, g4260.t1, g4463.t1, g4882.t1, g4892.t1, g4944.t1, g510.t1, g5159.t1, g555.t1, g566.t1, g786.t1, g810.t1
OG0000014		g1041.t1, g1268.t1, g135.t1, g2017.t1, g2161.t1, g223.t1, g2260.t1, g2363.t1, g268.t1, g3574.t1, g3642.t1, g371.t1, g4085.t1, g4100.t1, g4152.t1, g4204.t1, g4271.t1, g4993.t1, g5414.t1, g5475.t1, g757.t1, g794.t1, g912.t1
OG0000015		g1112.t1, g1114.t1, g1211.t1, g1353.t1, g1685.t1, g1978.t1, g2038.t1, g2394.t1, g2399.t1, g2489.t1, g2707.t1, g2910.t1, g4009.t1, g4099.t1, g4229.t1, g4633.t1, g4667.t1, g4817.t1, g4947.t1, g5221.t1, g5264.t1, g887.t1
OG0000016		g1890.t1, g208.t1, g209.t1, g2379.t1, g2380.t1, g284.t1, g285.t1, g306.t1, g307.t1, g3250.t1, g3251.t1, g328.t1, g329.t1, g3315.t1, g3316.t1, g3680.t1, g3681.t1, g4777.t1, g5316.t1, g615.t1, g616.t1
OG0000017		g1038.t1, g165.t1, g192.t1, g2148.t1, g2256.t1, g244.t1, g2459.t1, g2542.t1, g2743.t1, g2814.t1, g294.t1, g3098.t1, g3660.t1, g4219.t1, g4261.t1, g4586.t1, g4992.t1, g766.t1, g973.t1
OG0000018		g1154.t1, g1669.t1, g1859.t1, g2155.t1, g2198.t1, g2230.t1, g2240.t1, g23.t1, g2314.t1, g2528.t1, g2722.t1, g3319.t1, g3639.t1, g3701.t1, g4176.t1, g4235.t1, g5335.t1, g875.t1
OG0000019		g1159.t1, g125.t1, g126.t1, g1286.t1, g1536.t1, g1542.t1, g1647.t1, g2338.t1, g2861.t1, g3312.t1, g3447.t1, g3829.t1, g4267.t1, g4860.t1, g5000.t1, g5201.t1, g5458.t1, g809.t1
OG0000020		g1318.t1, g1381.t1, g153.t1, g1799.t1, g1943.t1, g2084.t1, g2128.t1, g2426.t1, g2465.t1, g2505.t1, g2954.t1, g3351.t1, g3477.t1, g3976.t1, g479.t1, g4990.t1, g681.t1, g774.t1
OG0000021		g1642.t1, g2121.t1, g235.t1, g2760.t1, g2790.t1, g2992.t1, g3008.t1, g3113.t1, g3289.t1, g3497.t1, g3579.t1, g3658.t1, g4072.t1, g4234.t1, g487.t1, g5153.t1, g5176.t1, g841.t1
OG0000022		g1293.t1, g1675.t1, g2066.t1, g2135.t1, g2569.t1, g271.t1, g2886.t1, g2955.t1, g3227.t1, g3731.t1, g3871.t1, g4214.t1, g4247.t1, g4532.t1, g4805.t1, g4812.t1, g5070.t1, g5385.t1
OG0000023		g1164.t1, g134.t1, g1501.t1, g2074.t1, g2114.t1, g224.t1, g3060.t1, g326.t1, g3669.t1, g4101.t1, g4151.t1, g4715.t1, g4896.t1, g5075.t1, g5193.t1, g801.t1, g880.t1
OG0000024		g1047.t1, g1200.t1, g1481.t1, g1643.t1, g1676.t1, g1920.t1, g2040.t1, g2510.t1, g2872.t1, g2879.t1, g3095.t1, g3918.t1, g3926.t1, g4486.t1, g4513.t1, g474.t1, g480.t1
OG0000025		g1055.t1, g1062.t1, g1136.t1, g1476.t1, g1690.t1, g1800.t1, g2402.t1, g2586.t1, g2958.t1, g3597.t1, g3764.t1, g5047.t1, g5471.t1, g83.t1, g845.t1, g988.t1
OG0000026		g1272.t1, g1273.t1, g1358.t1, g1359.t1, g2245.t1, g2246.t1, g2982.t1, g2983.t1, g317.t1, g4275.t1, g4276.t1, g5171.t1, g5252.t1, g5253.t1, g903.t1, g904.t1
OG0000027		g1275.t1, g1360.t1, g2247.t1, g2923.t1, g2981.t1, g3080.t1, g318.t1, g3545.t1, g3836.t1, g3932.t1, g3939.t1, g4277.t1, g5172.t1, g5178.t1, g5251.t1, g902.t1
OG0000028		g1365.t1, g1413.t1, g1500.t1, g1782.t1, g1783.t1, g2415.t1, g2632.t1, g2957.t1, g3488.t1, g3671.t1, g3843.t1, g3998.t1, g4153.t1, g4898.t1, g541.t1
OG0000029		g1034.t1, g1255.t1, g1649.t1, g1771.t1, g1847.t1, g2046.t1, g2824.t1, g2899.t1, g2948.t1, g3494.t1, g3663.t1, g4412.t1, g5074.t1, g754.t1, g755.t1
OG0000030		g2551.t1, g2553.t1, g2706.t1, g3054.t1, g3463.t1, g3568.t1, g3882.t1, g4413.t1, g4701.t1, g4983.t1, g4999.t1, g5337.t1, g5513.t1, g553.t1
OG0000031		g1319.t1, g1382.t1, g154.t1, g1942.t1, g2085.t1, g2129.t1, g2427.t1, g2504.t1, g3476.t1, g3977.t1, g478.t1, g4989.t1, g682.t1
OG0000032		g1451.t1, g162.t1, g2052.t1, g2531.t1, g2557.t1, g2564.t1, g2565.t1, g3593.t1, g3748.t1, g4289.t1, g433.t1, g4459.t1, g4684.t1
OG0000033		g188.t1, g2334.t1, g2346.t1, g2367.t1, g2391.t1, g3512.t1, g3517.t1, g3582.t1, g3964.t1, g3966.t1, g4013.t1, g5191.t1, g5479.t1
OG0000034		g1640.t1, g2345.t1, g2753.t1, g2974.t1, g2987.t1, g3737.t1, g4228.t1, g424.t1, g4449.t1, g4592.t1, g4848.t1, g5350.t1, g5443.t1
OG0000035		g2898.t1, g3062.t1, g3199.t1, g3337.t1, g3374.t1, g3410.t1, g3536.t1, g3935.t1, g4027.t1, g435.t1, g461.t1, g5145.t1, g5447.t1
OG0000036		g137.t1, g225.t1, g2452.t1, g269.t1, g302.t1, g4055.t1, g4167.t1, g427.t1, g4897.t1, g538.t1, g5415.t1, g909.t1
OG0000037		g1302.t1, g1623.t1, g257.t1, g2883.t1, g2907.t1, g3127.t1, g3407.t1, g3528.t1, g4217.t1, g431.t1, g5255.t1, g956.t1
OG0000038		g1075.t1, g1281.t1, g1427.t1, g2010.t1, g2136.t1, g2755.t1, g3424.t1, g3677.t1, g3974.t1, g4369.t1, g4871.t1, g4875.t1
OG0000039		g1076.t1, g1344.t1, g2139.t1, g2725.t1, g2752.t1, g335.t1, g3423.t1, g37.t1, g406.t1, g863.t1, g945.t1
OG0000040		g1707.t1, g2101.t1, g3033.t1, g3234.t1, g4018.t1, g5275.t1, g5383.t1, g570.t1, g618.t1, g70.t1, g822.t1
OG0000041		g1684.t1, g1828.t1, g2411.t1, g2661.t1, g2750.t1, g2768.t1, g3431.t1, g4627.t1, g466.t1, g5149.t1, g95.t1
OG0000042		g100.t1, g101.t1, g1527.t1, g2412.t1, g266.t1, g2728.t1, g3358.t1, g3556.t1, g5186.t1, g5368.t1, g96.t1
OG0000043		g1028.t1, g1759.t1, g2034.t1, g232.t1, g2592.t1, g2998.t1, g3073.t1, g3523.t1, g3661.t1, g4002.t1, g4877.t1
OG0000044		g1161.t1, g1587.t1, g2253.t1, g2257.t1, g2301.t1, g245.t1, g4175.t1, g4207.t1, g4743.t1, g5336.t1, g823.t1
OG0000045		g1253.t1, g2430.t1, g2532.t1, g2563.t1, g2895.t1, g3592.t1, g3971.t1, g4290.t1, g434.t1, g4683.t1, g5256.t1
OG0000046		g1401.t1, g1405.t1, g1407.t1, g2205.t1, g2278.t1, g3119.t1, g3281.t1, g4393.t1, g5099.t1, g5105.t1, g854.t1
OG0000047		g189.t1, g2335.t1, g2635.t1, g2636.t1, g2637.t1, g2640.t1, g3514.t1, g3518.t1, g3583.t1, g4015.t1
OG0000048		g1031.t1, g2149.t1, g233.t1, g3603.t1, g3667.t1, g3781.t1, g3821.t1, g4425.t1, g5472.t1, g711.t1
OG0000049		g1284.t1, g1505.t1, g2238.t1, g3526.t1, g3937.t1, g428.t1, g4634.t1, g5180.t1, g5243.t1, g5406.t1
OG0000050		g1077.t1, g1914.t1, g1976.t1, g2619.t1, g3434.t1, g4104.t1, g4248.t1, g4619.t1, g485.t1, g490.t1
OG0000051		g1042.t1, g1582.t1, g1585.t1, g1949.t1, g2356.t1, g2835.t1, g3492.t1, g4268.t1, g5411.t1, g542.t1
OG0000052		g1012.t1, g1013.t1, g1781.t1, g1933.t1, g3841.t1, g4296.t1, g4313.t1, g4849.t1, g619.t1, g655.t1
OG0000053		g1838.t1, g1900.t1, g3695.t1, g3860.t1, g4489.t1, g5018.t1, g5041.t1, g5229.t1, g5465.t1, g673.t1
OG0000054		g1409.t1, g3980.t1, g4347.t1, g4348.t1, g4359.t1, g4527.t1, g4835.t1, g4899.t1, g5213.t1, g779.t1
OG0000055		g1219.t1, g1239.t1, g1240.t1, g1995.t1, g2319.t1, g2621.t1, g3286.t1, g5069.t1, g797.t1, g865.t1
OG0000056		g1352.t1, g2759.t1, g2990.t1, g3152.t1, g3794.t1, g4438.t1, g4907.t1, g5081.t1, g5500.t1, g852.t1
OG0000057		g1201.t1, g2125.t1, g2366.t1, g2388.t1, g2396.t1, g2639.t1, g2641.t1, g3513.t1, g4031.t1, g4237.t1
OG0000058		g1370.t1, g2127.t1, g2262.t1, g2353.t1, g2991.t1, g3367.t1, g3402.t1, g4194.t1, g4437.t1, g5319.t1
OG0000059		g1433.t1, g1518.t1, g2069.t1, g2143.t1, g3576.t1, g4262.t1, g4786.t1, g4995.t1, g5071.t1, g5399.t1
OG0000060		g1607.t1, g1804.t1, g2059.t1, g2289.t1, g2734.t1, g3051.t1, g3601.t1, g4623.t1, g4923.t1, g5451.t1
OG0000061		g2140.t1, g3217.t1, g3716.t1, g3718.t1, g3825.t1, g3889.t1, g3927.t1, g71.t1, g714.t1
OG0000062		g1026.t1, g159.t1, g1650.t1, g2043.t1, g240.t1, g3236.t1, g3578.t1, g4239.t1, g4423.t1
OG0000063		g1426.t1, g207.t1, g2633.t1, g2754.t1, g298.t1, g303.t1, g304.t1, g327.t1, g3682.t1
OG0000064		g1377.t1, g1913.t1, g229.t1, g2351.t1, g4156.t1, g4584.t1, g5082.t1, g5403.t1, g543.t1
OG0000065		g2719.t1, g3164.t1, g3812.t1, g402.t1, g403.t1, g4384.t1, g4611.t1, g5310.t1, g693.t1
OG0000066		g1416.t1, g2045.t1, g2949.t1, g4283.t1, g4495.t1, g4847.t1, g4942.t1, g4949.t1, g501.t1
OG0000067		g1025.t1, g1178.t1, g1404.t1, g1406.t1, g2272.t1, g3624.t1, g4912.t1, g5095.t1, g713.t1
OG0000068		g1586.t1, g3184.t1, g3569.t1, g4255.t1, g5179.t1, g5405.t1, g5441.t1, g5494.t1, g826.t1
OG0000069		g1393.t1, g1487.t1, g1960.t1, g3311.t1, g3335.t1, g4021.t1, g4022.t1, g4886.t1, g4960.t1
OG0000070		g1692.t1, g1693.t1, g1805.t1, g2539.t1, g2770.t1, g4106.t1, g79.t1, g80.t1
OG0000071		g110.t1, g1335.t1, g1620.t1, g2305.t1, g2518.t1, g4657.t1, g4706.t1, g5349.t1
OG0000072		g2108.t1, g296.t1, g3153.t1, g3432.t1, g3670.t1, g3870.t1, g4560.t1, g4894.t1
OG0000073		g1432.t1, g3086.t1, g321.t1, g4222.t1, g4863.t1, g5429.t1, g5456.t1, g5457.t1
OG0000074		g2336.t1, g2758.t1, g3110.t1, g3560.t1, g3693.t1, g3949.t1, g446.t1, g4903.t1
OG0000075		g1940.t1, g2442.t1, g2502.t1, g3503.t1, g3862.t1, g4301.t1, g4598.t1, g813.t1
OG0000076		g1144.t1, g1762.t1, g2573.t1, g3868.t1, g4249.t1, g4519.t1, g5087.t1, g816.t1
OG0000077		g1328.t1, g2096.t1, g2115.t1, g2433.t1, g3017.t1, g3739.t1, g3887.t1, g825.t1
OG0000078		g1189.t1, g1802.t1, g2757.t1, g3605.t1, g3950.t1, g4904.t1, g4905.t1, g5279.t1
OG0000079		g1400.t1, g3207.t1, g3403.t1, g4147.t1, g4445.t1, g4745.t1, g5259.t1, g5445.t1
OG0000080		g1776.t1, g1812.t1, g2891.t1, g3077.t1, g3375.t1, g4410.t1, g4434.t1, g5122.t1
OG0000081		g1803.t1, g2118.t1, g2549.t1, g2555.t1, g3570.t1, g4801.t1, g4998.t1, g5512.t1
OG0000082		g2049.t1, g2312.t1, g2761.t1, g3388.t1, g3761.t1, g4869.t1, g4972.t1, g5212.t1
OG0000083		g2062.t1, g2117.t1, g2285.t1, g2618.t1, g4042.t1, g4593.t1, g4876.t1, g5410.t1
OG0000084		g1282.t1, g144.t1, g1504.t1, g2237.t1, g2657.t1, g4252.t1, g861.t1
OG0000085		g251.t1, g2628.t1, g3394.t1, g4272.t1, g4299.t1, g5321.t1, g5323.t1
OG0000086		g1254.t1, g1309.t1, g1794.t1, g1860.t1, g2578.t1, g312.t1, g3365.t1
OG0000087		g1314.t1, g1391.t1, g2302.t1, g320.t1, g3973.t1, g4713.t1, g940.t1
OG0000088		g1104.t1, g1160.t1, g1780.t1, g3318.t1, g340.t1, g4543.t1, g5054.t1
OG0000089		g4127.t1, g459.t1, g5233.t1, g5234.t1, g5235.t1, g5372.t1, g789.t1
OG0000090		g1247.t1, g1287.t1, g2471.t1, g3370.t1, g3970.t1, g460.t1, g889.t1
OG0000091		g1004.t1, g2166.t1, g2169.t1, g4162.t1, g4164.t1, g4740.t1, g506.t1
OG0000092		g2933.t1, g3000.t1, g3130.t1, g4404.t1, g527.t1, g5392.t1, g982.t1
OG0000093		g2717.t1, g3161.t1, g3162.t1, g4610.t1, g4635.t1, g4636.t1, g687.t1
OG0000094		g1398.t1, g1739.t1, g1897.t1, g3166.t1, g4386.t1, g5135.t1, g692.t1
OG0000095		g1087.t1, g1088.t1, g1981.t1, g4953.t1, g4954.t1, g5005.t1, g5006.t1
OG0000096		g1445.t1, g1564.t1, g1654.t1, g2475.t1, g3762.t1, g3997.t1, g4919.t1
OG0000097		g1540.t1, g1622.t1, g1910.t1, g1963.t1, g1964.t1, g2418.t1, g4707.t1
OG0000098		g1700.t1, g1953.t1, g2221.t1, g3585.t1, g4703.t1, g4714.t1, g4753.t1
OG0000099		g1132.t1, g1712.t1, g186.t1, g2373.t1, g31.t1, g937.t1
OG0000100		g139.t1, g146.t1, g1537.t1, g3232.t1, g5188.t1, g5202.t1
OG0000101		g1019.t1, g143.t1, g2570.t1, g3519.t1, g3600.t1, g860.t1
OG0000102		g1479.t1, g180.t1, g3415.t1, g3777.t1, g3779.t1, g417.t1
OG0000103		g190.t1, g196.t1, g197.t1, g2294.t1, g2349.t1, g4012.t1
OG0000104		g1444.t1, g2310.t1, g253.t1, g373.t1, g4767.t1, g4957.t1
OG0000105		g1882.t1, g2199.t1, g2234.t1, g254.t1, g3296.t1, g4542.t1
OG0000106		g2082.t1, g2241.t1, g274.t1, g3455.t1, g3638.t1, g717.t1
OG0000107		g1583.t1, g2073.t1, g299.t1, g301.t1, g3422.t1, g5215.t1
OG0000108		g1001.t1, g1849.t1, g2666.t1, g2826.t1, g341.t1, g3540.t1
OG0000109		g1793.t1, g342.t1, g3633.t1, g3832.t1, g4549.t1, g4551.t1
OG0000110		g2160.t1, g2304.t1, g369.t1, g3782.t1, g4179.t1, g5474.t1
OG0000111		g2358.t1, g2733.t1, g3502.t1, g4071.t1, g451.t1, g4889.t1
OG0000112		g1174.t1, g1993.t1, g2663.t1, g3331.t1, g462.t1, g976.t1
OG0000113		g1032.t1, g1638.t1, g4049.t1, g481.t1, g4924.t1, g5302.t1
OG0000114		g1801.t1, g2652.t1, g2961.t1, g2962.t1, g3007.t1, g517.t1
OG0000115		g1831.t1, g2029.t1, g3946.t1, g4258.t1, g604.t1, g706.t1
OG0000116		g1516.t1, g1595.t1, g2242.t1, g3378.t1, g3641.t1, g753.t1
OG0000117		g3327.t1, g3789.t1, g4644.t1, g4658.t1, g5356.t1, g849.t1
OG0000118		g1248.t1, g2154.t1, g3292.t1, g3479.t1, g4180.t1, g888.t1
OG0000119		g1496.t1, g2514.t1, g2737.t1, g4139.t1, g5341.t1, g968.t1
OG0000120		g2860.t1, g3191.t1, g5284.t1, g5431.t1, g983.t1, g999.t1
OG0000121		g1185.t1, g1349.t1, g3820.t1, g4061.t1, g5351.t1, g5464.t1
OG0000122		g1263.t1, g1904.t1, g2559.t1, g3471.t1, g4226.t1, g5068.t1
OG0000123		g1386.t1, g1934.t1, g2827.t1, g3650.t1, g4297.t1, g4806.t1
OG0000124		g1424.t1, g3538.t1, g4479.t1, g5019.t1, g5117.t1, g5217.t1
OG0000125		g1539.t1, g1621.t1, g1909.t1, g1965.t1, g2417.t1, g4708.t1
OG0000126		g1648.t1, g1760.t1, g3074.t1, g3662.t1, g5287.t1, g5488.t1
OG0000127		g2195.t1, g3557.t1, g4421.t1, g5185.t1, g5412.t1, g5496.t1
OG0000128		g3883.t1, g4493.t1, g4566.t1, g4852.t1, g4967.t1, g5139.t1
OG0000129		g3332.t1, g4433.t1, g468.t1, g5.t1, g846.t1
OG0000130		g2500.t1, g41.t1, g4625.t1, g4711.t1, g699.t1
OG0000131		g3045.t1, g3047.t1, g4143.t1, g4679.t1, g77.t1
OG0000132		g1523.t1, g169.t1, g2996.t1, g357.t1, g4736.t1
OG0000133		g206.t1, g4245.t1, g4424.t1, g4568.t1, g712.t1
OG0000134		g2047.t1, g215.t1, g2946.t1, g3173.t1, g3711.t1
OG0000135		g234.t1, g2670.t1, g3586.t1, g3587.t1, g5365.t1
OG0000136		g1969.t1, g261.t1, g3203.t1, g992.t1, g998.t1
OG0000137		g1559.t1, g278.t1, g4794.t1, g534.t1, g658.t1
OG0000138		g2041.t1, g2508.t1, g322.t1, g4202.t1, g4203.t1
OG0000139		g2997.t1, g332.t1, g3606.t1, g5015.t1, g5208.t1
OG0000140		g1152.t1, g360.t1, g4253.t1, g4418.t1, g5346.t1
OG0000141		g1435.t1, g2107.t1, g449.t1, g483.t1, g5195.t1
OG0000142		g1177.t1, g2846.t1, g450.t1, g5306.t1, g5492.t1
OG0000143		g1203.t1, g3664.t1, g3804.t1, g452.t1, g896.t1
OG0000144		g2478.t1, g458.t1, g4668.t1, g5035.t1, g5036.t1
OG0000145		g1378.t1, g2617.t1, g3285.t1, g3543.t1, g492.t1
OG0000146		g1521.t1, g1950.t1, g2022.t1, g3945.t1, g518.t1
OG0000147		g1570.t1, g1574.t1, g1884.t1, g4215.t1, g531.t1
