;Orthogroup;Bacteria;Gene;index;query_id;subject_id;pct_identity;aln_length;n_of_mismatches;gap_openings;q_start;q_end;s_start;s_end;e_value;bit_score;gb_accession;description
28;OG0000209;Acinetobacter_baumannii;g273.t1;0;g273.t1;VFG041111(gb|NP_459285);100.0;138;0;0;1;138;1;138;1.7900000000000001e-103;291.0;NP_459285;putative periplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
29;OG0000211;Acinetobacter_baumannii;g313.t1;14;g313.t1;VFG004240(gb|NP_459332);100.0;441;0;0;1;441;1;441;0.0;902.0;NP_459332;"putative fimbriae; usher [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]"
30;OG0000219;Acinetobacter_baumannii;g493.t1;1;g493.t1;VFG049124(gb|WP_012737540);82.235;349;62;0;1;349;1;349;0.0;609.0;WP_012737540;MULTISPECIES: ureidoglycolate dehydrogenase [Klebsiella]
31;OG0000283;Acinetobacter_baumannii;g315.t1;1451;g315.t1;VFG004250(gb|NP_459334);99.515;206;1;0;1;206;48;253;8.499999999999999e-152;421.0;NP_459334;"putative fimbriae; chaparone [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]"
32;OG0000284;Acinetobacter_baumannii;g42.t1;0;g42.t1;VFG008286(gb|WP_010907492);100.0;481;0;0;1;481;1;481;0.0;964.0;WP_010907492;type VII secretion protein EccB [Mycobacterium leprae]
33;OG0000288;Acinetobacter_baumannii;g84.t1;0;g84.t1;VFG002065(gb|NP_248769);100.0;444;0;0;1;444;1;444;0.0;892.0;NP_248769;hypothetical protein PA0079 [Pseudomonas aeruginosa PAO1]
34;OG0000297;Acinetobacter_baumannii;g170.t1;1142;g170.t1;VFG004372(gb|NP_459180);100.0;848;0;0;1;848;1;848;0.0;1749.0;NP_459180;putative fimbrial usher [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
35;OG0000298;Acinetobacter_baumannii;g171.t1;421;g171.t1;VFG004374(gb|NP_459181);100.0;227;0;0;1;227;1;227;7.879999999999999e-172;471.0;NP_459181;putative fimbrial chaparone [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
36;OG0000306;Acinetobacter_baumannii;g246.t1;22;g246.t1;VFG017693(gb|WP_015356917);80.556;324;63;0;1;324;31;354;0.0;533.0;WP_015356917;MULTISPECIES: alpha/beta hydrolase [Mycobacterium ulcerans group]
37;OG0000307;Acinetobacter_baumannii;g264.t1;0;g264.t1;VFG041099(gb|NP_459273);99.091;110;1;0;39;148;1;110;2.81e-79;229.0;NP_459273;putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
38;OG0000308;Acinetobacter_baumannii;g275.t1;1323;g275.t1;VFG041113(gb|NP_459287);100.0;729;0;0;1;729;1;729;0.0;1514.0;NP_459287;putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
39;OG0000309;Acinetobacter_baumannii;g276.t1;0;g276.t1;VFG041114(gb|NP_459288);100.0;148;0;0;1;148;1;148;2.0900000000000002e-110;309.0;NP_459288;putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
40;OG0000311;Acinetobacter_baumannii;g295.t1;4;g295.t1;VFG008662(gb|YP_007960193);100.0;203;0;0;1;203;1;203;2.67e-149;416.0;YP_007960193;hypothetical protein J113_02165 [Mycobacterium tuberculosis CAS/NITR204]
41;OG0000315;Acinetobacter_baumannii;g332.t1;0;g332.t1;VFG029483(gb|NP_214848);100.0;288;0;0;1;288;1;288;0.0;585.0;NP_214848;glucose-1-phosphate thymidylyltransferase [Mycobacterium tuberculosis H37Rv]
42;OG0000323;Acinetobacter_baumannii;g442.t1;104;g442.t1;VFG049133(gb|WP_004177236);85.279;394;57;1;1;394;1;393;0.0;667.0;WP_004177236;MULTISPECIES: multidrug efflux RND transporter periplasmic adaptor subunit AcrA [Klebsiella]
43;OG0000326;Acinetobacter_baumannii;g486.t1;1098;g486.t1;VFG031722(gb|NP_215005);100.0;227;0;0;1;227;1;227;3.3300000000000005e-163;449.0;NP_215005;two component sensory transduction protein RegX [Mycobacterium tuberculosis H37Rv]
44;OG0000430;Acinetobacter_baumannii;g105.t1;0;g105.t1;VFG007979(gb|WP_010907546);100.0;229;0;0;1;229;1;229;3.4499999999999997e-175;479.0;WP_010907546;rhamnosyl O-methyltransferase [Mycobacterium leprae]
45;OG0000434;Acinetobacter_baumannii;g22.t1;890;g22.t1;VFG004155(gb|NP_459028);100.0;867;0;0;1;867;7;873;0.0;1782.0;NP_459028;fimbrial usher [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
46;OG0000435;Acinetobacter_baumannii;g26.t1;0;g26.t1;VFG015856(gb|NP_248716);100.0;328;0;0;1;328;1;328;0.0;681.0;NP_248716;phospholipase C [Pseudomonas aeruginosa PAO1]
47;OG0000436;Acinetobacter_baumannii;g27.t1;0;g27.t1;VFG042608(gb|NP_459033);100.0;281;0;0;1;281;1;281;0.0;579.0;NP_459033;putative thiol-disulfide isomerase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
48;OG0000437;Acinetobacter_baumannii;g40.t1;0;g40.t1;VFG008310(gb|WP_010907490);100.0;597;0;0;1;597;1;597;0.0;1220.0;WP_010907490;type VII secretion protein EccCb [Mycobacterium leprae]
49;OG0000445;Acinetobacter_baumannii;g75.t1;0;g75.t1;VFG041010(gb|NP_248760);100.0;304;0;0;1;304;1;304;0.0;615.0;NP_248760;hypothetical protein PA0070 [Pseudomonas aeruginosa PAO1]
50;OG0000446;Acinetobacter_baumannii;g78.t1;369;g78.t1;VFG002059(gb|NP_248763);100.0;239;0;0;1;239;1;239;2.81e-167;461.0;NP_248763;ABC transporter ATP-binding protein [Pseudomonas aeruginosa PAO1]
51;OG0000447;Acinetobacter_baumannii;g91.t1;0;g91.t1;VFG002072(gb|NP_248776);100.0;261;0;0;1;261;21;281;0.0;516.0;NP_248776;hypothetical protein PA0086 [Pseudomonas aeruginosa PAO1]
52;OG0000448;Acinetobacter_baumannii;g92.t1;0;g92.t1;VFG002073(gb|NP_248777);100.0;169;0;0;1;169;1;169;1.84e-120;336.0;NP_248777;hypothetical protein PA0087 [Pseudomonas aeruginosa PAO1]
53;OG0000449;Acinetobacter_baumannii;g96.t1;0;g96.t1;VFG002077(gb|NP_248781);100.0;643;0;0;4;646;1;643;0.0;1330.0;NP_248781;type VI secretion system protein VgrG [Pseudomonas aeruginosa PAO1]
54;OG0000451;Acinetobacter_baumannii;g98.t1;0;g98.t1;VFG051485(gb|NP_248783.1);100.0;430;0;0;1;430;1;430;0.0;868.0;NP_248783.1;hypothetical protein PA0093 [Pseudomonas aeruginosa PAO1]
55;OG0000453;Acinetobacter_baumannii;g104.t1;0;g104.t1;VFG050294(gb|NP_248789);100.0;386;0;0;1;386;1;386;0.0;801.0;NP_248789;hypothetical protein PA0099 [Pseudomonas aeruginosa PAO1]
56;OG0000454;Acinetobacter_baumannii;g106.t1;0;g106.t1;VFG024808(gb|WP_010907548);100.0;418;0;0;1;418;1;418;0.0;849.0;WP_010907548;trans-acting enoyl reductase family protein [Mycobacterium leprae]
57;OG0000455;Acinetobacter_baumannii;g107.t1;0;g107.t1;VFG007971(gb|WP_010907549);100.0;241;0;0;1;241;30;270;0.0;502.0;WP_010907549;phthiotriol/phenolphthiotriol dimycocerosates methyltransferase [Mycobacterium leprae]
58;OG0000456;Acinetobacter_baumannii;g109.t1;288;g109.t1;VFG024774(gb|WP_010907551);100.0;582;0;0;38;619;1;582;0.0;1195.0;WP_010907551;AMP-binding protein [Mycobacterium leprae]
59;OG0000457;Acinetobacter_baumannii;g110.t1;0;g110.t1;VFG024746(gb|WP_010907553);100.0;707;0;0;1;707;1;707;0.0;1432.0;WP_010907553;p-hydroxybenzoic acid--AMP ligase FadD22 [Mycobacterium leprae]
60;OG0000458;Acinetobacter_baumannii;g114.t1;643;g114.t1;VFG007821(gb|WP_010907557);100.0;579;0;0;1;579;1;579;0.0;1189.0;WP_010907557;fatty-acid--AMP ligase FAAL28/FadD28 [Mycobacterium leprae]
61;OG0000461;Acinetobacter_baumannii;g128.t1;216;g128.t1;VFG001811(gb|YP_177694);100.0;340;0;0;1;340;1;340;0.0;692.0;YP_177694;diacylglycerol acyltransferase/mycolyltransferase Ag85C [Mycobacterium tuberculosis H37Rv]
62;OG0000466;Acinetobacter_baumannii;g142.t1;0;g142.t1;VFG009876(gb|WP_010907576);100.0;495;0;0;1;495;25;519;0.0;991.0;WP_010907576;HAMP domain-containing sensor histidine kinase [Mycobacterium leprae]
63;OG0000470;Acinetobacter_baumannii;g173.t1;0;g173.t1;VFG009967(gb|NP_214686);100.0;530;0;0;1;530;1;530;0.0;1065.0;NP_214686;Mce family protein Mce1D [Mycobacterium tuberculosis H37Rv]
64;OG0000471;Acinetobacter_baumannii;g175.t1;0;g175.t1;VFG009987(gb|NP_214688);100.0;515;0;0;1;515;1;515;0.0;1034.0;NP_214688;Mce family protein Mce1F [Mycobacterium tuberculosis H37Rv]
65;OG0000474;Acinetobacter_baumannii;g185.t1;0;g185.t1;VFG009299(gb|WP_010907614);100.0;313;0;0;1;313;1;313;0.0;630.0;WP_010907614;pantoate--beta-alanine ligase [Mycobacterium leprae]
66;OG0000475;Acinetobacter_baumannii;g187.t1;0;g187.t1;VFG008123(gb|WP_003419517);89.919;248;23;1;1;248;27;272;9.05e-149;416.0;WP_003419517;MULTISPECIES: type III pantothenate kinase [Mycobacterium]
67;OG0000478;Acinetobacter_baumannii;g191.t1;1394;g191.t1;VFG004322(gb|NP_459201);100.0;885;0;0;1;885;1;885;0.0;1822.0;NP_459201;putative fimbrial outer membrane usher [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
68;OG0000479;Acinetobacter_baumannii;g192.t1;635;g192.t1;VFG004325(gb|NP_459202);100.0;250;0;0;1;250;1;250;0.0;514.0;NP_459202;putative periplasmic fimbrial chaperone [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
69;OG0000480;Acinetobacter_baumannii;g193.t1;111;g193.t1;VFG004328(gb|NP_459203);100.0;170;0;0;1;170;1;170;5.6600000000000003e-123;343.0;NP_459203;putative minor fimbrial subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
70;OG0000481;Acinetobacter_baumannii;g195.t1;1034;g195.t1;VFG004334(gb|NP_459205);100.0;176;0;0;1;176;1;176;5.959999999999999e-128;356.0;NP_459205;putative minor fimbrial subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
71;OG0000484;Acinetobacter_baumannii;g203.t1;254;g203.t1;VFG031296(gb|NP_214716);100.0;965;0;0;1;965;2;966;0.0;1929.0;NP_214716;transmembrane transport protein MmpL11 [Mycobacterium tuberculosis H37Rv]
72;OG0000485;Acinetobacter_baumannii;g204.t1;0;g204.t1;VFG031191(gb|NP_214717);100.0;136;0;0;1;136;1;136;2.79e-95;270.0;NP_214717;hypothetical protein Rv0203 [Mycobacterium tuberculosis H37Rv]
73;OG0000486;Acinetobacter_baumannii;g206.t1;0;g206.t1;VFG044071(gb|NP_214719);100.0;337;0;0;1;337;31;367;0.0;643.0;NP_214719;transmembrane protein [Mycobacterium tuberculosis H37Rv]
74;OG0000497;Acinetobacter_baumannii;g238.t1;0;g238.t1;VFG052256(gb|NP_214750.1);100.0;1400;0;0;1;1400;1;1400;0.0;2716.0;NP_214750.1;alpha-(1->3)-arabinofuranosyltransferase [Mycobacterium tuberculosis H37Rv]
75;OG0000498;Acinetobacter_baumannii;g247.t1;188;g247.t1;VFG029761(gb|NP_214758);100.0;611;0;0;1;611;1;611;0.0;1248.0;NP_214758;acyl-CoA dehydrogenase FadE5 [Mycobacterium tuberculosis H37Rv]
76;OG0000499;Acinetobacter_baumannii;g257.t1;255;g257.t1;VFG041092(gb|NP_459265);100.0;627;0;0;1;627;1;627;0.0;1283.0;NP_459265;putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
77;OG0000500;Acinetobacter_baumannii;g268.t1;203;g268.t1;VFG041105(gb|NP_459279);100.0;447;0;0;1;447;1;447;0.0;914.0;NP_459279;putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
78;OG0000501;Acinetobacter_baumannii;g270.t1;0;g270.t1;VFG041108(gb|NP_459282);100.0;118;0;0;1;118;26;143;2.54e-80;232.0;NP_459282;putative shiga-like toxin A subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
79;OG0000502;Acinetobacter_baumannii;g274.t1;0;g274.t1;VFG041112(gb|NP_459286);100.0;172;0;0;1;172;2;173;3.68e-129;358.0;NP_459286;putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
80;OG0000505;Acinetobacter_baumannii;g285.t1;0;g285.t1;VFG022066(gb|YP_177710);100.0;102;0;0;1;102;1;102;1.8e-62;184.0;YP_177710;PE family protein PE5 [Mycobacterium tuberculosis H37Rv]
81;OG0000509;Acinetobacter_baumannii;g312.t1;1241;g312.t1;VFG004235(gb|NP_459331);100.0;252;0;0;1;252;1;252;0.0;509.0;NP_459331;"putative fimbriae; chaparone [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]"
82;OG0000510;Acinetobacter_baumannii;g316.t1;1099;g316.t1;VFG004255(gb|NP_459335);100.0;178;0;0;1;178;1;178;8.089999999999999e-128;356.0;NP_459335;"putative fimbriae; major subunit [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]"
83;OG0000520;Acinetobacter_baumannii;g342.t1;0;g342.t1;VFG036001(gb|WP_000556535);85.656;983;121;5;1;978;1;968;0.0;1603.0;WP_000556535;autotransporter outer membrane beta-barrel domain-containing protein [Escherichia coli]
84;OG0000523;Acinetobacter_baumannii;g350.t1;0;g350.t1;VFG001379(gb|NP_214867);100.0;126;0;0;1;126;1;126;5.05e-89;253.0;NP_214867;heat shock protein transcriptional repressor HspR [Mycobacterium tuberculosis H37Rv]
85;OG0000533;Acinetobacter_baumannii;g377.t1;2;g377.t1;VFG037561(gb|YP_001085247);100.0;129;0;0;50;178;1;129;2.77e-91;261.0;YP_001085247;protein CsuA/B [Acinetobacter baumannii ATCC 17978]
86;OG0000540;Acinetobacter_baumannii;g402.t1;0;g402.t1;VFG001223(gb|NP_249086);100.0;344;0;0;1;344;1;344;0.0;703.0;NP_249086;twitching motility protein PilT [Pseudomonas aeruginosa PAO1]
87;OG0000541;Acinetobacter_baumannii;g403.t1;246;g403.t1;VFG001224(gb|NP_249087);100.0;382;0;0;1;382;1;382;0.0;790.0;NP_249087;twitching motility protein PilU [Pseudomonas aeruginosa PAO1]
88;OG0000545;Acinetobacter_baumannii;g415.t1;1199;g415.t1;VFG001225(gb|NP_249099);100.0;135;0;0;1;135;1;135;2.06e-97;275.0;NP_249099;pilus biosynthesis/twitching motility protein PilG [Pseudomonas aeruginosa PAO1]
89;OG0000546;Acinetobacter_baumannii;g417.t1;26;g417.t1;VFG001227(gb|NP_249101);100.0;178;0;0;1;178;1;178;4.7700000000000003e-129;359.0;NP_249101;twitching motility protein PilI [Pseudomonas aeruginosa PAO1]
90;OG0000547;Acinetobacter_baumannii;g418.t1;105;g418.t1;VFG001228(gb|NP_249102);100.0;682;0;0;1;682;1;682;0.0;1355.0;NP_249102;twitching motility protein PilJ [Pseudomonas aeruginosa PAO1]
91;OG0000548;Acinetobacter_baumannii;g421.t1;109;g421.t1;VFG001232(gb|NP_249105);100.0;343;0;0;1;343;1;343;0.0;696.0;NP_249105;methylesterase [Pseudomonas aeruginosa PAO1]
92;OG0000549;Acinetobacter_baumannii;g423.t1;0;g423.t1;VFG001234(gb|NP_249107);100.0;264;0;0;1;264;1;264;0.0;520.0;NP_249107;transcriptional regulator [Pseudomonas aeruginosa PAO1]
93;OG0000550;Acinetobacter_baumannii;g424.t1;0;g424.t1;VFG001235(gb|NP_249108);100.0;203;0;0;1;203;1;203;3.88e-141;391.0;NP_249108;chemotactic transduction protein ChpE [Pseudomonas aeruginosa PAO1]
94;OG0000553;Acinetobacter_baumannii;g446.t1;13;g446.t1;VFG029383(gb|NP_214965);100.0;138;0;0;1;138;3;140;1.77e-101;286.0;NP_214965;membrane protein MmpS4 [Mycobacterium tuberculosis H37Rv]
95;OG0000562;Acinetobacter_baumannii;g463.t1;0;g463.t1;VFG017683(gb|YP_005921788);100.0;261;0;0;26;286;484;744;0.0;522.0;YP_005921788;isocitrate lyase [Mycobacterium tuberculosis RGTB423]
96;OG0000565;Acinetobacter_baumannii;g485.t1;0;g485.t1;VFG031669(gb|NP_215004);100.0;410;0;0;1;410;1;410;0.0;817.0;NP_215004;two component sensor histidine kinase SenX3 [Mycobacterium tuberculosis H37Rv]
97;OG0000567;Acinetobacter_baumannii;g488.t1;5;g488.t1;VFG049120(gb|WP_012737535);93.377;453;30;0;1;453;1;453;0.0;886.0;WP_012737535;MULTISPECIES: allantoinase AllB [Klebsiella]
98;OG0000574;Acinetobacter_baumannii;g515.t1;0;g515.t1;VFG000450(gb|NP_459545);100.0;240;0;0;1;240;1;240;2.71e-178;488.0;NP_459545;putative regulatory protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
99;OG0000744;Acinetobacter_baumannii;g31.t1;0;g31.t1;VFG023182(gb|WP_012634407);100.0;457;0;0;1;457;11;467;0.0;933.0;WP_012634407;type VII secretion protein EccE [Mycobacterium leprae]
100;OG0000747;Acinetobacter_baumannii;g69.t1;0;g69.t1;VFG007707(gb|WP_010907514);100.0;236;0;0;1;236;1;236;1.32e-167;461.0;WP_010907514;hypothetical protein [Mycobacterium leprae]
101;OG0000748;Acinetobacter_baumannii;g82.t1;3;g82.t1;VFG002063(gb|NP_248767);100.0;1101;0;0;76;1176;1;1101;0.0;2217.0;NP_248767;type VI secretion protein IcmF [Pseudomonas aeruginosa PAO1]
102;OG0000749;Acinetobacter_baumannii;g83.t1;0;g83.t1;VFG002064(gb|NP_248768);100.0;449;0;0;1;449;1;449;0.0;903.0;NP_248768;hypothetical protein PA0078 [Pseudomonas aeruginosa PAO1]
103;OG0000756;Acinetobacter_baumannii;g169.t1;58;g169.t1;VFG004370(gb|NP_459179);100.0;359;0;0;1;359;1;359;0.0;743.0;NP_459179;putative fimbriae [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
104;OG0000759;Acinetobacter_baumannii;g186.t1;0;g186.t1;VFG009314(gb|WP_010907615);100.0;142;0;0;1;142;1;142;1.66e-100;284.0;WP_010907615;aspartate 1-decarboxylase [Mycobacterium leprae]
105;OG0000760;Acinetobacter_baumannii;g199.t1;4;g199.t1;VFG031080(gb|YP_005921561);100.0;646;0;0;1;646;1;646;0.0;1316.0;YP_005921561;zinc metalloprotease [Mycobacterium tuberculosis RGTB423]
106;OG0000761;Acinetobacter_baumannii;g208.t1;0;g208.t1;VFG044072(gb|NP_214721);100.0;242;0;0;3;244;1;242;3.69e-173;476.0;NP_214721;hypothetical protein Rv0207c [Mycobacterium tuberculosis H37Rv]
107;OG0000764;Acinetobacter_baumannii;g249.t1;16;g249.t1;VFG043550(gb|NP_214954);95.636;527;23;0;1;527;1;527;0.0;976.0;NP_214954;molecular chaperone GroEL [Mycobacterium tuberculosis H37Rv]
108;OG0000766;Acinetobacter_baumannii;g255.t1;130;g255.t1;VFG041090(gb|NP_459263);100.0;351;0;0;1;351;1;351;0.0;687.0;NP_459263;putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
109;OG0000767;Acinetobacter_baumannii;g263.t1;216;g263.t1;VFG041098(gb|NP_459271);100.0;502;0;0;1;502;1;502;0.0;1052.0;NP_459271;putative cytoplasmic protein [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
110;OG0000778;Acinetobacter_baumannii;g405.t1;44;g405.t1;VFG008228(gb|NP_214924);100.0;750;0;0;1;750;1;750;0.0;1523.0;NP_214924;serine/threonine-protein kinase PknG [Mycobacterium tuberculosis H37Rv]
111;OG0000780;Acinetobacter_baumannii;g408.t1;0;g408.t1;VFG030054(gb|WP_010907795);100.0;238;0;0;4;241;1;238;2.24e-175;481.0;WP_010907795;LppX_LprAFG lipoprotein [Mycobacterium leprae]
112;OG0000781;Acinetobacter_baumannii;g416.t1;1439;g416.t1;VFG001226(gb|NP_249100);100.0;121;0;0;1;121;1;121;3.11e-86;246.0;NP_249100;twitching motility protein PilH [Pseudomonas aeruginosa PAO1]
113;OG0000782;Acinetobacter_baumannii;g462.t1;110;g462.t1;VFG001381(gb|YP_177728);100.0;428;0;0;1;428;1;428;0.0;888.0;YP_177728;isocitrate lyase [Mycobacterium tuberculosis H37Rv]
114;OG0000784;Acinetobacter_baumannii;g465.t1;364;g465.t1;VFG001382(gb|YP_177730);100.0;287;0;0;1;287;1;287;0.0;601.0;YP_177730;cyclopropane mycolic acid synthase [Mycobacterium tuberculosis H37Rv]
