Orthogroup	Acinetobacter_baumannii	Salmonella_enterica
OG0001349		g1119.t1
OG0001350		g1124.t1
OG0001351		g1125.t1
OG0001352		g1126.t1
OG0001353		g1127.t1
OG0001354		g1129.t1
OG0001355		g1140.t1
OG0001356		g1145.t1
OG0001357		g1146.t1
OG0001358		g1147.t1
OG0001359		g1151.t1
OG0001360		g1154.t1
OG0001361		g1157.t1
OG0001362		g1160.t1
OG0001363		g1162.t1
OG0001364		g1164.t1
OG0001365		g1171.t1
OG0001366		g1172.t1
OG0001367		g1173.t1
OG0001368		g1175.t1
OG0001369		g1176.t1
OG0001370		g1179.t1
OG0001371		g1180.t1
OG0001372		g1182.t1
OG0001373		g1183.t1
OG0001374		g1184.t1
OG0001375		g1185.t1
OG0001376		g1187.t1
OG0001377		g1188.t1
OG0001378		g1189.t1
OG0001379		g1191.t1
OG0001380		g1192.t1
OG0001381		g1193.t1
OG0001382		g1196.t1
OG0001383		g1198.t1
OG0001384		g1199.t1
OG0001385		g1200.t1
OG0001386		g1203.t1
OG0001387		g1204.t1
OG0001388		g1207.t1
OG0001389		g1209.t1
OG0001390		g1211.t1
OG0001391		g1214.t1
OG0001392		g1217.t1
OG0001393		g1218.t1
OG0001394		g1219.t1
OG0001395		g1220.t1
OG0001396		g1221.t1
OG0001397		g1224.t1
OG0001398		g1225.t1
OG0001399		g1226.t1
OG0001400		g1228.t1
OG0001401		g1230.t1
OG0001402		g1231.t1
OG0001403		g1232.t1
OG0001404		g1234.t1
OG0001405		g1235.t1
OG0001406		g1236.t1
OG0001407		g1238.t1
OG0001408		g1239.t1
OG0001409		g1243.t1
OG0001410		g1245.t1
OG0001411		g1249.t1
OG0001412		g1250.t1
OG0001413		g1252.t1
OG0001414		g1262.t1
OG0001415		g1266.t1
OG0001416		g1269.t1
OG0001417		g1282.t1
OG0001418		g1286.t1
OG0001419		g1290.t1
OG0001420		g1291.t1
OG0001421		g1295.t1
OG0001422		g1297.t1
OG0001423		g1298.t1
OG0001424		g1299.t1
OG0001425		g1300.t1
OG0001426		g1301.t1
OG0001427		g1302.t1
OG0001428		g1303.t1
OG0001429		g1305.t1
OG0001430		g1306.t1
OG0001431		g1307.t1
OG0001432		g1308.t1
OG0001433		g1309.t1
OG0001434		g1311.t1
OG0001435		g1312.t1
OG0001436		g1313.t1
OG0001437		g1316.t1
OG0001438		g1317.t1
OG0001439		g1323.t1
OG0001440		g1328.t1
OG0001441		g1332.t1
OG0001442		g1333.t1
OG0001443		g1342.t1
OG0001444		g1343.t1
OG0001445		g1344.t1
OG0001446		g1351.t1
OG0001447		g1352.t1
OG0001448		g1356.t1
OG0001449		g1359.t1
OG0001450		g1361.t1
OG0001451		g1362.t1
OG0001452		g1365.t1
OG0001453		g1370.t1
OG0001454		g1378.t1
OG0001455		g1379.t1
OG0001456		g1394.t1
OG0001457		g1395.t1
OG0001458		g1397.t1
OG0001459		g1398.t1
OG0001460		g1402.t1
OG0001461		g1404.t1
OG0001462		g1413.t1
OG0001463		g1420.t1
OG0001464		g1421.t1
OG0001465		g1422.t1
OG0001466		g1425.t1
OG0001467		g1433.t1
OG0001468		g1437.t1
OG0001469		g1440.t1
OG0001470		g1442.t1
OG0001471		g1443.t1
OG0001472		g1444.t1
OG0001473		g1445.t1
OG0001474		g1447.t1
OG0001475		g1448.t1
OG0001476		g1449.t1
OG0001477		g1451.t1
OG0001478		g1456.t1
OG0001479		g1457.t1
OG0001480		g1459.t1
OG0001481		g1460.t1
OG0001482		g1467.t1
OG0001483		g1469.t1
OG0001484		g1471.t1
OG0001485		g1477.t1
OG0001486		g1478.t1
OG0001487		g1479.t1
OG0001488		g1482.t1
OG0001489		g1486.t1
OG0001490		g1487.t1
OG0001491		g1488.t1
OG0001492		g1489.t1
OG0001493		g1490.t1
OG0001494		g1491.t1
OG0001495		g1494.t1
OG0001496		g1495.t1
OG0001497		g1498.t1
OG0001498		g1499.t1
OG0001499		g1500.t1
OG0001500		g1501.t1
OG0001501		g1502.t1
OG0001502		g1504.t1
OG0001503		g1507.t1
OG0001504		g1511.t1
OG0001505		g1515.t1
OG0001506		g1516.t1
OG0001507		g1522.t1
OG0001508		g1527.t1
OG0001509		g1528.t1
OG0001510		g1529.t1
OG0001511		g1534.t1
OG0001512		g1535.t1
OG0001513		g1536.t1
OG0001514		g1538.t1
OG0001515		g1539.t1
OG0001516		g1543.t1
OG0001517		g1551.t1
OG0001518		g1554.t1
OG0001519		g1555.t1
OG0001520		g1558.t1
OG0001521		g1559.t1
OG0001522		g1565.t1
OG0001523		g1567.t1
OG0001524		g1571.t1
OG0001525		g1572.t1
OG0001526		g1573.t1
OG0001527		g1574.t1
OG0001528		g1575.t1
OG0001529		g1576.t1
OG0001530		g1577.t1
OG0001531		g1584.t1
OG0001532		g1585.t1
OG0001533		g1587.t1
OG0001534		g1590.t1
OG0001535		g1592.t1
OG0001536		g1593.t1
OG0001537		g1594.t1
OG0001538		g1595.t1
OG0001539		g1596.t1
OG0001540		g1598.t1
OG0001541		g1600.t1
OG0001542		g1603.t1
OG0001543		g1606.t1
OG0001544		g1609.t1
OG0001545		g1612.t1
OG0001546		g1616.t1
OG0001547		g1617.t1
OG0001548		g1618.t1
OG0001549		g1619.t1
OG0001550		g1620.t1
OG0001551		g1621.t1
OG0001552		g1622.t1
OG0001553		g1623.t1
OG0001554		g1624.t1
OG0001555		g1625.t1
OG0001556		g1627.t1
OG0001557		g1628.t1
OG0001558		g1636.t1
OG0001559		g1640.t1
OG0001560		g1652.t1
OG0001561		g1653.t1
OG0001562		g1654.t1
OG0001563		g1655.t1
OG0001564		g1656.t1
OG0001565		g1657.t1
OG0001566		g1660.t1
OG0001567		g1661.t1
OG0001568		g1664.t1
OG0001569		g1665.t1
OG0001570		g1666.t1
OG0001571		g1668.t1
OG0001572		g1677.t1
OG0001573		g1681.t1
OG0001574		g1683.t1
OG0001575		g1684.t1
OG0001576		g1686.t1
OG0001577		g1687.t1
OG0001578		g1692.t1
OG0001579		g1693.t1
OG0001580		g1694.t1
OG0001581		g1696.t1
OG0001582		g1697.t1
OG0001583		g1699.t1
OG0001584		g1700.t1
OG0001585		g1702.t1
OG0001586		g1705.t1
OG0001587		g1706.t1
OG0001588		g1715.t1
OG0001589		g1716.t1
OG0001590		g1720.t1
OG0001591		g1721.t1
OG0001592		g1722.t1
OG0001593		g1727.t1
OG0001594		g1728.t1
OG0001595		g1732.t1
OG0001596		g1733.t1
OG0001597		g1735.t1
OG0001598		g1736.t1
OG0001599		g1737.t1
OG0001600		g1739.t1
OG0001601		g1740.t1
OG0001602		g1741.t1
OG0001603		g1743.t1
OG0001604		g1744.t1
OG0001605		g1745.t1
OG0001606		g1748.t1
OG0001607		g1752.t1
OG0001608		g1753.t1
OG0001609		g1754.t1
OG0001610		g1755.t1
OG0001611		g1756.t1
OG0001612		g1758.t1
OG0001613		g1759.t1
OG0001614		g1760.t1
OG0001615		g1761.t1
OG0001616		g1765.t1
OG0001617		g1775.t1
OG0001618		g1776.t1
OG0001619		g1777.t1
OG0001620		g1782.t1
OG0001621		g1783.t1
OG0001622		g1784.t1
OG0001623		g1785.t1
OG0001624		g1786.t1
OG0001625		g1787.t1
OG0001626		g1790.t1
OG0001627		g1791.t1
OG0001628		g1794.t1
OG0001629		g1797.t1
OG0001630		g1802.t1
OG0001631		g1803.t1
OG0001632		g1804.t1
OG0001633		g1806.t1
OG0001634		g1807.t1
OG0001635		g1810.t1
OG0001636		g1811.t1
OG0001637		g1813.t1
OG0001638		g1816.t1
OG0001639		g1817.t1
OG0001640		g1818.t1
OG0001641		g1821.t1
OG0001642		g1825.t1
OG0001643		g1827.t1
OG0001644		g1829.t1
OG0001645		g1831.t1
OG0001646		g1832.t1
OG0001647		g1833.t1
OG0001648		g1835.t1
OG0001649		g1836.t1
OG0001650		g1838.t1
OG0001651		g1839.t1
OG0001652		g1840.t1
OG0001653		g1841.t1
OG0001654		g1843.t1
OG0001655		g1844.t1
OG0001656		g1845.t1
OG0001657		g1846.t1
OG0001658		g1848.t1
OG0001659		g1853.t1
OG0001660		g1854.t1
OG0001661		g1855.t1
OG0001662		g1857.t1
OG0001663		g1858.t1
OG0001664		g1860.t1
OG0001665		g1861.t1
OG0001666		g1862.t1
OG0001667		g1863.t1
OG0001668		g1864.t1
OG0001669		g1869.t1
OG0001670		g1870.t1
OG0001671		g1873.t1
OG0001672		g1875.t1
OG0001673		g1881.t1
OG0001674		g1882.t1
OG0001675		g1885.t1
OG0001676		g1886.t1
OG0001677		g1887.t1
OG0001678		g1888.t1
OG0001679		g1889.t1
OG0001680		g1890.t1
OG0001681		g1892.t1
OG0001682		g1895.t1
OG0001683		g1896.t1
OG0001684		g1897.t1
OG0001685		g1898.t1
OG0001686		g1899.t1
OG0001687		g1904.t1
OG0001688		g1906.t1
OG0001689		g1911.t1
OG0001690		g1912.t1
OG0001691		g1914.t1
OG0001692		g1922.t1
OG0001693		g1923.t1
OG0001694		g1924.t1
OG0001695		g1925.t1
OG0001696		g1927.t1
OG0001697		g1930.t1
OG0001698		g1931.t1
OG0001699		g1934.t1
OG0001700		g1935.t1
OG0001701		g1939.t1
OG0001702		g1942.t1
OG0001703		g1949.t1
OG0001704		g1950.t1
OG0001705		g1955.t1
OG0001706		g1957.t1
OG0001707		g1960.t1
OG0001708		g1962.t1
OG0001709		g1963.t1
OG0001710		g1965.t1
OG0001711		g1968.t1
OG0001712		g1972.t1
OG0001713		g1973.t1
OG0001714		g1978.t1
OG0001715		g1979.t1
OG0001716		g1981.t1
OG0001717		g1982.t1
OG0001718		g1985.t1
OG0001719		g1993.t1
OG0001720		g1994.t1
OG0001721		g1995.t1
OG0001722		g1997.t1
OG0001723		g1998.t1
OG0001724		g1999.t1
OG0001725		g2004.t1
OG0001726		g2005.t1
OG0001727		g2006.t1
OG0001728		g2007.t1
OG0001729		g2010.t1
OG0001730		g2011.t1
OG0001731		g2016.t1
OG0001732		g2018.t1
OG0001733		g2020.t1
OG0001734		g2026.t1
OG0001735		g2028.t1
OG0001736		g2036.t1
OG0001737		g2041.t1
OG0001738		g2043.t1
OG0001739		g2050.t1
OG0001740		g2051.t1
OG0001741		g2052.t1
OG0001742		g2053.t1
OG0001743		g2060.t1
OG0001744		g2061.t1
OG0001745		g2065.t1
OG0001746		g2066.t1
OG0001747		g2068.t1
OG0001748		g2076.t1
OG0001749		g2080.t1
OG0001750		g2081.t1
OG0001751		g2082.t1
OG0001752		g2083.t1
OG0001753		g2086.t1
OG0001754		g2087.t1
OG0001755		g2089.t1
OG0001756		g2091.t1
OG0001757		g2092.t1
OG0001758		g2105.t1
OG0001759		g2106.t1
OG0001760		g2109.t1
OG0001761		g2110.t1
OG0001762		g2112.t1
OG0001763		g2114.t1
OG0001764		g2132.t1
OG0001765		g2138.t1
OG0001766		g2139.t1
OG0001767		g2141.t1
OG0001768		g2145.t1
OG0001769		g2146.t1
OG0001770		g2147.t1
OG0001771		g2148.t1
OG0001772		g2152.t1
OG0001773		g2156.t1
OG0001774		g2159.t1
OG0001775		g2163.t1
OG0001776		g2164.t1
OG0001777		g2169.t1
OG0001778		g2172.t1
OG0001779		g2175.t1
OG0001780		g2178.t1
OG0001781		g2179.t1
OG0001782		g2182.t1
OG0001783		g2190.t1
OG0001784		g2201.t1
OG0001785		g2206.t1
OG0001786		g2208.t1
OG0001787		g2211.t1
OG0001788		g2212.t1
OG0001789		g2214.t1
OG0001790		g2216.t1
OG0001791		g2218.t1
OG0001792		g2219.t1
OG0001793		g2221.t1
OG0001794		g2222.t1
OG0001795		g2223.t1
OG0001796		g2224.t1
OG0001797		g2225.t1
OG0001798		g2229.t1
OG0001799		g2232.t1
OG0001800		g2233.t1
OG0001801		g2234.t1
OG0001802		g2235.t1
OG0001803		g2236.t1
OG0001804		g2239.t1
OG0001805		g2241.t1
OG0001806		g2244.t1
OG0001807		g2245.t1
OG0001808		g2248.t1
OG0001809		g2249.t1
OG0001810		g2250.t1
OG0001811		g2256.t1
OG0001812		g2258.t1
OG0001813		g2261.t1
OG0001814		g2262.t1
OG0001815		g2265.t1
OG0001816		g2270.t1
OG0001817		g2274.t1
OG0001818		g2275.t1
OG0001819		g2283.t1
OG0001820		g2284.t1
OG0001821		g2285.t1
OG0001822		g2287.t1
OG0001823		g2288.t1
OG0001824		g2289.t1
OG0001825		g2293.t1
OG0001826		g2294.t1
OG0001827		g2295.t1
OG0001828		g2296.t1
OG0001829		g2303.t1
OG0001830		g2304.t1
OG0001831		g2310.t1
OG0001832		g2316.t1
OG0001833		g2318.t1
OG0001834		g2319.t1
OG0001835		g2320.t1
OG0001836		g2322.t1
OG0001837		g2324.t1
OG0001838		g2329.t1
OG0001839		g2335.t1
OG0001840		g2338.t1
OG0001841		g2339.t1
OG0001842		g2342.t1
OG0001843		g2348.t1
OG0001844		g2351.t1
OG0001845		g2354.t1
OG0001846		g2362.t1
OG0001847		g2363.t1
OG0001848		g2364.t1
OG0001849		g2365.t1
OG0001850		g2367.t1
OG0001851		g2368.t1
OG0001852		g2370.t1
OG0001853		g2372.t1
OG0001854		g2375.t1
OG0001855		g2377.t1
OG0001856		g2378.t1
OG0001857		g2382.t1
OG0001858		g2383.t1
OG0001859		g2393.t1
OG0001860		g2398.t1
OG0001861		g2406.t1
OG0001862		g2408.t1
OG0001863		g2410.t1
OG0001864		g2411.t1
OG0001865		g2427.t1
OG0001866		g2429.t1
OG0001867		g2430.t1
OG0001868		g2431.t1
OG0001869		g2432.t1
OG0001870		g2435.t1
OG0001871		g2437.t1
OG0001872		g2438.t1
OG0001873		g2443.t1
OG0001874		g2445.t1
OG0001875		g2452.t1
OG0001876		g2460.t1
OG0001877		g2461.t1
OG0001878		g2462.t1
OG0001879		g2470.t1
OG0001880		g2473.t1
OG0001881		g2476.t1
OG0001882		g2478.t1
OG0001883		g2481.t1
OG0001884		g2486.t1
OG0001885		g2487.t1
OG0001886		g2489.t1
OG0001887		g2491.t1
OG0001888		g2492.t1
OG0001889		g2493.t1
OG0001890		g2496.t1
OG0001891		g2498.t1
OG0001892		g2500.t1
OG0001893		g2502.t1
OG0001894		g2503.t1
OG0001895		g2504.t1
OG0001896		g2505.t1
OG0001897		g2513.t1
OG0001898		g2524.t1
OG0001899		g2525.t1
OG0001900		g2526.t1
OG0001901		g2527.t1
OG0001902		g2529.t1
OG0001903		g2530.t1
OG0001904		g2531.t1
OG0001905		g2532.t1
OG0001906		g2533.t1
OG0001907		g2534.t1
OG0001908		g2535.t1
OG0001909		g2536.t1
OG0001910		g2537.t1
OG0001911		g2539.t1
OG0001912		g2540.t1
OG0001913		g2543.t1
OG0001914		g2544.t1
OG0001915		g2546.t1
OG0001916		g2547.t1
OG0001917		g2548.t1
OG0001918		g2552.t1
OG0001919		g2553.t1
OG0001920		g2554.t1
OG0001921		g2555.t1
OG0001922		g2562.t1
OG0001923		g2563.t1
OG0001924		g2569.t1
OG0001925		g2570.t1
OG0001926		g2574.t1
OG0001927		g2577.t1
OG0001928		g2579.t1
OG0001929		g2581.t1
OG0001930		g2582.t1
OG0001931		g2585.t1
OG0001932		g2586.t1
OG0001933		g2587.t1
OG0001934		g2588.t1
OG0001935		g2589.t1
OG0001936		g2595.t1
OG0001937		g2596.t1
OG0001938		g2597.t1
OG0001939		g2599.t1
OG0001940		g2600.t1
OG0001941		g2603.t1
OG0001942		g2605.t1
OG0001943		g2610.t1
OG0001944		g2615.t1
OG0001945		g2616.t1
OG0001946		g2617.t1
OG0001947		g2618.t1
OG0001948		g2620.t1
OG0001949		g2622.t1
OG0001950		g2630.t1
OG0001951		g2638.t1
OG0001952		g2640.t1
OG0001953		g2647.t1
OG0001954		g2651.t1
OG0001955		g2654.t1
OG0001956		g2659.t1
OG0001957		g2662.t1
OG0001958		g2663.t1
OG0001959		g2665.t1
OG0001960		g2666.t1
OG0001961		g2667.t1
OG0001962		g2670.t1
OG0001963		g2671.t1
OG0001964		g2672.t1
OG0001965		g2673.t1
OG0001966		g2675.t1
OG0001967		g2676.t1
OG0001968		g2677.t1
OG0001969		g2678.t1
OG0001970		g2685.t1
OG0001971		g2686.t1
OG0001972		g2688.t1
OG0001973		g2690.t1
OG0001974		g2692.t1
OG0001975		g2693.t1
OG0001976		g2695.t1
OG0001977		g2697.t1
