Orthogroup	Mycobacterium_tuberculosis	Pseudomonas_aeruginosa
OG0000010	g1169.t1, g1170.t1, g1518.t1, g1646.t1, g1647.t1, g1648.t1, g1649.t1, g2023.t1, g2349.t1, g2350.t1, g2792.t1, g2881.t1, g2882.t1, g2883.t1, g2884.t1, g2885.t1, g2890.t1, g2896.t1, g2897.t1, g400.t1	
OG0000011		g1038.t1, g165.t1, g192.t1, g2148.t1, g2256.t1, g244.t1, g2459.t1, g2542.t1, g2743.t1, g2814.t1, g294.t1, g3098.t1, g3660.t1, g4219.t1, g4261.t1, g4586.t1, g4992.t1, g766.t1, g973.t1
OG0000012	g1610.t1	g1471.t1, g182.t1, g2613.t1, g270.t1, g2857.t1, g2939.t1, g3412.t1, g3571.t1, g4110.t1, g415.t1, g416.t1, g4188.t1, g4481.t1, g4873.t1, g5363.t1, g5462.t1, g5466.t1
OG0000013	g1359.t1, g1737.t1, g1745.t1, g2076.t1, g2138.t1, g2249.t1, g2324.t1, g2444.t1, g2612.t1, g2764.t1, g3136.t1, g3138.t1, g3285.t1, g3335.t1, g3424.t1, g786.t1	g261.t1
OG0000014		g1047.t1, g1200.t1, g1481.t1, g1643.t1, g1676.t1, g1920.t1, g2040.t1, g2510.t1, g2872.t1, g2879.t1, g3095.t1, g3918.t1, g3926.t1, g4486.t1, g4513.t1, g474.t1, g480.t1
OG0000015	g1360.t1, g1738.t1, g1744.t1, g2075.t1, g2139.t1, g2248.t1, g2323.t1, g2445.t1, g2611.t1, g2765.t1, g3135.t1, g3137.t1, g3284.t1, g3336.t1, g3423.t1, g785.t1	
OG0000016		g1272.t1, g1273.t1, g1358.t1, g1359.t1, g2245.t1, g2246.t1, g2982.t1, g2983.t1, g317.t1, g4275.t1, g4276.t1, g5171.t1, g5252.t1, g5253.t1, g903.t1, g904.t1
OG0000017	g1254.t1, g14.t1, g15.t1, g1725.t1, g1728.t1, g2058.t1, g2148.t1, g2373.t1, g2863.t1, g2918.t1, g3474.t1, g3526.t1, g920.t1	g1693.t1, g79.t1
OG0000018	g3370.t1	g1318.t1, g1381.t1, g153.t1, g1943.t1, g2084.t1, g2128.t1, g2426.t1, g2465.t1, g2505.t1, g3477.t1, g3976.t1, g479.t1, g4990.t1, g681.t1
OG0000019		g1002.t1, g1631.t1, g2624.t1, g2882.t1, g3104.t1, g34.t1, g3411.t1, g3532.t1, g4023.t1, g4052.t1, g4193.t1, g4950.t1, g5076.t1, g5364.t1, g941.t1
OG0000020	g1130.t1, g1131.t1, g1172.t1, g1513.t1, g1547.t1, g203.t1, g207.t1, g2308.t1, g2892.t1, g397.t1, g445.t1, g503.t1, g666.t1	g3139.t1
OG0000021		g1113.t1, g1258.t1, g1354.t1, g2218.t1, g2612.t1, g2940.t1, g4279.t1, g4375.t1, g4483.t1, g4579.t1, g4632.t1, g4816.t1, g5220.t1, g5263.t1
OG0000022	g1415.t1, g1741.t1, g222.t1, g2255.t1, g2449.t1, g3037.t1, g3038.t1, g3081.t1, g3193.t1, g3194.t1, g3326.t1, g3429.t1, g883.t1	
OG0000023	g2672.t1, g3296.t1, g3519.t1, g549.t1	g235.t1, g2760.t1, g2790.t1, g3008.t1, g3289.t1, g3579.t1, g4234.t1, g487.t1, g841.t1
OG0000024	g3032.t1	g1197.t1, g2595.t1, g2629.t1, g2747.t1, g3087.t1, g309.t1, g3154.t1, g3278.t1, g4879.t1, g5127.t1, g5426.t1, g843.t1
OG0000025		g1319.t1, g1382.t1, g154.t1, g1942.t1, g2085.t1, g2129.t1, g2427.t1, g2504.t1, g3476.t1, g3977.t1, g478.t1, g4989.t1, g682.t1
OG0000026		g1451.t1, g162.t1, g2052.t1, g2531.t1, g2557.t1, g2564.t1, g2565.t1, g3593.t1, g3748.t1, g4289.t1, g433.t1, g4459.t1, g4684.t1
OG0000027		g188.t1, g2334.t1, g2346.t1, g2367.t1, g2391.t1, g3512.t1, g3517.t1, g3582.t1, g3964.t1, g3966.t1, g4013.t1, g5191.t1, g5479.t1
OG0000028	g23.t1, g2699.t1, g469.t1	g1377.t1, g1913.t1, g229.t1, g2351.t1, g4156.t1, g4584.t1, g5082.t1, g5403.t1, g543.t1
OG0000029	g1000.t1, g1174.t1, g118.t1, g1334.t1, g1512.t1, g1519.t1, g1905.t1, g2880.t1, g2891.t1, g2899.t1, g34.t1, g399.t1	
OG0000030	g144.t1, g145.t1, g1712.t1, g1869.t1, g2705.t1, g281.t1, g3355.t1, g713.t1, g714.t1, g719.t1, g819.t1, g881.t1	
OG0000031	g224.t1, g2808.t1	g223.t1, g268.t1, g3574.t1, g4152.t1, g4204.t1, g4271.t1, g4993.t1, g5414.t1, g5475.t1, g912.t1
OG0000032	g3205.t1, g594.t1, g890.t1	g1173.t1, g1824.t1, g2730.t1, g3253.t1, g3269.t1, g4182.t1, g471.t1, g5299.t1, g943.t1
OG0000033	g1882.t1	g1031.t1, g2039.t1, g2149.t1, g239.t1, g2509.t1, g3537.t1, g3603.t1, g4175.t1, g4269.t1, g4994.t1, g4997.t1
OG0000034	g3365.t1	g1042.t1, g1582.t1, g1585.t1, g1949.t1, g2356.t1, g2835.t1, g3085.t1, g3492.t1, g4268.t1, g5411.t1, g542.t1
OG0000035		g1640.t1, g2345.t1, g2753.t1, g2974.t1, g2987.t1, g3737.t1, g4228.t1, g424.t1, g4592.t1, g4848.t1, g5350.t1, g5443.t1
OG0000036		g1075.t1, g1281.t1, g1427.t1, g2010.t1, g2136.t1, g2755.t1, g3424.t1, g3677.t1, g3974.t1, g4369.t1, g4871.t1, g4875.t1
OG0000037	g2837.t1, g41.t1	g1623.t1, g2883.t1, g2907.t1, g3407.t1, g3528.t1, g4217.t1, g431.t1, g5255.t1, g956.t1
OG0000038	g887.t1	g1055.t1, g1062.t1, g1136.t1, g1476.t1, g1800.t1, g2958.t1, g3597.t1, g3764.t1, g845.t1, g988.t1
OG0000039	g937.t1	g1838.t1, g1900.t1, g3695.t1, g3860.t1, g4489.t1, g5018.t1, g5041.t1, g5229.t1, g5465.t1, g673.t1
OG0000040		g100.t1, g101.t1, g1527.t1, g2412.t1, g266.t1, g2728.t1, g3358.t1, g3556.t1, g5186.t1, g5368.t1, g96.t1
OG0000041		g1238.t1, g1415.t1, g2157.t1, g2529.t1, g2590.t1, g275.t1, g2892.t1, g3387.t1, g484.t1, g4996.t1, g5289.t1
OG0000042		g1253.t1, g2430.t1, g2532.t1, g2563.t1, g2895.t1, g3592.t1, g3971.t1, g4290.t1, g434.t1, g4683.t1, g5256.t1
OG0000043	g1105.t1, g1346.t1, g1347.t1, g1880.t1, g2453.t1, g2455.t1, g382.t1, g878.t1, g879.t1, g882.t1	
OG0000044	g969.t1	g1453.t1, g2517.t1, g2561.t1, g2869.t1, g3138.t1, g4464.t1, g4868.t1, g4980.t1, g768.t1
OG0000045	g1138.t1	g1675.t1, g2066.t1, g2135.t1, g271.t1, g2955.t1, g3731.t1, g4214.t1, g4247.t1, g5385.t1
OG0000046	g1474.t1	g1362.t1, g1485.t1, g185.t1, g1853.t1, g2036.t1, g2976.t1, g3026.t1, g4244.t1, g5248.t1
OG0000047	g2662.t1	g1586.t1, g3184.t1, g3569.t1, g4255.t1, g5179.t1, g5405.t1, g5441.t1, g5494.t1, g826.t1
OG0000048		g2013.t1, g2627.t1, g2957.t1, g3105.t1, g35.t1, g3786.t1, g4025.t1, g4159.t1, g4278.t1, g611.t1
OG0000049		g189.t1, g2335.t1, g2635.t1, g2636.t1, g2637.t1, g2640.t1, g3514.t1, g3518.t1, g3583.t1, g4015.t1
OG0000050	g192.t1	g2127.t1, g2262.t1, g2353.t1, g2991.t1, g3367.t1, g3402.t1, g4194.t1, g4437.t1
OG0000051	g1260.t1, g1261.t1, g1337.t1, g195.t1	g1130.t1, g3291.t1, g4305.t1, g5092.t1, g872.t1
OG0000052	g3347.t1, g442.t1, g464.t1, g465.t1, g499.t1, g636.t1, g637.t1, g638.t1, g639.t1	
OG0000053	g475.t1	g2108.t1, g296.t1, g3153.t1, g3432.t1, g3670.t1, g3870.t1, g4560.t1, g4894.t1
OG0000054	g1465.t1, g3005.t1	g1300.t1, g1419.t1, g1862.t1, g297.t1, g3016.t1, g372.t1, g5155.t1
OG0000055		g187.t1, g2333.t1, g2347.t1, g2369.t1, g3317.t1, g3511.t1, g3516.t1, g3584.t1, g4014.t1
OG0000056		g1426.t1, g207.t1, g2633.t1, g2754.t1, g298.t1, g303.t1, g304.t1, g327.t1, g3682.t1
OG0000057		g1275.t1, g2247.t1, g2981.t1, g318.t1, g3545.t1, g3939.t1, g5172.t1, g5251.t1, g902.t1
OG0000058		g2719.t1, g3164.t1, g3812.t1, g402.t1, g403.t1, g4384.t1, g4611.t1, g5310.t1, g693.t1
OG0000059	g88.t1	g2123.t1, g2494.t1, g2691.t1, g3233.t1, g4260.t1, g4882.t1, g4892.t1
OG0000060	g1113.t1, g1134.t1, g1573.t1, g1685.t1, g1922.t1, g3416.t1, g93.t1, g94.t1	
OG0000061	g166.t1	g126.t1, g1286.t1, g1536.t1, g1542.t1, g4267.t1, g5000.t1, g809.t1
OG0000062	g410.t1	g1284.t1, g2238.t1, g3526.t1, g3937.t1, g4634.t1, g5180.t1, g5406.t1
OG0000063	g596.t1, g968.t1	g1452.t1, g2560.t1, g2868.t1, g3137.t1, g4465.t1, g4979.t1
OG0000064	g1926.t1, g1927.t1, g2047.t1, g2050.t1, g2506.t1, g2748.t1, g609.t1, g951.t1	
OG0000065	g732.t1, g738.t1	g1516.t1, g1595.t1, g2242.t1, g3378.t1, g3641.t1, g753.t1
OG0000066	g782.t1	g1159.t1, g2338.t1, g2861.t1, g3312.t1, g3447.t1, g3829.t1, g5201.t1
OG0000067	g1035.t1, g1188.t1, g2477.t1, g2624.t1, g2972.t1, g3067.t1, g3384.t1, g909.t1	
OG0000068	g973.t1	g2429.t1, g2915.t1, g3046.t1, g3441.t1, g4142.t1, g4680.t1, g78.t1
OG0000069	g1620.t1, g1971.t1, g1980.t1, g2001.t1, g2003.t1, g2587.t1, g2588.t1, g3085.t1	
OG0000070	g1702.t1, g1753.t1, g2938.t1	g159.t1, g1650.t1, g240.t1, g3578.t1, g4423.t1
OG0000071	g2294.t1, g2730.t1	g2062.t1, g2117.t1, g2285.t1, g4042.t1, g4593.t1, g5410.t1
OG0000072	g3175.t1	g1077.t1, g1393.t1, g2619.t1, g4248.t1, g4619.t1, g485.t1, g4960.t1
OG0000073	g3315.t1	g1352.t1, g2759.t1, g2990.t1, g3152.t1, g3794.t1, g4438.t1, g852.t1
OG0000074		g1239.t1, g1240.t1, g1995.t1, g2621.t1, g3286.t1, g5069.t1, g797.t1, g865.t1
OG0000075		g1940.t1, g2442.t1, g2502.t1, g3503.t1, g3862.t1, g4301.t1, g4598.t1, g813.t1
OG0000076		g1123.t1, g1148.t1, g1277.t1, g1938.t1, g3645.t1, g4218.t1, g4315.t1, g5384.t1
OG0000077	g101.t1, g1968.t1, g3229.t1, g91.t1, g956.t1	g1564.t1, g3997.t1
OG0000078	g102.t1, g1659.t1	g1559.t1, g278.t1, g4794.t1, g534.t1, g658.t1
OG0000079	g159.t1	g1256.t1, g2239.t1, g2521.t1, g2989.t1, g3094.t1, g851.t1
OG0000080	g164.t1	g2860.t1, g3191.t1, g5284.t1, g5431.t1, g983.t1, g999.t1
OG0000081	g1091.t1, g1416.t1, g2020.t1, g221.t1, g2254.t1, g2450.t1, g2919.t1	
OG0000082	g1099.t1, g1551.t1, g1985.t1, g230.t1, g2510.t1, g2710.t1, g300.t1	
OG0000083	g1368.t1, g2070.t1, g3024.t1, g333.t1, g389.t1, g392.t1, g511.t1	
OG0000084	g1259.t1, g1279.t1, g1673.t1, g1789.t1, g3017.t1, g3311.t1, g554.t1	
OG0000085	g716.t1	g1314.t1, g1391.t1, g2302.t1, g3973.t1, g4713.t1, g940.t1
OG0000086	g834.t1	g1413.t1, g2011.t1, g2415.t1, g3676.t1, g3954.t1, g4378.t1
OG0000087	g859.t1	g1174.t1, g1993.t1, g2663.t1, g3331.t1, g462.t1, g976.t1
OG0000088	g982.t1	g1487.t1, g1960.t1, g3311.t1, g3335.t1, g4021.t1, g4022.t1
OG0000089	g1056.t1	g1034.t1, g1649.t1, g1847.t1, g3663.t1, g5074.t1, g755.t1
OG0000090	g1112.t1	g1793.t1, g342.t1, g3633.t1, g3832.t1, g4549.t1, g4551.t1
OG0000091	g1915.t1	g2125.t1, g2396.t1, g2639.t1, g2641.t1, g3513.t1, g4031.t1
OG0000092	g1916.t1, g3213.t1	g2551.t1, g2553.t1, g3054.t1, g3882.t1, g5337.t1
OG0000093	g2218.t1, g2219.t1, g2489.t1	g1389.t1, g1629.t1, g3024.t1, g5272.t1
OG0000094	g2290.t1, g3212.t1	g1164.t1, g2074.t1, g326.t1, g3669.t1, g4101.t1
OG0000095	g2673.t1	g1386.t1, g1934.t1, g2827.t1, g3650.t1, g4297.t1, g4806.t1
OG0000096	g2974.t1	g1328.t1, g2096.t1, g2115.t1, g3017.t1, g3887.t1, g825.t1
OG0000097	g3362.t1	g190.t1, g196.t1, g197.t1, g2294.t1, g2349.t1, g4012.t1
OG0000098		g1333.t1, g1520.t1, g170.t1, g1892.t1, g247.t1, g443.t1, g840.t1
OG0000099		g1161.t1, g1587.t1, g2253.t1, g245.t1, g3952.t1, g5336.t1, g823.t1
OG0000100		g3374.t1, g3410.t1, g3536.t1, g3935.t1, g4027.t1, g435.t1, g461.t1
OG0000101		g4127.t1, g459.t1, g5233.t1, g5234.t1, g5235.t1, g5372.t1, g789.t1
OG0000102		g1247.t1, g1287.t1, g2471.t1, g3370.t1, g3970.t1, g460.t1, g889.t1
OG0000103		g1004.t1, g2166.t1, g2169.t1, g4162.t1, g4164.t1, g4740.t1, g506.t1
OG0000104		g1301.t1, g4281.t1, g5115.t1, g513.t1, g514.t1, g515.t1, g5286.t1
OG0000105		g1365.t1, g1500.t1, g2632.t1, g3671.t1, g4153.t1, g4898.t1, g541.t1
OG0000106		g2717.t1, g3161.t1, g3162.t1, g4610.t1, g4635.t1, g4636.t1, g687.t1
OG0000107		g1398.t1, g1739.t1, g1897.t1, g3166.t1, g4386.t1, g5135.t1, g692.t1
OG0000108		g1025.t1, g1178.t1, g1404.t1, g1406.t1, g2272.t1, g5095.t1, g713.t1
OG0000109		g2114.t1, g3060.t1, g4715.t1, g5075.t1, g5193.t1, g801.t1, g880.t1
OG0000110		g1087.t1, g1088.t1, g1981.t1, g4953.t1, g4954.t1, g5005.t1, g5006.t1
OG0000111		g1172.t1, g1825.t1, g3254.t1, g3267.t1, g4181.t1, g5078.t1, g5300.t1
OG0000112		g2364.t1, g2365.t1, g2386.t1, g2387.t1, g2395.t1, g2638.t1, g4016.t1
OG0000113	g105.t1, g1972.t1, g420.t1, g896.t1	g1445.t1, g4919.t1
OG0000114	g115.t1, g1423.t1, g193.t1, g2483.t1, g478.t1	g740.t1
OG0000115	g1032.t1, g1212.t1, g124.t1, g970.t1	g4531.t1, g778.t1
OG0000116	g135.t1, g1651.t1, g3009.t1, g325.t1, g563.t1, g752.t1	
OG0000117	g168.t1, g1939.t1, g3449.t1, g582.t1	g3274.t1, g4540.t1
OG0000118	g361.t1	g1224.t1, g4089.t1, g4107.t1, g5345.t1, g599.t1
OG0000119	g2623.t1, g2625.t1, g3546.t1, g380.t1	g3431.t1, g4627.t1
OG0000120	g408.t1	g1001.t1, g2666.t1, g2826.t1, g341.t1, g3540.t1
OG0000121	g457.t1	g1607.t1, g2059.t1, g2289.t1, g4923.t1, g5086.t1
OG0000122	g490.t1, g581.t1	g125.t1, g1647.t1, g4860.t1, g5458.t1
OG0000123	g2743.t1, g2836.t1, g2928.t1, g599.t1, g910.t1	g724.t1
OG0000124	g2742.t1, g2835.t1, g2927.t1, g600.t1, g818.t1, g911.t1	
OG0000125	g717.t1	g1503.t1, g2383.t1, g3084.t1, g3651.t1, g3654.t1
OG0000126	g3183.t1, g723.t1	g1799.t1, g2954.t1, g3351.t1, g774.t1
OG0000127	g974.t1	g3045.t1, g3047.t1, g4143.t1, g4679.t1, g77.t1
OG0000128	g1269.t1	g1833.t1, g2095.t1, g3442.t1, g4590.t1, g4591.t1
OG0000129	g1313.t1	g2034.t1, g232.t1, g2592.t1, g3661.t1, g4002.t1
OG0000130	g1393.t1, g1395.t1	g2068.t1, g3180.t1, g4463.t1, g555.t1
OG0000131	g1549.t1	g1344.t1, g2725.t1, g335.t1, g3423.t1, g863.t1
OG0000132	g1736.t1, g2318.t1, g2319.t1, g2320.t1	g3385.t1, g856.t1
OG0000133	g2166.t1	g1567.t1, g1571.t1, g1757.t1, g2296.t1, g2519.t1
OG0000134	g2175.t1, g2404.t1	g1983.t1, g2300.t1, g2384.t1, g5091.t1
OG0000135	g2188.t1, g2460.t1	g1606.t1, g2288.t1, g3483.t1, g5111.t1
OG0000136	g2810.t1	g1583.t1, g2073.t1, g299.t1, g301.t1, g3422.t1
OG0000137	g2935.t1	g1830.t1, g2783.t1, g3223.t1, g4017.t1, g5450.t1
OG0000138	g2952.t1	g2069.t1, g2143.t1, g4262.t1, g4786.t1, g5399.t1
OG0000139	g3015.t1	g1556.t1, g1911.t1, g3330.t1, g5085.t1, g798.t1
OG0000140	g3093.t1	g1154.t1, g1859.t1, g3319.t1, g5335.t1, g875.t1
OG0000141	g3288.t1	g137.t1, g225.t1, g302.t1, g4897.t1, g5415.t1
OG0000142		g139.t1, g146.t1, g1537.t1, g3232.t1, g5188.t1, g5202.t1
OG0000143		g1479.t1, g180.t1, g3415.t1, g3777.t1, g3779.t1, g417.t1
OG0000144		g208.t1, g307.t1, g328.t1, g3316.t1, g3681.t1, g616.t1
OG0000145		g210.t1, g305.t1, g330.t1, g3609.t1, g3679.t1, g613.t1
OG0000146		g2358.t1, g2733.t1, g3502.t1, g4071.t1, g451.t1, g4889.t1
OG0000147		g1831.t1, g2029.t1, g3946.t1, g4258.t1, g604.t1, g706.t1
OG0000148		g3033.t1, g3234.t1, g4018.t1, g5275.t1, g618.t1, g822.t1
OG0000149		g3327.t1, g3789.t1, g4644.t1, g4658.t1, g5356.t1, g849.t1
OG0000150		g1248.t1, g2154.t1, g3292.t1, g3479.t1, g4180.t1, g888.t1
OG0000151		g1144.t1, g1762.t1, g2573.t1, g3868.t1, g4519.t1, g5087.t1
OG0000152		g1234.t1, g2438.t1, g2439.t1, g2440.t1, g2463.t1, g3393.t1
OG0000153		g1263.t1, g1904.t1, g2559.t1, g3471.t1, g4226.t1, g5068.t1
OG0000154		g1620.t1, g2305.t1, g2518.t1, g4657.t1, g4706.t1, g5349.t1
OG0000155		g1776.t1, g2891.t1, g3077.t1, g3375.t1, g4434.t1, g5122.t1
OG0000156		g2170.t1, g2243.t1, g2608.t1, g2877.t1, g3898.t1, g4024.t1
OG0000157		g2195.t1, g3557.t1, g4421.t1, g5185.t1, g5412.t1, g5496.t1
OG0000158	g16.t1, g2134.t1	g2311.t1, g4081.t1, g4503.t1
OG0000159	g1255.t1, g1807.t1, g19.t1, g20.t1, g3075.t1	
OG0000160	g2161.t1, g24.t1	g1213.t1, g1214.t1, g3542.t1
OG0000161	g1709.t1, g1754.t1, g3309.t1, g3310.t1, g60.t1	
OG0000162	g2236.t1, g302.t1, g434.t1, g66.t1	g5126.t1
OG0000163	g134.t1, g241.t1, g3253.t1	g3750.t1, g3792.t1
OG0000164	g165.t1, g2157.t1, g843.t1, g845.t1, g846.t1	
OG0000165	g171.t1, g1942.t1, g3446.t1, g585.t1	g4539.t1
OG0000166	g1352.t1, g176.t1, g178.t1, g1947.t1, g200.t1	
OG0000167	g1351.t1, g179.t1, g1948.t1, g2359.t1, g3440.t1	
OG0000168	g1514.t1, g225.t1, g2586.t1, g2901.t1, g830.t1	
OG0000169	g296.t1, g3027.t1	g2373.t1, g31.t1, g937.t1
OG0000170	g305.t1, g3221.t1	g1291.t1, g3271.t1, g5290.t1
OG0000171	g321.t1	g2056.t1, g3220.t1, g3611.t1, g3630.t1
OG0000172	g406.t1	g1360.t1, g3932.t1, g4277.t1, g5178.t1
OG0000173	g1248.t1, g571.t1	g2628.t1, g3394.t1, g4299.t1
OG0000174	g2459.t1, g2494.t1, g2566.t1, g3280.t1, g611.t1	
OG0000175	g1230.t1, g2458.t1, g2565.t1, g2820.t1, g654.t1	
OG0000176	g2757.t1, g2759.t1, g3078.t1, g3079.t1, g736.t1	
OG0000177	g765.t1	g234.t1, g2670.t1, g3586.t1, g3587.t1
OG0000178	g3376.t1, g809.t1	g1976.t1, g4767.t1, g4886.t1
OG0000179	g1864.t1, g2358.t1, g2419.t1, g856.t1, g997.t1	
OG0000180	g2089.t1, g3156.t1, g3157.t1, g936.t1	g5398.t1
OG0000181	g1026.t1, g1186.t1, g1772.t1, g1773.t1, g2316.t1	
OG0000182	g1059.t1, g1473.t1, g2221.t1, g3467.t1, g3505.t1	
OG0000183	g1151.t1, g1152.t1, g1719.t1	g3947.t1, g3948.t1
OG0000184	g1166.t1	g2336.t1, g2758.t1, g3693.t1, g4903.t1
OG0000185	g1183.t1, g1419.t1, g1443.t1, g2338.t1	g1946.t1
OG0000186	g1191.t1	g1177.t1, g2846.t1, g5306.t1, g5492.t1
OG0000187	g1249.t1, g1548.t1, g1851.t1, g3130.t1, g3497.t1	
