Orthogroup	Mycobacterium_tuberculosis	Pseudomonas_aeruginosa
OG0002151	g925.t1	
OG0002152	g928.t1	
OG0002153	g929.t1	
OG0002154	g931.t1	
OG0002155	g932.t1	
OG0002156	g933.t1	
OG0002157	g935.t1	
OG0002158	g941.t1	
OG0002159	g942.t1	
OG0002160	g945.t1	
OG0002161	g946.t1	
OG0002162	g947.t1	
OG0002163	g949.t1	
OG0002164	g950.t1	
OG0002165	g957.t1	
OG0002166	g961.t1	
OG0002167	g966.t1	
OG0002168	g975.t1	
OG0002169	g977.t1	
OG0002170	g978.t1	
OG0002171	g979.t1	
OG0002172	g983.t1	
OG0002173	g984.t1	
OG0002174	g987.t1	
OG0002175	g990.t1	
OG0002176	g992.t1	
OG0002177	g993.t1	
OG0002178	g994.t1	
OG0002179	g1005.t1	
OG0002180	g1011.t1	
OG0002181	g1012.t1	
OG0002182	g1016.t1	
OG0002183	g1020.t1	
OG0002184	g1021.t1	
OG0002185	g1029.t1	
OG0002186	g1033.t1	
OG0002187	g1034.t1	
OG0002188	g1036.t1	
OG0002189	g1037.t1	
OG0002190	g1039.t1	
OG0002191	g1040.t1	
OG0002192	g1041.t1	
OG0002193	g1046.t1	
OG0002194	g1048.t1	
OG0002195	g1050.t1	
OG0002196	g1051.t1	
OG0002197	g1052.t1	
OG0002198	g1055.t1	
OG0002199	g1058.t1	
OG0002200	g1067.t1	
OG0002201	g1069.t1	
OG0002202	g1070.t1	
OG0002203	g1075.t1	
OG0002204	g1076.t1	
OG0002205	g1077.t1	
OG0002206	g1079.t1	
OG0002207	g1080.t1	
OG0002208	g1083.t1	
OG0002209	g1084.t1	
OG0002210	g1086.t1	
OG0002211	g1087.t1	
OG0002212	g1090.t1	
OG0002213	g1095.t1	
OG0002214	g1096.t1	
OG0002215	g1097.t1	
OG0002216	g1100.t1	
OG0002217	g1103.t1	
OG0002218	g1104.t1	
OG0002219	g1106.t1	
OG0002220	g1110.t1	
OG0002221	g1111.t1	
OG0002222	g1119.t1	
OG0002223	g1121.t1	
OG0002224	g1122.t1	
OG0002225	g1124.t1	
OG0002226	g1129.t1	
OG0002227	g1133.t1	
OG0002228	g1140.t1	
OG0002229	g1142.t1	
OG0002230	g1144.t1	
OG0002231	g1145.t1	
OG0002232	g1155.t1	
OG0002233	g1159.t1	
OG0002234	g1160.t1	
OG0002235	g1162.t1	
OG0002236	g1163.t1	
OG0002237	g1165.t1	
OG0002238	g1171.t1	
OG0002239	g1177.t1	
OG0002240	g1178.t1	
OG0002241	g1179.t1	
OG0002242	g1181.t1	
OG0002243	g1182.t1	
OG0002244	g1192.t1	
OG0002245	g1193.t1	
OG0002246	g1196.t1	
OG0002247	g1197.t1	
OG0002248	g1198.t1	
OG0002249	g1200.t1	
OG0002250	g1205.t1	
OG0002251	g1206.t1	
OG0002252	g1208.t1	
OG0002253	g1209.t1	
OG0002254	g1210.t1	
OG0002255	g1211.t1	
OG0002256	g1213.t1	
OG0002257	g1214.t1	
OG0002258	g1216.t1	
OG0002259	g1220.t1	
OG0002260	g1221.t1	
OG0002261	g1222.t1	
OG0002262	g1223.t1	
OG0002263	g1224.t1	
OG0002264	g1225.t1	
OG0002265	g1229.t1	
OG0002266	g1233.t1	
OG0002267	g1237.t1	
OG0002268	g1238.t1	
OG0002269	g1239.t1	
OG0002270	g1244.t1	
OG0002271	g1247.t1	
OG0002272	g1253.t1	
OG0002273	g1256.t1	
OG0002274	g1262.t1	
OG0002275	g1263.t1	
OG0002276	g1264.t1	
OG0002277	g1266.t1	
OG0002278	g1272.t1	
OG0002279	g1277.t1	
OG0002280	g1278.t1	
OG0002281	g1283.t1	
OG0002282	g1284.t1	
OG0002283	g1291.t1	
OG0002284	g1292.t1	
OG0002285	g1293.t1	
OG0002286	g1296.t1	
OG0002287	g1297.t1	
OG0002288	g1299.t1	
OG0002289	g1300.t1	
OG0002290	g1301.t1	
OG0002291	g1309.t1	
OG0002292	g1310.t1	
OG0002293	g1312.t1	
OG0002294	g1314.t1	
OG0002295	g1322.t1	
OG0002296	g1323.t1	
OG0002297	g1325.t1	
OG0002298	g1326.t1	
OG0002299	g1327.t1	
OG0002300	g1332.t1	
OG0002301	g1335.t1	
OG0002302	g1336.t1	
OG0002303	g1338.t1	
OG0002304	g1341.t1	
OG0002305	g1343.t1	
OG0002306	g1344.t1	
OG0002307	g1345.t1	
OG0002308	g1348.t1	
OG0002309	g1353.t1	
OG0002310	g1355.t1	
OG0002311	g1356.t1	
OG0002312	g1361.t1	
OG0002313	g1363.t1	
OG0002314	g1364.t1	
OG0002315	g1365.t1	
OG0002316	g1366.t1	
OG0002317	g1367.t1	
OG0002318	g1372.t1	
OG0002319	g1375.t1	
OG0002320	g1378.t1	
OG0002321	g1380.t1	
OG0002322	g1383.t1	
OG0002323	g1391.t1	
OG0002324	g1400.t1	
OG0002325	g1403.t1	
OG0002326	g1404.t1	
OG0002327	g1408.t1	
OG0002328	g1409.t1	
OG0002329	g1412.t1	
OG0002330	g1413.t1	
OG0002331	g1414.t1	
OG0002332	g1424.t1	
OG0002333	g1429.t1	
OG0002334	g1430.t1	
OG0002335	g1432.t1	
OG0002336	g1434.t1	
OG0002337	g1436.t1	
OG0002338	g1445.t1	
OG0002339	g1447.t1	
OG0002340	g1450.t1	
OG0002341	g1453.t1	
OG0002342	g1459.t1	
OG0002343	g1460.t1	
OG0002344	g1462.t1	
OG0002345	g1464.t1	
OG0002346	g1467.t1	
OG0002347	g1477.t1	
OG0002348	g1478.t1	
OG0002349	g1480.t1	
OG0002350	g1482.t1	
OG0002351	g1486.t1	
OG0002352	g1488.t1	
OG0002353	g1490.t1	
OG0002354	g1493.t1	
OG0002355	g1494.t1	
OG0002356	g1495.t1	
OG0002357	g1497.t1	
OG0002358	g1499.t1	
OG0002359	g1500.t1	
OG0002360	g1501.t1	
OG0002361	g1502.t1	
OG0002362	g1503.t1	
OG0002363	g1504.t1	
OG0002364	g1505.t1	
OG0002365	g1506.t1	
OG0002366	g1510.t1	
OG0002367	g1516.t1	
OG0002368	g1520.t1	
OG0002369	g1522.t1	
OG0002370	g1524.t1	
OG0002371	g1525.t1	
OG0002372	g1538.t1	
OG0002373	g1541.t1	
OG0002374	g1542.t1	
OG0002375	g1543.t1	
OG0002376	g1544.t1	
OG0002377	g1545.t1	
OG0002378	g1546.t1	
OG0002379	g1557.t1	
OG0002380	g1560.t1	
OG0002381	g1561.t1	
OG0002382	g1562.t1	
OG0002383	g1566.t1	
OG0002384	g1567.t1	
OG0002385	g1568.t1	
OG0002386	g1569.t1	
OG0002387	g1570.t1	
OG0002388	g1571.t1	
OG0002389	g1572.t1	
OG0002390	g1575.t1	
OG0002391	g1576.t1	
OG0002392	g1588.t1	
OG0002393	g1591.t1	
OG0002394	g1592.t1	
OG0002395	g1594.t1	
OG0002396	g1599.t1	
OG0002397	g1600.t1	
OG0002398	g1602.t1	
OG0002399	g1603.t1	
OG0002400	g1604.t1	
OG0002401	g1605.t1	
OG0002402	g1612.t1	
OG0002403	g1616.t1	
OG0002404	g1618.t1	
OG0002405	g1619.t1	
OG0002406	g1621.t1	
OG0002407	g1624.t1	
OG0002408	g1629.t1	
OG0002409	g1642.t1	
OG0002410	g1652.t1	
OG0002411	g1653.t1	
OG0002412	g1655.t1	
OG0002413	g1657.t1	
OG0002414	g1660.t1	
OG0002415	g1662.t1	
OG0002416	g1663.t1	
OG0002417	g1665.t1	
OG0002418	g1666.t1	
OG0002419	g1669.t1	
OG0002420	g1670.t1	
OG0002421	g1671.t1	
OG0002422	g1674.t1	
OG0002423	g1676.t1	
OG0002424	g1677.t1	
OG0002425	g1680.t1	
OG0002426	g1681.t1	
OG0002427	g1686.t1	
OG0002428	g1687.t1	
OG0002429	g1691.t1	
OG0002430	g1697.t1	
OG0002431	g1698.t1	
OG0002432	g1700.t1	
OG0002433	g1704.t1	
OG0002434	g1705.t1	
OG0002435	g1707.t1	
OG0002436	g1708.t1	
OG0002437	g1714.t1	
OG0002438	g1716.t1	
OG0002439	g1717.t1	
OG0002440	g1718.t1	
OG0002441	g1724.t1	
OG0002442	g1726.t1	
OG0002443	g1727.t1	
OG0002444	g1730.t1	
OG0002445	g1731.t1	
OG0002446	g1735.t1	
OG0002447	g1742.t1	
OG0002448	g1743.t1	
OG0002449	g1751.t1	
OG0002450	g1755.t1	
OG0002451	g1758.t1	
OG0002452	g1759.t1	
OG0002453	g1760.t1	
OG0002454	g1765.t1	
OG0002455	g1778.t1	
OG0002456	g1780.t1	
OG0002457	g1792.t1	
OG0002458	g1795.t1	
OG0002459	g1799.t1	
OG0002460	g1801.t1	
OG0002461	g1802.t1	
OG0002462	g1804.t1	
OG0002463	g1808.t1	
OG0002464	g1809.t1	
OG0002465	g1810.t1	
OG0002466	g1811.t1	
OG0002467	g1816.t1	
OG0002468	g1819.t1	
OG0002469	g1822.t1	
OG0002470	g1823.t1	
OG0002471	g1825.t1	
OG0002472	g1826.t1	
OG0002473	g1831.t1	
OG0002474	g1833.t1	
OG0002475	g1836.t1	
OG0002476	g1837.t1	
OG0002477	g1838.t1	
OG0002478	g1839.t1	
OG0002479	g1840.t1	
OG0002480	g1841.t1	
OG0002481	g1842.t1	
OG0002482	g1845.t1	
OG0002483	g1846.t1	
OG0002484	g1853.t1	
OG0002485	g1854.t1	
OG0002486	g1858.t1	
OG0002487	g1859.t1	
OG0002488	g1860.t1	
OG0002489	g1861.t1	
OG0002490	g1867.t1	
OG0002491	g1868.t1	
OG0002492	g1870.t1	
OG0002493	g1871.t1	
OG0002494	g1872.t1	
OG0002495	g1873.t1	
OG0002496	g1875.t1	
OG0002497	g1878.t1	
OG0002498	g1883.t1	
OG0002499	g1885.t1	
OG0002500	g1887.t1	
OG0002501	g1888.t1	
OG0002502	g1889.t1	
OG0002503	g1892.t1	
OG0002504	g1893.t1	
OG0002505	g1894.t1	
OG0002506	g1899.t1	
OG0002507	g1904.t1	
OG0002508	g1906.t1	
OG0002509	g1907.t1	
OG0002510	g1914.t1	
OG0002511	g1917.t1	
OG0002512	g1920.t1	
OG0002513	g1923.t1	
OG0002514	g1924.t1	
OG0002515	g1925.t1	
OG0002516	g1929.t1	
OG0002517	g1930.t1	
OG0002518	g1931.t1	
OG0002519	g1933.t1	
OG0002520	g1934.t1	
OG0002521	g1935.t1	
OG0002522	g1936.t1	
OG0002523	g1937.t1	
OG0002524	g1938.t1	
OG0002525	g1949.t1	
OG0002526	g1950.t1	
OG0002527	g1951.t1	
OG0002528	g1954.t1	
OG0002529	g1958.t1	
OG0002530	g1963.t1	
OG0002531	g1964.t1	
OG0002532	g1970.t1	
OG0002533	g1974.t1	
OG0002534	g1975.t1	
OG0002535	g1977.t1	
OG0002536	g1978.t1	
OG0002537	g1982.t1	
OG0002538	g1986.t1	
OG0002539	g1987.t1	
OG0002540	g1991.t1	
OG0002541	g1994.t1	
OG0002542	g1995.t1	
OG0002543	g1998.t1	
OG0002544	g2008.t1	
OG0002545	g2009.t1	
OG0002546	g2010.t1	
OG0002547	g2011.t1	
OG0002548	g2012.t1	
OG0002549	g2021.t1	
OG0002550	g2024.t1	
OG0002551	g2025.t1	
OG0002552	g2026.t1	
OG0002553	g2027.t1	
OG0002554	g2030.t1	
OG0002555	g2032.t1	
OG0002556	g2034.t1	
OG0002557	g2038.t1	
OG0002558	g2039.t1	
OG0002559	g2040.t1	
OG0002560	g2044.t1	
OG0002561	g2045.t1	
OG0002562	g2046.t1	
OG0002563	g2049.t1	
OG0002564	g2051.t1	
OG0002565	g2052.t1	
OG0002566	g2053.t1	
OG0002567	g2054.t1	
OG0002568	g2056.t1	
OG0002569	g2057.t1	
OG0002570	g2061.t1	
OG0002571	g2062.t1	
OG0002572	g2064.t1	
OG0002573	g2065.t1	
OG0002574	g2069.t1	
OG0002575	g2072.t1	
OG0002576	g2074.t1	
OG0002577	g2079.t1	
OG0002578	g2080.t1	
OG0002579	g2081.t1	
OG0002580	g2083.t1	
OG0002581	g2084.t1	
OG0002582	g2087.t1	
OG0002583	g2090.t1	
OG0002584	g2092.t1	
OG0002585	g2096.t1	
OG0002586	g2099.t1	
OG0002587	g2100.t1	
OG0002588	g2101.t1	
OG0002589	g2102.t1	
OG0002590	g2103.t1	
OG0002591	g2104.t1	
OG0002592	g2107.t1	
OG0002593	g2108.t1	
OG0002594	g2109.t1	
OG0002595	g2112.t1	
OG0002596	g2113.t1	
OG0002597	g2115.t1	
OG0002598	g2117.t1	
OG0002599	g2118.t1	
OG0002600	g2122.t1	
OG0002601	g2131.t1	
OG0002602	g2135.t1	
OG0002603	g2140.t1	
OG0002604	g2141.t1	
OG0002605	g2142.t1	
OG0002606	g2143.t1	
OG0002607	g2144.t1	
OG0002608	g2145.t1	
OG0002609	g2147.t1	
OG0002610	g2151.t1	
OG0002611	g2152.t1	
OG0002612	g2155.t1	
OG0002613	g2156.t1	
OG0002614	g2160.t1	
OG0002615	g2162.t1	
OG0002616	g2164.t1	
OG0002617	g2167.t1	
OG0002618	g2169.t1	
OG0002619	g2170.t1	
OG0002620	g2172.t1	
OG0002621	g2176.t1	
OG0002622	g2179.t1	
OG0002623	g2182.t1	
OG0002624	g2192.t1	
OG0002625	g2193.t1	
OG0002626	g2196.t1	
OG0002627	g2200.t1	
OG0002628	g2201.t1	
OG0002629	g2202.t1	
OG0002630	g2203.t1	
OG0002631	g2208.t1	
OG0002632	g2211.t1	
OG0002633	g2212.t1	
OG0002634	g2213.t1	
OG0002635	g2222.t1	
OG0002636	g2224.t1	
OG0002637	g2227.t1	
OG0002638	g2228.t1	
OG0002639	g2229.t1	
OG0002640	g2230.t1	
OG0002641	g2233.t1	
OG0002642	g2234.t1	
OG0002643	g2238.t1	
OG0002644	g2241.t1	
OG0002645	g2242.t1	
OG0002646	g2243.t1	
OG0002647	g2244.t1	
OG0002648	g2245.t1	
OG0002649	g2246.t1	
OG0002650	g2250.t1	
OG0002651	g2253.t1	
OG0002652	g2258.t1	
OG0002653	g2259.t1	
OG0002654	g2261.t1	
OG0002655	g2262.t1	
OG0002656	g2266.t1	
OG0002657	g2273.t1	
OG0002658	g2274.t1	
OG0002659	g2275.t1	
OG0002660	g2277.t1	
OG0002661	g2280.t1	
OG0002662	g2281.t1	
OG0002663	g2282.t1	
OG0002664	g2283.t1	
OG0002665	g2286.t1	
OG0002666	g2289.t1	
OG0002667	g2291.t1	
OG0002668	g2292.t1	
OG0002669	g2295.t1	
OG0002670	g2296.t1	
OG0002671	g2297.t1	
OG0002672	g2300.t1	
OG0002673	g2305.t1	
OG0002674	g2306.t1	
OG0002675	g2311.t1	
OG0002676	g2314.t1	
OG0002677	g2317.t1	
OG0002678	g2326.t1	
OG0002679	g2327.t1	
OG0002680	g2329.t1	
OG0002681	g2331.t1	
OG0002682	g2334.t1	
OG0002683	g2342.t1	
OG0002684	g2343.t1	
OG0002685	g2353.t1	
OG0002686	g2354.t1	
OG0002687	g2355.t1	
OG0002688	g2356.t1	
OG0002689	g2365.t1	
OG0002690	g2371.t1	
OG0002691	g2372.t1	
OG0002692	g2375.t1	
OG0002693	g2382.t1	
OG0002694	g2383.t1	
OG0002695	g2385.t1	
OG0002696	g2387.t1	
OG0002697	g2388.t1	
OG0002698	g2391.t1	
OG0002699	g2392.t1	
OG0002700	g2398.t1	
OG0002701	g2401.t1	
OG0002702	g2402.t1	
OG0002703	g2405.t1	
OG0002704	g2412.t1	
OG0002705	g2415.t1	
OG0002706	g2420.t1	
OG0002707	g2421.t1	
OG0002708	g2422.t1	
OG0002709	g2423.t1	
OG0002710	g2425.t1	
OG0002711	g2427.t1	
OG0002712	g2431.t1	
OG0002713	g2432.t1	
OG0002714	g2435.t1	
OG0002715	g2436.t1	
OG0002716	g2439.t1	
OG0002717	g2440.t1	
OG0002718	g2446.t1	
OG0002719	g2448.t1	
OG0002720	g2451.t1	
OG0002721	g2456.t1	
OG0002722	g2457.t1	
OG0002723	g2464.t1	
OG0002724	g2465.t1	
OG0002725	g2471.t1	
OG0002726	g2473.t1	
OG0002727	g2474.t1	
OG0002728	g2478.t1	
OG0002729	g2479.t1	
OG0002730	g2480.t1	
OG0002731	g2482.t1	
OG0002732	g2485.t1	
OG0002733	g2487.t1	
OG0002734	g2488.t1	
OG0002735	g2490.t1	
OG0002736	g2491.t1	
OG0002737	g2492.t1	
OG0002738	g2493.t1	
OG0002739	g2496.t1	
OG0002740	g2499.t1	
OG0002741	g2500.t1	
OG0002742	g2505.t1	
OG0002743	g2507.t1	
OG0002744	g2513.t1	
OG0002745	g2514.t1	
OG0002746	g2515.t1	
OG0002747	g2520.t1	
OG0002748	g2524.t1	
OG0002749	g2525.t1	
OG0002750	g2529.t1	
OG0002751	g2531.t1	
OG0002752	g2533.t1	
OG0002753	g2534.t1	
OG0002754	g2537.t1	
OG0002755	g2539.t1	
OG0002756	g2540.t1	
OG0002757	g2545.t1	
OG0002758	g2551.t1	
OG0002759	g2560.t1	
OG0002760	g2561.t1	
OG0002761	g2562.t1	
OG0002762	g2563.t1	
OG0002763	g2570.t1	
OG0002764	g2573.t1	
OG0002765	g2574.t1	
OG0002766	g2575.t1	
OG0002767	g2577.t1	
OG0002768	g2580.t1	
OG0002769	g2581.t1	
OG0002770	g2583.t1	
OG0002771	g2584.t1	
OG0002772	g2589.t1	
OG0002773	g2592.t1	
OG0002774	g2593.t1	
OG0002775	g2594.t1	
OG0002776	g2597.t1	
OG0002777	g2599.t1	
OG0002778	g2600.t1	
OG0002779	g2601.t1	
OG0002780	g2602.t1	
OG0002781	g2603.t1	
OG0002782	g2604.t1	
OG0002783	g2607.t1	
OG0002784	g2608.t1	
OG0002785	g2609.t1	
OG0002786	g2610.t1	
OG0002787	g2616.t1	
OG0002788	g2617.t1	
OG0002789	g2618.t1	
OG0002790	g2619.t1	
OG0002791	g2621.t1	
OG0002792	g2622.t1	
OG0002793	g2626.t1	
OG0002794	g2629.t1	
OG0002795	g2631.t1	
OG0002796	g2634.t1	
OG0002797	g2635.t1	
OG0002798	g2637.t1	
OG0002799	g2638.t1	
OG0002800	g2641.t1	
OG0002801	g2644.t1	
OG0002802	g2645.t1	
OG0002803	g2646.t1	
OG0002804	g2648.t1	
OG0002805	g2649.t1	
OG0002806	g2651.t1	
OG0002807	g2652.t1	
OG0002808	g2653.t1	
OG0002809	g2654.t1	
OG0002810	g2656.t1	
OG0002811	g2657.t1	
OG0002812	g2658.t1	
OG0002813	g2660.t1	
OG0002814	g2663.t1	
OG0002815	g2665.t1	
OG0002816	g2666.t1	
OG0002817	g2669.t1	
OG0002818	g2676.t1	
OG0002819	g2678.t1	
OG0002820	g2684.t1	
OG0002821	g2685.t1	
OG0002822	g2686.t1	
OG0002823	g2687.t1	
OG0002824	g2689.t1	
OG0002825	g2692.t1	
OG0002826	g2693.t1	
