Orthogroup	Mycobacterium_tuberculosis	Pseudomonas_aeruginosa	Total
OG0000358	0	4	4
OG0000359	0	4	4
OG0000360	0	4	4
OG0000361	0	4	4
OG0000362	0	4	4
OG0000363	0	4	4
OG0000364	0	4	4
OG0000365	0	4	4
OG0000366	0	4	4
OG0000367	0	4	4
OG0000368	0	4	4
OG0000369	0	4	4
OG0000370	0	4	4
OG0000371	0	4	4
OG0000372	0	4	4
OG0000373	0	4	4
OG0000374	0	4	4
OG0000375	0	4	4
OG0000376	0	4	4
OG0000377	0	4	4
OG0000378	0	4	4
OG0000379	1	2	3
OG0000380	3	0	3
OG0000381	1	2	3
OG0000382	1	2	3
OG0000383	3	0	3
OG0000384	3	0	3
OG0000385	3	0	3
OG0000386	3	0	3
OG0000387	2	1	3
OG0000388	1	2	3
OG0000389	1	2	3
OG0000390	3	0	3
OG0000391	2	1	3
OG0000392	2	1	3
OG0000393	3	0	3
OG0000394	3	0	3
OG0000395	3	0	3
OG0000396	1	2	3
OG0000397	2	1	3
OG0000398	2	1	3
OG0000399	2	1	3
OG0000400	3	0	3
OG0000401	1	2	3
OG0000402	1	2	3
OG0000403	2	1	3
OG0000404	3	0	3
OG0000405	3	0	3
OG0000406	3	0	3
OG0000407	2	1	3
OG0000408	3	0	3
OG0000409	3	0	3
OG0000410	2	1	3
OG0000411	1	2	3
OG0000412	2	1	3
OG0000413	1	2	3
OG0000414	2	1	3
OG0000415	1	2	3
OG0000416	2	1	3
OG0000417	2	1	3
OG0000418	1	2	3
OG0000419	2	1	3
OG0000420	1	2	3
OG0000421	1	2	3
OG0000422	1	2	3
OG0000423	3	0	3
OG0000424	3	0	3
OG0000425	2	1	3
OG0000426	1	2	3
OG0000427	3	0	3
OG0000428	1	2	3
OG0000429	1	2	3
OG0000430	3	0	3
OG0000431	1	2	3
OG0000432	2	1	3
OG0000433	2	1	3
OG0000434	2	1	3
OG0000435	3	0	3
OG0000436	3	0	3
OG0000437	3	0	3
OG0000438	2	1	3
OG0000439	1	2	3
OG0000440	3	0	3
OG0000441	3	0	3
OG0000442	1	2	3
OG0000443	1	2	3
OG0000444	1	2	3
OG0000445	2	1	3
OG0000446	1	2	3
OG0000447	1	2	3
OG0000448	1	2	3
OG0000449	3	0	3
OG0000450	3	0	3
OG0000451	2	1	3
OG0000452	3	0	3
OG0000453	2	1	3
OG0000454	2	1	3
OG0000455	1	2	3
OG0000456	2	1	3
OG0000457	1	2	3
OG0000458	1	2	3
OG0000459	2	1	3
OG0000460	3	0	3
OG0000461	1	2	3
OG0000462	2	1	3
OG0000463	3	0	3
OG0000464	1	2	3
OG0000465	3	0	3
OG0000466	3	0	3
OG0000467	1	2	3
OG0000468	1	2	3
OG0000469	3	0	3
OG0000470	1	2	3
OG0000471	3	0	3
OG0000472	1	2	3
OG0000473	1	2	3
OG0000474	1	2	3
OG0000475	3	0	3
OG0000476	3	0	3
OG0000477	2	1	3
OG0000478	2	1	3
OG0000479	1	2	3
OG0000480	2	1	3
OG0000481	1	2	3
OG0000482	2	1	3
OG0000483	3	0	3
OG0000484	2	1	3
OG0000485	3	0	3
OG0000486	3	0	3
OG0000487	3	0	3
OG0000488	1	2	3
OG0000489	1	2	3
OG0000490	1	2	3
OG0000491	3	0	3
OG0000492	3	0	3
OG0000493	1	2	3
OG0000494	2	1	3
OG0000495	1	2	3
OG0000496	2	1	3
OG0000497	1	2	3
OG0000498	1	2	3
OG0000499	1	2	3
OG0000500	3	0	3
OG0000501	1	2	3
OG0000502	3	0	3
OG0000503	1	2	3
OG0000504	2	1	3
OG0000505	1	2	3
OG0000506	2	1	3
OG0000507	2	1	3
OG0000508	1	2	3
OG0000509	1	2	3
OG0000510	2	1	3
OG0000511	2	1	3
OG0000512	1	2	3
OG0000513	1	2	3
OG0000514	1	2	3
OG0000515	1	2	3
OG0000516	2	1	3
OG0000517	1	2	3
OG0000518	1	2	3
OG0000519	2	1	3
OG0000520	1	2	3
OG0000521	1	2	3
OG0000522	3	0	3
OG0000523	1	2	3
OG0000524	1	2	3
OG0000525	1	2	3
OG0000526	1	2	3
OG0000527	1	2	3
OG0000528	3	0	3
OG0000529	3	0	3
OG0000530	2	1	3
OG0000531	3	0	3
OG0000532	3	0	3
OG0000533	3	0	3
OG0000534	1	2	3
OG0000535	1	2	3
OG0000536	3	0	3
OG0000537	1	2	3
OG0000538	1	2	3
OG0000539	1	2	3
OG0000540	1	2	3
OG0000541	3	0	3
OG0000542	1	2	3
OG0000543	1	2	3
OG0000544	1	2	3
OG0000545	2	1	3
OG0000546	1	2	3
OG0000547	1	2	3
OG0000548	1	2	3
OG0000549	1	2	3
OG0000550	1	2	3
OG0000551	1	2	3
OG0000552	1	2	3
OG0000553	1	2	3
OG0000554	1	2	3
OG0000555	1	2	3
OG0000556	1	2	3
OG0000557	1	2	3
OG0000558	1	2	3
OG0000559	2	1	3
OG0000560	1	2	3
OG0000561	1	2	3
OG0000562	1	2	3
OG0000563	1	2	3
OG0000564	3	0	3
OG0000565	1	2	3
OG0000566	1	2	3
OG0000567	1	2	3
OG0000568	1	2	3
OG0000569	1	2	3
OG0000570	1	2	3
OG0000571	2	1	3
OG0000572	1	2	3
OG0000573	2	1	3
OG0000574	2	1	3
OG0000575	1	2	3
OG0000576	2	1	3
OG0000577	1	2	3
OG0000578	2	1	3
OG0000579	1	2	3
OG0000580	1	2	3
OG0000581	1	2	3
OG0000582	1	2	3
OG0000583	1	2	3
OG0000584	1	2	3
OG0000585	1	2	3
OG0000586	1	2	3
OG0000587	1	2	3
OG0000588	1	2	3
OG0000589	1	2	3
OG0000590	1	2	3
OG0000591	1	2	3
OG0000592	1	2	3
OG0000593	2	1	3
OG0000594	2	1	3
OG0000595	1	2	3
OG0000596	1	2	3
OG0000597	1	2	3
OG0000598	3	0	3
OG0000599	1	2	3
OG0000600	1	2	3
OG0000601	1	2	3
OG0000602	1	2	3
OG0000603	1	2	3
OG0000604	1	2	3
OG0000605	1	2	3
OG0000606	1	2	3
OG0000607	1	2	3
OG0000608	1	2	3
OG0000609	1	2	3
OG0000610	1	2	3
OG0000611	1	2	3
OG0000612	1	2	3
OG0000613	1	2	3
OG0000614	0	3	3
OG0000615	0	3	3
OG0000616	0	3	3
OG0000617	0	3	3
OG0000618	0	3	3
OG0000619	0	3	3
OG0000620	0	3	3
OG0000621	0	3	3
OG0000622	0	3	3
OG0000623	0	3	3
OG0000624	0	3	3
OG0000625	0	3	3
OG0000626	0	3	3
OG0000627	0	3	3
OG0000628	0	3	3
OG0000629	0	3	3
OG0000630	0	3	3
OG0000631	0	3	3
OG0000632	0	3	3
OG0000633	0	3	3
OG0000634	0	3	3
OG0000635	0	3	3
OG0000636	0	3	3
OG0000637	0	3	3
OG0000638	0	3	3
OG0000639	0	3	3
OG0000640	0	3	3
OG0000641	0	3	3
OG0000642	0	3	3
OG0000643	0	3	3
OG0000644	0	3	3
OG0000645	0	3	3
OG0000646	0	3	3
OG0000647	0	3	3
OG0000648	0	3	3
OG0000649	0	3	3
OG0000650	0	3	3
OG0000651	0	3	3
OG0000652	0	3	3
OG0000653	0	3	3
OG0000654	0	3	3
OG0000655	0	3	3
OG0000656	0	3	3
OG0000657	0	3	3
OG0000658	0	3	3
OG0000659	0	3	3
OG0000660	0	3	3
OG0000661	0	3	3
OG0000662	0	3	3
OG0000663	0	3	3
OG0000664	0	3	3
OG0000665	0	3	3
OG0000666	0	3	3
OG0000667	0	3	3
OG0000668	0	3	3
OG0000669	0	3	3
OG0000670	0	3	3
OG0000671	0	3	3
OG0000672	0	3	3
OG0000673	0	3	3
OG0000674	0	3	3
OG0000675	0	3	3
OG0000676	0	3	3
OG0000677	0	3	3
OG0000678	0	3	3
OG0000679	0	3	3
OG0000680	0	3	3
OG0000681	0	3	3
OG0000682	0	3	3
OG0000683	0	3	3
OG0000684	0	3	3
OG0000685	0	3	3
OG0000686	0	3	3
OG0000687	0	3	3
OG0000688	0	3	3
OG0000689	0	3	3
OG0000690	0	3	3
OG0000691	0	3	3
OG0000692	0	3	3
OG0000693	0	3	3
OG0000694	0	3	3
OG0000695	0	3	3
OG0000696	0	3	3
OG0000697	0	3	3
OG0000698	0	3	3
OG0000699	0	3	3
OG0000700	0	3	3
OG0000701	0	3	3
OG0000702	0	3	3
OG0000703	0	3	3
OG0000704	1	1	2
OG0000705	1	1	2
OG0000706	1	1	2
OG0000707	1	1	2
OG0000708	1	1	2
OG0000709	1	1	2
OG0000710	2	0	2
OG0000711	2	0	2
OG0000712	1	1	2
OG0000713	2	0	2
OG0000714	1	1	2
OG0000715	1	1	2
OG0000716	2	0	2
OG0000717	1	1	2
OG0000718	2	0	2
OG0000719	1	1	2
OG0000720	1	1	2
OG0000721	1	1	2
OG0000722	1	1	2
OG0000723	1	1	2
OG0000724	2	0	2
OG0000725	1	1	2
OG0000726	2	0	2
OG0000727	2	0	2
OG0000728	2	0	2
OG0000729	1	1	2
OG0000730	1	1	2
OG0000731	2	0	2
OG0000732	1	1	2
OG0000733	2	0	2
OG0000734	1	1	2
OG0000735	1	1	2
OG0000736	1	1	2
OG0000737	1	1	2
OG0000738	1	1	2
OG0000739	1	1	2
OG0000740	1	1	2
OG0000741	1	1	2
OG0000742	1	1	2
OG0000743	1	1	2
OG0000744	1	1	2
OG0000745	1	1	2
OG0000746	1	1	2
OG0000747	1	1	2
OG0000748	1	1	2
OG0000749	1	1	2
OG0000750	2	0	2
OG0000751	1	1	2
OG0000752	1	1	2
OG0000753	1	1	2
OG0000754	2	0	2
OG0000755	2	0	2
OG0000756	1	1	2
OG0000757	1	1	2
OG0000758	1	1	2
OG0000759	1	1	2
OG0000760	2	0	2
OG0000761	2	0	2
OG0000762	2	0	2
OG0000763	2	0	2
OG0000764	1	1	2
OG0000765	1	1	2
OG0000766	1	1	2
OG0000767	2	0	2
OG0000768	2	0	2
OG0000769	2	0	2
OG0000770	1	1	2
OG0000771	2	0	2
OG0000772	2	0	2
OG0000773	2	0	2
OG0000774	2	0	2
OG0000775	2	0	2
OG0000776	2	0	2
OG0000777	2	0	2
OG0000778	2	0	2
OG0000779	1	1	2
OG0000780	2	0	2
OG0000781	1	1	2
OG0000782	1	1	2
OG0000783	1	1	2
OG0000784	1	1	2
OG0000785	1	1	2
OG0000786	2	0	2
OG0000787	2	0	2
OG0000788	1	1	2
OG0000789	1	1	2
OG0000790	1	1	2
OG0000791	1	1	2
OG0000792	1	1	2
OG0000793	2	0	2
OG0000794	1	1	2
OG0000795	1	1	2
OG0000796	1	1	2
OG0000797	1	1	2
OG0000798	1	1	2
OG0000799	2	0	2
OG0000800	1	1	2
OG0000801	1	1	2
OG0000802	1	1	2
OG0000803	1	1	2
OG0000804	1	1	2
OG0000805	1	1	2
OG0000806	1	1	2
OG0000807	1	1	2
OG0000808	1	1	2
OG0000809	1	1	2
OG0000810	1	1	2
OG0000811	1	1	2
OG0000812	1	1	2
OG0000813	2	0	2
OG0000814	1	1	2
OG0000815	2	0	2
OG0000816	2	0	2
OG0000817	2	0	2
OG0000818	2	0	2
OG0000819	2	0	2
OG0000820	1	1	2
OG0000821	1	1	2
OG0000822	1	1	2
OG0000823	1	1	2
OG0000824	1	1	2
OG0000825	1	1	2
OG0000826	1	1	2
OG0000827	1	1	2
OG0000828	1	1	2
OG0000829	1	1	2
OG0000830	2	0	2
OG0000831	1	1	2
OG0000832	1	1	2
OG0000833	1	1	2
OG0000834	1	1	2
OG0000835	2	0	2
OG0000836	1	1	2
OG0000837	1	1	2
OG0000838	1	1	2
OG0000839	1	1	2
OG0000840	2	0	2
OG0000841	1	1	2
OG0000842	2	0	2
OG0000843	2	0	2
OG0000844	2	0	2
OG0000845	2	0	2
OG0000846	2	0	2
OG0000847	2	0	2
OG0000848	2	0	2
OG0000849	1	1	2
OG0000850	1	1	2
OG0000851	1	1	2
OG0000852	1	1	2
OG0000853	1	1	2
OG0000854	1	1	2
OG0000855	1	1	2
OG0000856	1	1	2
OG0000857	1	1	2
OG0000858	1	1	2
OG0000859	1	1	2
OG0000860	2	0	2
OG0000861	1	1	2
OG0000862	1	1	2
OG0000863	1	1	2
OG0000864	1	1	2
OG0000865	1	1	2
OG0000866	1	1	2
OG0000867	1	1	2
OG0000868	2	0	2
OG0000869	1	1	2
OG0000870	1	1	2
OG0000871	1	1	2
OG0000872	1	1	2
OG0000873	1	1	2
OG0000874	1	1	2
OG0000875	1	1	2
OG0000876	1	1	2
OG0000877	1	1	2
OG0000878	1	1	2
OG0000879	1	1	2
OG0000880	1	1	2
OG0000881	1	1	2
OG0000882	2	0	2
OG0000883	1	1	2
OG0000884	1	1	2
OG0000885	1	1	2
OG0000886	1	1	2
OG0000887	1	1	2
OG0000888	1	1	2
OG0000889	1	1	2
OG0000890	1	1	2
OG0000891	1	1	2
OG0000892	1	1	2
OG0000893	1	1	2
OG0000894	1	1	2
OG0000895	1	1	2
OG0000896	2	0	2
OG0000897	1	1	2
OG0000898	1	1	2
OG0000899	2	0	2
OG0000900	2	0	2
OG0000901	2	0	2
OG0000902	2	0	2
OG0000903	1	1	2
OG0000904	1	1	2
OG0000905	1	1	2
OG0000906	1	1	2
OG0000907	1	1	2
OG0000908	1	1	2
OG0000909	1	1	2
OG0000910	1	1	2
OG0000911	1	1	2
OG0000912	1	1	2
OG0000913	1	1	2
OG0000914	2	0	2
OG0000915	1	1	2
OG0000916	1	1	2
OG0000917	1	1	2
OG0000918	1	1	2
OG0000919	2	0	2
OG0000920	2	0	2
OG0000921	2	0	2
OG0000922	1	1	2
OG0000923	2	0	2
OG0000924	2	0	2
OG0000925	1	1	2
OG0000926	1	1	2
OG0000927	1	1	2
OG0000928	2	0	2
OG0000929	1	1	2
OG0000930	2	0	2
OG0000931	1	1	2
OG0000932	1	1	2
OG0000933	1	1	2
OG0000934	2	0	2
OG0000935	2	0	2
OG0000936	2	0	2
OG0000937	2	0	2
OG0000938	1	1	2
OG0000939	1	1	2
OG0000940	1	1	2
OG0000941	1	1	2
OG0000942	1	1	2
OG0000943	1	1	2
OG0000944	1	1	2
OG0000945	2	0	2
OG0000946	2	0	2
OG0000947	1	1	2
OG0000948	1	1	2
OG0000949	1	1	2
OG0000950	1	1	2
OG0000951	1	1	2
OG0000952	1	1	2
OG0000953	1	1	2
OG0000954	1	1	2
OG0000955	1	1	2
OG0000956	1	1	2
OG0000957	1	1	2
OG0000958	1	1	2
OG0000959	1	1	2
OG0000960	1	1	2
OG0000961	1	1	2
OG0000962	1	1	2
OG0000963	1	1	2
OG0000964	2	0	2
OG0000965	1	1	2
OG0000966	1	1	2
OG0000967	1	1	2
OG0000968	1	1	2
OG0000969	1	1	2
OG0000970	1	1	2
OG0000971	2	0	2
OG0000972	2	0	2
OG0000973	2	0	2
OG0000974	1	1	2
OG0000975	1	1	2
OG0000976	1	1	2
OG0000977	1	1	2
OG0000978	1	1	2
OG0000979	1	1	2
OG0000980	2	0	2
OG0000981	1	1	2
OG0000982	1	1	2
OG0000983	2	0	2
OG0000984	1	1	2
OG0000985	1	1	2
OG0000986	2	0	2
OG0000987	1	1	2
OG0000988	1	1	2
OG0000989	1	1	2
OG0000990	1	1	2
OG0000991	2	0	2
OG0000992	1	1	2
OG0000993	1	1	2
OG0000994	1	1	2
OG0000995	2	0	2
OG0000996	1	1	2
OG0000997	2	0	2
OG0000998	2	0	2
OG0000999	1	1	2
OG0001000	1	1	2
OG0001001	2	0	2
OG0001002	2	0	2
OG0001003	1	1	2
OG0001004	1	1	2
OG0001005	1	1	2
OG0001006	1	1	2
OG0001007	1	1	2
OG0001008	1	1	2
OG0001009	2	0	2
OG0001010	1	1	2
OG0001011	1	1	2
OG0001012	1	1	2
OG0001013	1	1	2
OG0001014	2	0	2
OG0001015	2	0	2
OG0001016	1	1	2
OG0001017	1	1	2
OG0001018	1	1	2
OG0001019	1	1	2
OG0001020	2	0	2
OG0001021	1	1	2
OG0001022	1	1	2
OG0001023	1	1	2
OG0001024	2	0	2
OG0001025	1	1	2
OG0001026	1	1	2
OG0001027	1	1	2
OG0001028	1	1	2
OG0001029	1	1	2
OG0001030	1	1	2
OG0001031	1	1	2
OG0001032	1	1	2
OG0001033	1	1	2
OG0001034	1	1	2
OG0001035	1	1	2
OG0001036	2	0	2
OG0001037	1	1	2
OG0001038	1	1	2
OG0001039	1	1	2
OG0001040	1	1	2
OG0001041	1	1	2
OG0001042	1	1	2
OG0001043	1	1	2
OG0001044	1	1	2
OG0001045	1	1	2
OG0001046	1	1	2
OG0001047	1	1	2
OG0001048	2	0	2
OG0001049	1	1	2
OG0001050	1	1	2
OG0001051	1	1	2
OG0001052	2	0	2
OG0001053	1	1	2
OG0001054	1	1	2
OG0001055	1	1	2
OG0001056	1	1	2
OG0001057	1	1	2
OG0001058	1	1	2
OG0001059	1	1	2
OG0001060	1	1	2
OG0001061	1	1	2
OG0001062	1	1	2
OG0001063	2	0	2
OG0001064	2	0	2
OG0001065	1	1	2
OG0001066	1	1	2
OG0001067	1	1	2
OG0001068	1	1	2
OG0001069	1	1	2
OG0001070	1	1	2
OG0001071	2	0	2
OG0001072	1	1	2
OG0001073	1	1	2
OG0001074	1	1	2
OG0001075	1	1	2
OG0001076	1	1	2
OG0001077	1	1	2
OG0001078	1	1	2
OG0001079	1	1	2
OG0001080	1	1	2
OG0001081	1	1	2
OG0001082	1	1	2
OG0001083	2	0	2
OG0001084	2	0	2
OG0001085	1	1	2
OG0001086	1	1	2
OG0001087	1	1	2
OG0001088	1	1	2
OG0001089	1	1	2
OG0001090	1	1	2
OG0001091	2	0	2
OG0001092	1	1	2
OG0001093	1	1	2
OG0001094	2	0	2
OG0001095	2	0	2
OG0001096	2	0	2
OG0001097	1	1	2
OG0001098	1	1	2
OG0001099	1	1	2
OG0001100	1	1	2
OG0001101	2	0	2
OG0001102	1	1	2
OG0001103	1	1	2
OG0001104	1	1	2
OG0001105	1	1	2
OG0001106	1	1	2
OG0001107	1	1	2
OG0001108	1	1	2
OG0001109	2	0	2
OG0001110	2	0	2
OG0001111	2	0	2
OG0001112	1	1	2
OG0001113	1	1	2
OG0001114	1	1	2
OG0001115	1	1	2
OG0001116	1	1	2
OG0001117	1	1	2
OG0001118	1	1	2
OG0001119	1	1	2
OG0001120	1	1	2
OG0001121	1	1	2
OG0001122	1	1	2
OG0001123	1	1	2
OG0001124	1	1	2
OG0001125	1	1	2
OG0001126	1	1	2
OG0001127	1	1	2
OG0001128	1	1	2
OG0001129	1	1	2
OG0001130	2	0	2
OG0001131	1	1	2
OG0001132	1	1	2
OG0001133	1	1	2
OG0001134	1	1	2
OG0001135	2	0	2
OG0001136	1	1	2
OG0001137	1	1	2
OG0001138	1	1	2
OG0001139	2	0	2
OG0001140	1	1	2
OG0001141	1	1	2
OG0001142	1	1	2
OG0001143	1	1	2
OG0001144	1	1	2
OG0001145	1	1	2
OG0001146	2	0	2
OG0001147	1	1	2
OG0001148	1	1	2
OG0001149	1	1	2
OG0001150	1	1	2
OG0001151	1	1	2
OG0001152	1	1	2
OG0001153	1	1	2
OG0001154	1	1	2
OG0001155	1	1	2
OG0001156	1	1	2
OG0001157	1	1	2
OG0001158	1	1	2
OG0001159	1	1	2
