OG0000000: g117.t1 g131.t1 g185.t1 g289.t1 g314.t1 g35.t1 g401.t1 g422.t1 g44.t1 g524.t1
OG0000001: g123.t1 g129.t1 g174.t1 g20.t1 g258.t1 g319.t1 g37.t1 g57.t1
OG0000002: g100.t1 g212.t1 g427.t1 g469.t1 g473.t1 g490.t1 g99.t1
OG0000003: g136.t1 g234.t1 g239.t1 g254.t1 g322.t1 g383.t1 g435.t1
OG0000004: g191.t1 g196.t1 g22.t1 g3.t1 g365.t1 g418.t1
OG0000005: g108.t1 g112.t1 g265.t1 g282.t1 g386.t1 g470.t1
OG0000006: g115.t1 g192.t1 g262.t1 g385.t1 g453.t1 g516.t1
OG0000007: g290.t1 g31.t1 g315.t1 g33.t1 g443.t1
OG0000008: g181.t1 g249.t1 g358.t1 g436.t1 g49.t1
OG0000009: g424.t1 g477.t1 g496.t1 g55.t1 g63.t1
OG0000010: g142.t1 g151.t1 g200.t1 g439.t1 g85.t1
OG0000011: g121.t1 g165.t1 g230.t1 g259.t1 g394.t1
OG0000012: g132.t1 g213.t1 g268.t1 g269.t1 g328.t1
OG0000013: g331.t1 g356.t1 g361.t1 g483.t1 g507.t1
OG0000014: g156.t1 g24.t1 g397.t1 g482.t1
OG0000015: g236.t1 g354.t1 g38.t1 g59.t1
OG0000016: g266.t1 g364.t1 g39.t1 g421.t1
OG0000017: g267.t1 g327.t1 g362.t1 g64.t1
OG0000018: g170.t1 g197.t1 g400.t1 g520.t1
OG0000019: g27.t1 g414.t1 g449.t1
OG0000020: g171.t1 g30.t1 g370.t1
OG0000021: g113.t1 g53.t1 g93.t1
OG0000022: g339.t1 g517.t1 g56.t1
OG0000023: g193.t1 g391.t1 g75.t1
OG0000024: g164.t1 g303.t1 g81.t1
OG0000025: g138.t1 g141.t1 g378.t1
OG0000026: g425.t1 g430.t1 g431.t1
OG0000027: g105.t1 g13.t1
OG0000028: g26.t1 g484.t1
OG0000029: g205.t1 g54.t1
OG0000030: g284.t1 g58.t1
OG0000031: g399.t1 g67.t1
OG0000032: g148.t1 g76.t1
OG0000033: g125.t1 g94.t1
OG0000034: g307.t1 g95.t1
OG0000035: g241.t1 g98.t1
OG0000036: g102.t1 g272.t1
OG0000037: g104.t1 g475.t1
OG0000038: g107.t1 g283.t1
OG0000039: g109.t1 g428.t1
OG0000040: g110.t1 g363.t1
OG0000041: g116.t1 g194.t1
OG0000042: g126.t1 g161.t1
OG0000043: g134.t1 g497.t1
OG0000044: g183.t1 g352.t1
OG0000045: g201.t1 g382.t1
OG0000046: g207.t1 g472.t1
OG0000047: g222.t1 g4.t1
OG0000048: g224.t1 g5.t1
OG0000049: g225.t1 g6.t1
OG0000050: g231.t1 g468.t1
OG0000051: g244.t1 g398.t1
OG0000052: g248.t1 g291.t1
OG0000053: g256.t1 g491.t1
OG0000054: g260.t1 g466.t1
OG0000055: g1.t1 g275.t1
OG0000056: g2.t1 g276.t1
OG0000057: g279.t1 g280.t1
OG0000058: g300.t1 g332.t1
OG0000059: g308.t1 g309.t1
OG0000060: g320.t1 g324.t1
OG0000061: g323.t1 g515.t1
OG0000062: g340.t1 g451.t1
OG0000063: g376.t1 g488.t1
OG0000064: g379.t1 g389.t1
OG0000065: g380.t1 g390.t1
OG0000066: g404.t1 g500.t1
OG0000067: g408.t1 g409.t1
OG0000068: g442.t1 g457.t1
OG0000069: g445.t1 g512.t1
OG0000070: g513.t1 g514.t1
OG0000071: g1.t1
OG0000217: g237.t1
OG0000218: g238.t1
OG0000219: g240.t1
OG0000220: g242.t1
OG0000221: g243.t1
OG0000222: g245.t1
OG0000223: g246.t1
OG0000224: g247.t1
OG0000225: g250.t1
OG0000226: g251.t1
OG0000227: g252.t1
OG0000228: g253.t1
OG0000229: g255.t1
OG0000230: g257.t1
OG0000231: g261.t1
OG0000232: g263.t1
OG0000233: g264.t1
OG0000234: g270.t1
OG0000235: g271.t1
OG0000236: g273.t1
OG0000237: g274.t1
OG0000238: g277.t1
OG0000239: g278.t1
OG0000240: g281.t1
OG0000241: g285.t1
OG0000242: g286.t1
OG0000243: g287.t1
OG0000244: g288.t1
OG0000245: g292.t1
OG0000246: g293.t1
OG0000247: g294.t1
OG0000248: g295.t1
OG0000249: g296.t1
OG0000250: g297.t1
OG0000251: g298.t1
OG0000252: g299.t1
OG0000253: g301.t1
OG0000254: g302.t1
OG0000255: g304.t1
OG0000256: g305.t1
OG0000257: g306.t1
OG0000258: g310.t1
OG0000259: g311.t1
OG0000260: g312.t1
OG0000261: g313.t1
OG0000262: g316.t1
OG0000263: g317.t1
OG0000264: g318.t1
OG0000265: g321.t1
OG0000266: g325.t1
OG0000267: g326.t1
OG0000268: g329.t1
OG0000269: g330.t1
OG0000270: g333.t1
OG0000271: g334.t1
OG0000272: g335.t1
OG0000273: g336.t1
OG0000274: g337.t1
OG0000275: g338.t1
OG0000276: g341.t1
OG0000277: g342.t1
OG0000278: g343.t1
OG0000279: g344.t1
OG0000280: g345.t1
OG0000281: g346.t1
OG0000282: g347.t1
OG0000283: g348.t1
OG0000284: g349.t1
OG0000285: g350.t1
OG0000286: g351.t1
OG0000287: g353.t1
OG0000288: g355.t1
OG0000289: g357.t1
OG0000290: g359.t1
OG0000291: g360.t1
OG0000292: g366.t1
OG0000293: g367.t1
OG0000294: g368.t1
OG0000295: g369.t1
OG0000296: g371.t1
OG0000297: g372.t1
OG0000298: g373.t1
OG0000299: g374.t1
OG0000300: g375.t1
OG0000301: g377.t1
OG0000302: g381.t1
OG0000303: g384.t1
OG0000304: g387.t1
OG0000305: g388.t1
OG0000306: g392.t1
OG0000307: g393.t1
OG0000308: g395.t1
OG0000309: g396.t1
OG0000310: g402.t1
OG0000311: g403.t1
OG0000312: g405.t1
OG0000313: g406.t1
OG0000314: g407.t1
OG0000315: g410.t1
OG0000316: g411.t1
OG0000317: g412.t1
OG0000318: g413.t1
OG0000319: g415.t1
OG0000320: g416.t1
OG0000321: g417.t1
OG0000322: g419.t1
OG0000323: g420.t1
OG0000324: g423.t1
OG0000325: g426.t1
OG0000326: g429.t1
OG0000327: g432.t1
OG0000328: g433.t1
OG0000329: g434.t1
OG0000330: g437.t1
OG0000331: g438.t1
OG0000332: g440.t1
OG0000333: g441.t1
OG0000334: g444.t1
OG0000335: g446.t1
OG0000336: g447.t1
OG0000337: g448.t1
OG0000338: g450.t1
OG0000339: g452.t1
OG0000340: g454.t1
OG0000341: g455.t1
OG0000342: g456.t1
OG0000343: g458.t1
OG0000344: g459.t1
OG0000345: g460.t1
OG0000346: g461.t1
OG0000347: g462.t1
OG0000348: g463.t1
OG0000349: g464.t1
OG0000350: g465.t1
OG0000351: g467.t1
OG0000352: g471.t1
OG0000353: g474.t1
OG0000354: g476.t1
OG0000355: g478.t1
OG0000356: g479.t1
OG0000357: g480.t1
OG0000358: g481.t1
OG0000359: g485.t1
OG0000360: g486.t1
OG0000361: g487.t1
OG0000362: g489.t1
OG0000363: g492.t1
OG0000364: g493.t1
OG0000365: g494.t1
OG0000366: g495.t1
OG0000367: g498.t1
OG0000368: g499.t1
OG0000369: g501.t1
OG0000370: g502.t1
OG0000371: g503.t1
OG0000372: g504.t1
OG0000373: g505.t1
OG0000374: g506.t1
OG0000375: g508.t1
OG0000376: g509.t1
OG0000377: g510.t1
OG0000378: g511.t1
OG0000379: g518.t1
OG0000380: g519.t1
OG0000381: g521.t1
OG0000382: g522.t1
OG0000383: g523.t1
OG0000384: g525.t1
OG0000385: g7.t1
